Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 29/10; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 27/10; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 16/5; ; ; ; 16/5; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 05:47:43 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 06:34:29 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 07:47:36 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 08:21:53 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 09:47:41 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
