Mansfield; 7/4; 17/10; 7/4; 17/10; 7/4; 20/11; 7/4; 13/8; 9/5; 7/4; 17/10; 13/8; 17/10; 8/5; 7/4; 8/5; 7/4; ; 7/4; ; 7/4; 17/9; 7/4; ; 17/10; ; 6/4; 8/5; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 11/5; 28/13; ; 21/10; ; 11/5; 23/10; 11/5; ; 11/5; ; 9/4; 19/10; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-04 01:46:51 GMT+2; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 31/20; 8/5; 33/20; 13/8; 7/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 6/4; 17/11; 17/11; ; 17/11; ; 17/11; 17/11; 23/15; ; 8/5; ; 7/5; 7/5; 
Mansfield; 7/4; 17/10; 7/4; 17/10; 7/4; 20/11; 7/4; 13/8; 9/5; 7/4; 17/10; 13/8; 17/10; 8/5; 7/4; 8/5; 17/10; ; 7/4; ; 17/10; 17/9; 7/4; ; 17/10; ; 6/4; 8/5; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 11/5; 11/5; ; 21/10; ; 28/13; 23/10; 11/5; ; 11/5; ; 9/4; 19/10; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-04 03:46:50 GMT+2; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 31/20; 8/5; 33/20; 13/8; 7/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 6/4; 17/11; 17/11; ; 17/11; ; 17/11; 17/11; 23/15; ; 8/5; ; 6/4; 7/5; 
Mansfield; 7/4; 17/10; 7/4; 17/10; 7/4; 20/11; 7/4; 13/8; 9/5; 7/4; 17/10; 13/8; 17/10; 8/5; 7/4; 8/5; 17/10; ; 7/4; ; 17/10; 17/9; 7/4; ; 17/10; ; 13/8; 8/5; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 11/5; 28/13; ; 21/10; ; 11/5; 23/10; 11/5; ; 11/5; ; 9/4; 19/10; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-04 04:21:27 GMT+2; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 31/20; 8/5; 33/20; 13/8; 7/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 6/4; 17/11; 6/4; ; 17/11; ; 6/4; 17/11; 23/15; ; 8/5; ; 6/4; 7/5; 
Mansfield; 7/4; 17/10; 7/4; 17/10; 7/4; 20/11; 7/4; 13/8; 9/5; 7/4; 17/10; 13/8; 17/10; 8/5; 7/4; 8/5; 7/4; ; 7/4; ; 7/4; 17/9; 7/4; ; 17/10; ; 13/8; 8/5; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 11/5; 28/13; ; 21/10; ; 11/5; 23/10; 11/5; ; 11/5; ; 9/4; 19/10; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-04 05:46:48 GMT+2; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 8/5; 13/8; 31/20; 8/5; 33/20; 13/8; 7/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 6/4; 17/11; 17/11; ; 17/11; ; 17/11; 17/11; 23/15; ; 8/5; ; 6/4; 7/5; 
Mansfield; 7/4; 17/10; 7/4; 17/10; 7/4; 20/11; 7/4; 13/8; 9/5; 7/4; 17/10; 13/8; 17/10; 8/5; 7/4; 8/5; 17/10; ; 7/4; ; 17/10; 17/9; 7/4; ; 17/10; ; 13/8; 8/5; 
