Man Utd; 1/6; ; ; 2/13; 1/7; ; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; 6; 7; ; 7; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 13/2; 61/11; ; 13/2; 76/13; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; 20; 22; ; 21; ; 14; ; 18; 12; ; 28; 20; 18; 47/4; ; 16; 13; ; ; 16; ; ; 24; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 12:23:26 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; ; ; 2/13; 1/7; 1/6; 2/15; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; 6; 15/2; 13/2; 7; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 13/2; 61/11; ; 13/2; 76/13; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; 20; 20; 14; 19; ; 14; ; 18; 12; ; 22; 20; 18; 47/4; ; 16; 13; ; ; 16; ; ; 19; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 16:24:09 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; ; ; 2/13; ; 1/6; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
Draw; 6; ; ; 6; ; 13/2; 15/2; ; 13/2; ; 6; 11/2; ; 15/2; 13/2; 7; 28/5; ; 13/2; 59/10; ; ; 13/2; ; ; 34/5; ; 
Wigan; 14; ; ; 20; ; 14; 18; ; 14; ; 18; 12; ; 25; 20; 18; 12; ; 16; 53/4; ; ; 16; ; ; 22; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-17 20:23:53 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; 1/6; 1/7; ; 2/13; 1/7; 1/6; 1/8; ; 1/6; ; 2/13; 1/8; ; 1/9; 1/8; 1/6; 2/13; ; 2/13; 3/19; ; ; 2/13; ; ; 1/8; ; 
