META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 12:20:39 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 4/7; 8/15; ; ; ; 8/15; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; 1/100; ; 
Oxford City; 7/2; ; ; ; 4; ; 17/4; ; 4; ; ; ; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; 1/16; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 12:59:23 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 8/15; ; 4/7; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; 8/15; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; 1/100; ; 
Oxford City; 7/2; ; ; ; 4; ; 22/5; ; 4; ; ; ; ; ; ; ; 4; 7/2; ; ; ; 7/2; ; ; ; ; 1/16; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 13:47:41 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 8/15; ; 4/7; ; ; ; ; ; ; ; 8/15; 8/15; ; ; ; 8/15; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; 1/100; ; 
Oxford City; 7/2; ; ; ; 4; ; 22/5; ; 4; ; ; ; ; ; ; ; 4; 7/2; ; ; ; 7/2; ; ; ; ; 1/10; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 15:47:25 GMT+3; 2016-09-17 15:00; e70300-dr003
