Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 12:20:44 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 1/16; ; 
Billericay; 9/5; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; 15/8; 9/5; ; ; ; 9/5; ; ; ; ; 1/16; ; 
Draw; 13/5; ; ; ; 11/4; ; 11/4; ; 14/5; ; ; ; ; ; ; ; 11/4; 13/5; ; ; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 16:22:40 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 23/20; ; ; 11/10; 6/5; ; ; ; ; ; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 2; ; ; 9/5; 2; ; ; ; ; ; ; ; 15/8; 9/5; ; ; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 11/4; ; ; 13/5; 14/5; ; ; ; ; ; ; ; 11/4; 13/5; ; ; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 20:24:16 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-16 23:47:42 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 00:23:28 GMT+3; 2016-09-17 15:00; e70300-dr003
