Waltham Forest; 14/5; ; ; ; 16/5; ; 10/3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 00:23:01 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 33/10; ; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 04:23:12 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 33/10; ; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 08:22:51 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 10/3; ; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 12:21:52 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 33/10; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; ; ; 14/5; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; 33/10; ; ; ; 33/10; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 16:23:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; ; ; ; 4/6; ; ; ; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; ; 10/3; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; ; ; 14/5; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; 33/10; ; ; ; 33/10; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-16 20:25:30 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; 8/13; ; ; 4/6; ; ; ; ; ; ; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; 11/4; 33/10; ; 3; ; ; ; ; ; ; ; 3; 11/4; ; 11/4; ; 11/4; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; 16/5; ; ; 7/2; ; ; ; ; ; ; ; 7/2; 17/5; ; 17/5; ; 17/5; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-17 00:24:34 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; ; ; ; 4/6; 8/13; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; 11/4; 33/10; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; 11/4; ; 14/5; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; 16/5; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; 57/17; ; 17/5; ; 57/17; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-17 04:33:37 GMT+3; 2016-09-17 15:00; e70300-dr003
