Blackpool; 31/10; 16/5; 17/5; 16/5; 7/2; 10/3; 10/3; 7/2; 10/3; 10/3; 13/4; 16/5; 10/3; 7/2; 10/3; 7/2; 13/4; 10/3; 10/3; 17/5; 18/5; 3; 17/5; 16/5; ; 3; 3; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 12:22:47 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 4/5; 4/5; 10/13; 3/4; 4/5; 4/5; 14/19; 7/9; 8/11; 10/13; 81/100; 4/5; 13/17; 4/5; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 11/4; 3; 27/10; 14/5; 13/5; ; 27/10; 13/5; 
Blackpool; 31/10; 16/5; 17/5; 16/5; 7/2; 10/3; 10/3; 7/2; 10/3; 10/3; 10/3; 16/5; 10/3; 7/2; 10/3; 7/2; 13/4; 10/3; 3; 57/17; 18/5; 3; 33/10; 16/5; ; 3; 3; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 16:23:30 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/10; 5/6; 4/5; 4/5; 4/5; 10/13; 3/4; 4/5; 4/5; 14/19; 7/9; 8/11; 10/13; 81/100; 4/5; ; 4/5; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 11/4; 11/4; 14/5; 13/5; 11/4; 14/5; 45/17; 13/5; 14/5; 27/10; 3; 27/10; ; 13/5; ; 11/4; 13/5; 
Blackpool; 31/10; 16/5; 17/5; 16/5; 7/2; 10/3; 10/3; 7/2; 10/3; 10/3; 10/3; 16/5; 10/3; 7/2; 10/3; 7/2; 13/4; 10/3; 3; 57/17; 18/5; 3; ; 16/5; ; 3; 3; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-23 20:22:45 GMT+2; 2017-01-28 15:00; e70300-dr003
