META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 16:22:28 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 1; 11/10; 28/25; 12/11; 1; 11/10; ; 23/20; ; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; ; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 12/5; 23/10; 14/5; 12/5; 29/10; 13/5; 29/10; 12/5; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-02 20:25:34 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 00:22:28 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 04:22:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 08:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 23/20; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 12:24:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 23/20; 6/5; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 16:25:50 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 12/5; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-03 20:24:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 10/9; 
Draw; 5/2; 9/4; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 23/10; 
Man Utd; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 12/5; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 21/10; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 00:22:39 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 9/4; 11/5; 
Man Utd; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 12/5; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 21/10; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 04:23:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 23/10; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 12/5; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 08:23:49 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 23/10; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 12/5; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 12:25:34 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 15/13; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 1; 11/10; ; 10/9; 21/20; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 121/50; 12/5; 9/4; 23/10; ; 23/10; 11/5; 
Man Utd; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 13/5; 13/5; 5/2; 23/10; 14/5; 5/2; 29/10; 13/5; 29/10; 12/5; ; 12/5; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 16:23:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 23/20; 11/10; 21/20; 11/10; 15/13; 21/20; 11/10; 1; 21/20; 11/10; ; 1; 21/20; ; 20/21; 21/20; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 9/4; 23/10; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 9/4; 119/50; ; 9/4; 12/5; ; 23/10; 21/10; 
Man Utd; 12/5; 5/2; 11/4; 14/5; 13/5; 27/10; 13/5; 5/2; 11/4; 14/5; 12/5; 5/2; 13/5; 5/2; 11/4; 13/5; 5/2; 23/10; 14/5; 5/2; 61/20; ; 29/10; 5/2; ; 14/5; 2; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-04 20:23:10 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 11/10; 1; 1; 21/20; 1; 21/20; 11/10; 21/20; ; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; ; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 11/5; 
Man Utd; 11/4; 29/10; 11/4; 14/5; 11/4; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 57/20; 5/2; 11/4; 14/5; ; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 00:24:24 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 11/10; 1; 1; 21/20; 1; 21/20; 11/10; 21/20; ; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; ; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 11/5; 
Man Utd; 11/4; 29/10; 11/4; 14/5; 11/4; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 57/20; 5/2; 11/4; 14/5; ; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 12/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 04:24:59 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 11/10; 1; 1; 1; 1; 21/20; 11/10; 21/20; ; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; ; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 9/4; 
Man Utd; 11/4; 29/10; 11/4; 14/5; 11/4; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 14/5; 57/20; 5/2; 11/4; 14/5; ; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 12/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 08:25:35 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 11/10; 1; 1; 1; 1; 21/20; 11/10; 21/20; ; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 10/11; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; ; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 9/4; 
Man Utd; 11/4; 29/10; 11/4; 14/5; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 13/5; 14/5; 57/20; 5/2; 11/4; 14/5; ; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 12/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 12:26:30 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 11/10; 21/20; ; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; ; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 9/4; 
Man Utd; 11/4; 29/10; 11/4; 14/5; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 13/5; 14/5; 57/20; 5/2; 11/4; 14/5; ; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 16:25:58 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 11/10; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 9/4; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 23/10; ; 12/5; 21/10; 12/5
Man Utd; 11/4; 14/5; 11/4; 14/5; 11/4; 14/5; 14/5; 5/2; 11/4; 14/5; 13/5; 14/5; 57/20; 13/5; 11/4; 14/5; 27/10; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 23/10; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-05 20:24:24 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 23/10; ; 12/5; 21/10; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 23/10; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 00:22:47 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 23/10; ; 12/5; 9/4; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 5/2; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 04:22:32 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 9/4; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 5/2; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 08:23:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 9/4; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 147/50; 37/13; 29/10; 13/5; ; 14/5; 5/2; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 12:23:33 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 11/10; 42/41; 1; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 49/20; 12/5; 9/4; 12/5; ; 12/5; 23/10; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 73/25; 37/13; 29/10; 13/5; ; 14/5; 11/4; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 16:24:10 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 1; 109/100; 42/41; 1; 21/20; ; 20/21; 20/21; 21/20
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; 23/10; 123/50; 12/5; 9/4; 12/5; ; 12/5; 12/5; 12/5
Man Utd; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 27/10; 3; 14/5; 27/10; 13/5; 14/5; 27/10; 73/25; 37/13; 29/10; 11/4; ; 14/5; 11/4; 14/5
META; english/fa-cup/chelsea-v-man-utd; 2017-03-06 20:23:50 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 10/11; 1; 10/11; 1; 1; 19/20; 19/20; 1; 10/11; 10/11; 20/23; 10/11; 9/10; 10/11; 19/20; 1; 13/15; 9/10; 20/21; 13/15; 24/25; 9/10; 1; 10/11; ; 9/10; 10/11; 20/21
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 11/5; 23/10; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 51/20; 27/11; 27/11; 5/2; ; 13/5; 12/5; 5/2
Man Utd; 3; 14/5; 16/5; 14/5; 3; 3; 3; 5/2; 3; 3; 3; 10/3; 16/5; 3; 3; 3; 58/19; 3; 3; 58/19; 10/3; 13/4; 3; 3; ; 3; 14/5; 3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 00:22:45 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 10/11; 1; 10/11; 19/20; 19/20; 19/20; 37/40; 1; 10/11; 10/11; 20/23; 20/21; 9/10; 10/11; 19/20; 19/20; 13/15; 9/10; 10/11; 13/15; 24/25; ; 10/11; 10/11; ; 9/10; 5/6; 10/11
Draw; 5/2; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 11/5; 11/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 51/20; ; 5/2; 5/2; ; 12/5; 9/4; 5/2
Man Utd; 3; 14/5; 16/5; 3; 3; 3; 31/10; 5/2; 3; 16/5; 3; 10/3; 16/5; 3; 3; 31/10; 58/19; 3; 3; 58/19; 10/3; ; 33/10; 16/5; ; 3; 14/5; 10/3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 04:22:46 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 10/11; 1; 9/10; 19/20; 19/20; 19/20; 10/11; 1; 10/11; 17/20; 20/23; 20/21; 9/10; 17/20; 19/20; 19/20; 13/15; 9/10; 10/11; 13/15; 24/25; 9/10; 10/11; 10/11; ; 9/10; 5/6; 10/11
Draw; 5/2; 23/10; 47/20; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 9/4; 11/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 51/20; 27/11; 5/2; 5/2; ; 12/5; 9/4; 5/2
Man Utd; 3; 14/5; 10/3; 3; 3; 3; 31/10; 5/2; 3; 16/5; 16/5; 10/3; 16/5; 3; 3; 31/10; 58/19; 3; 3; 58/19; 10/3; 13/4; 33/10; 16/5; ; 3; 14/5; 10/3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 08:23:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 10/11; 1; 9/10; 19/20; 19/20; 19/20; 10/11; 1; 10/11; 17/20; 20/23; 20/21; 9/10; 17/20; 19/20; 19/20; 13/15; 9/10; 10/11; 13/15; 24/25; 9/10; 10/11; 10/11; ; 9/10; 5/6; 10/11
