META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-22 02:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 13/10; 7/5; 13/10; 7/5; 29/20; 13/10; 11/8; 13/10; 16/11; 11/8; 13/10; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 27/20; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 9/5; 9/5; 24/13; 6/4; 17/10; 24/13; 89/50; 33/19; 17/10; ; 17/10; ; 9/5; 13/8; 
Draw; 5/2; 12/5; 12/5; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 9/4; 12/5; 11/5; 13/5; 5/2; 27/11; 23/10; 12/5; 27/11; 13/5; 28/11; 12/5; ; 12/5; ; 12/5; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-22 06:21:08 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 13/10; 7/5; 13/10; 7/5; 29/20; 13/10; 11/8; 13/10; 23/17; 11/8; ; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 7/5; 
Barrow; 19/10; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 15/8; 9/5; 9/5; 24/13; 28/17; 17/10; ; 89/50; 33/19; 17/10; ; 17/10; ; 9/5; 9/5; 
Draw; 5/2; 12/5; 12/5; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 9/4; 12/5; 11/5; 13/5; 12/5; 27/11; 23/10; 12/5; ; 13/5; 28/11; 12/5; ; 12/5; ; 12/5; 12/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-22 10:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 13/10; 13/10; 27/20; 7/5; 7/5; 13/10; 7/5; 11/8; 7/5; 13/10; 27/20; 13/10; 7/5; 29/20; 13/10; 11/8; 13/10; 23/17; 11/8; 13/10; 79/50; 15/11; 11/8; ; 11/8; ; 7/5; 7/5; 
