META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 14:52:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 19:05:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Torquay; 5; 19/4; 5; ; 5; 9/2; 21/4; 4; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 5; 5; ; 10/3; 21/5; 94/19; 9/2; 26/5; 21/5; ; 21/5; ; ; 22/5; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 22:21:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 6/10; ; 8/13; 8/15; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 13/20; 3/5; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 5/2; 14/5; 13/5; 11/4; 11/4; 5/2; 12/5; 27/10; 13/5; 11/4; 27/10; 11/4; 11/4; 5/2; 11/4; 16/5; 5/2; 28/11; ; 28/11; ; ; 13/5; 
Torquay; 5; 19/4; 5; ; 5; 9/2; 21/4; 4; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 5; 5; 94/19; 15/4; 21/5; 94/19; 9/2; 26/5; 21/5; ; 21/5; ; ; 22/5; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-07 02:22:20 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 6/10; ; 8/13; 8/15; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; ; 13/20; 3/5; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 5/2; 14/5; 13/5; 11/4; 11/4; 5/2; 12/5; 27/10; 13/5; 11/4; 27/10; 11/4; 11/4; 5/2; ; 16/5; 5/2; 28/11; ; 28/11; ; ; 13/5; 
Torquay; 5; 19/4; 5; ; 5; 9/2; 21/4; 4; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 5; 5; 94/19; 15/4; 21/5; ; 9/2; 26/5; 21/5; ; 21/5; ; ; 22/5; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-07 06:21:32 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 6/10; ; 8/13; 8/15; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 13/20; 3/5; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 5/2; 14/5; 13/5; 11/4; 11/4; 5/2; 12/5; 27/10; 13/5; 11/4; 27/10; 27/10; 11/4; 5/2; 27/10; 16/5; 5/2; 28/11; ; 28/11; ; ; 13/5; 
Torquay; 5; 19/4; 5; ; 5; 9/2; 21/4; 4; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 5; 5; 94/19; 15/4; 21/5; 94/19; 9/2; 26/5; 21/5; ; 21/5; ; ; 22/5; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-07 10:23:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 6/10; ; 8/13; 8/15; 4/7; 4/7; 4/7; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 13/20; 3/5; 5/8; ; 5/8; ; ; 4/7; 
Draw; 14/5; 13/5; 5/2; ; 13/5; 5/2; 14/5; 13/5; 11/4; 11/4; 5/2; 12/5; 27/10; 13/5; 11/4; 27/10; 27/10; 11/4; 5/2; 27/10; 16/5; 5/2; 28/11; ; 28/11; ; ; 13/5; 
Torquay; 5; 19/4; 5; ; 5; 9/2; 21/4; 4; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 5; 5; 49/10; 15/4; 21/5; 49/10; 9/2; 26/5; 21/5; ; 21/5; ; ; 22/5; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-07 14:21:26 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 11/20; 3/5; 4/7; ; 3/5; 1/2; 11/20; 4/7; 4/7; 4/7; 4/7; 11/20; 3/5; 4/7; 4/7; 8/13; 4/7; 4/7; 4/7; 4/7; 57/100; 7/12; 5/8; ; 5/8; ; ; 4/7; 
