Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 16:19:49 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 11/2; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 20:20:46 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 1/4; 2/7; 2/7; 1/4; 2/7; ; 1/4; 1/4; ; 1/4; ; 30/100; 2/7; 4/17; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 19/4; 9/2; 9/2; 5; 5; 9/2; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 63/13; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; 8; ; 9; 9; ; 11; ; 9; 11; 19/2; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-23 00:19:44 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 1/4; 2/7; 2/7; 1/4; 2/7; ; 1/4; 1/4; ; 1/4; ; 30/100; 1/4; 4/17; 5/18; 3/10; 1/4; 4/17; 4/13; ; 5/18; ; ; ; ; 
Draw; 5; ; 19/4; 9/2; 9/2; 5; 21/4; 9/2; ; 19/4; 17/4; ; 19/4; ; 9/2; 11/2; 63/13; 9/2; 17/4; 9/2; 63/13; 51/10; ; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 10; 8; ; 9; 9; ; 11; ; 9; 11; 19/2; 9; 31/4; 9; 19/2; 21/2; ; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-23 04:18:37 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 1/4; 2/7; 2/7; 1/4; 2/7; ; 1/4; 1/4; ; 1/4; ; 30/100; 1/4; 4/17; 5/18; 3/10; 1/4; 4/17; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 19/4; 9/2; 9/2; 5; 21/4; 9/2; ; 19/4; 9/2; ; 19/4; ; 9/2; 11/2; 63/13; 9/2; 17/4; 9/2; 63/13; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 10; 8; ; 9; 9; ; 11; ; 9; 11; 19/2; 9; 31/4; 9; 19/2; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-23 08:19:49 GMT+3; 2016-10-29 15:15; e70300-dr003
