META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Dick Advocaat; ; 100; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
Martin ONeill; ; 100; ; ; ; ; 40; 100; ; ; ; ; ; ; ; ; 125; ; ; 125; 50; ; ; ; ; ; ; ; 
Harry Redknapp; ; 100; ; ; ; ; ; 150; ; ; ; ; ; ; ; ; 125; ; ; 125; 100; ; ; ; ; ; ; ; 
Marcelo Lippi; ; ; ; ; ; ; 40; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jean Tigana; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Martin Jol; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; 
Raymond Domenech; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ruud Gullitt; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sir Alex Ferguson; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 
Steve McClaren; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Tony Adams; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 
Alan Curbishley; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; 80; ; ; ; ; ; ; ; 
David OLeary; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sam Allardyce; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 
Gunnersaurus; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jeremy Clarkson; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Piers Morgan; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 20:19:17 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 5/6; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 5/6; 5/6; 5/6; 5/6; 87/100; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 5/2; 28/11; 12/5; 5/2; 28/11; 14/5; 13/5; 28/11; 5/2; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 15/4; 10/3; 10/3; 16/5; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 57/17; 17/5; 10/3; 57/17; 18/5; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-29 04:17:34 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 5/6; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 5/6; 5/6; 5/6; 5/6; 87/100; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 5/2; 28/11; 12/5; 5/2; 28/11; 14/5; 13/5; 28/11; 5/2; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 15/4; 10/3; 10/3; 16/5; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 57/17; 17/5; 10/3; 57/17; 71/20; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-29 08:18:27 GMT+3; 2017-03-31 19:00; e70300-dr003
Eindhoven; 3/4; 7/10; 3/4; ; 8/11; 8/11; 3/4; 4/6; 8/11; 3/4; 3/4; 3/4; 10/13; ; 3/4; 8/11; 14/19; 7/10; 4/6; 14/19; 4/5; 10/13; 13/18; 8/11; 14/19; ; 8/11; 8/11; 
Draw; 3; 5/2; 13/5; ; 11/4; 27/10; 29/10; 13/5; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; 11/4; 11/4; 27/10; 14/5; 11/4; 57/20; 27/10; 14/5; 14/5; 14/5; ; 5/2; 13/5; 
Den Bosch; 16/5; 3; 31/10; ; 10/3; 14/5; 16/5; 10/3; 3; 10/3; 16/5; 16/5; 16/5; ; 3; 16/5; 33/10; 29/10; 3; 33/10; 15/4; 11/4; 16/5; 3; 16/5; ; 3; 3; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-29 12:18:52 GMT+3; 2017-04-01 20:30; e70300-dr003
Benfica; 29/20; 6/4; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; ; 7/5; 17/11; 6/4; 6/4; 7/5; 6/4; 8/5; 7/5; 31/21; 6/4; 31/21; ; 6/4; 6/4; 8/5
Porto; 2; 2; 19/10; 9/5; 2; 20/11; 19/10; 15/8; 2; 19/10; 9/5; 15/8; 19/10; ; 2; 15/8; 19/10; 37/19; 9/5; 19/10; 107/50; 7/4; 9/5; 9/5; 24/13; ; 2; 19/10; 2
Draw; 21/10; 21/10; 2; 21/10; 21/10; 2; 85/40; 21/10; 85/40; 2; 2; 11/5; 21/10; ; 21/10; 11/5; 39/19; 9/4; 21/10; 39/19; 52/25; 21/10; 28/13; 2; 11/5; ; 19/10; 19/10; 21/10
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-29 20:17:27 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 3/4; 5/6; 17/20; 5/6; 5/6; 17/20; 5/6; 7/10; 5/6; 5/6; 4/5; 5/6; 5/6; 5/6; 10/11; 4/5; 5/6; 5/6; 5/6; 5/6; 87/100; 11/13; 11/13; 5/6; 11/13; ; 5/6; 4/5; 5/6
Draw; 23/10; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 5/2; 28/11; 14/5; 13/5; 28/11; 13/5; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 4; 16/5; 10/3; 16/5; 18/5; 10/3; 17/5; 16/5; 10/3; 10/3; 10/3; 7/2; 10/3; 3; 3; 10/3; 17/5; 17/5; 10/3; 17/5; 71/20; 7/2; 57/17; 7/2; 57/17; ; 10/3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-30 00:23:31 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 3/4; 17/20; 17/20; 5/6; 17/20; 17/20; 20/23; 4/5; 5/6; 5/6; 4/5; 5/6; 5/6; 17/20; 10/11; 4/5; 5/6; 5/6; 5/6; 5/6; 87/100; 8/9; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 12/5; 5/2; 28/11; 14/5; 13/5; 28/11; 5/2; 28/11; ; 5/2; 12/5; 27/10
Deportivo La Coruna; 4; 16/5; 16/5; 16/5; 7/2; 10/3; 16/5; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 16/5; 3; 10/3; 57/17; 17/5; 10/3; 57/17; 71/20; 16/5; 57/17; 7/2; 57/17; ; 10/3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-30 08:17:16 GMT+3; ; e70300-dr003
Dundalk; 6/5; ; ; 6/5; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; 
Cork City; 11/8; ; ; 6/4; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 
Derry; 13/2; ; ; 6; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; 
Shamrock; 14; ; ; 20; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; ; ; ; ; 
Limerick; 66; ; ; 66; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; 
St Patricks Athletic; 200; ; ; 200; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; 
Bohemians; 250; ; ; ; ; ; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; ; ; ; ; 
Drogheda; 250; ; ; 250; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; 
Finn Harps; 250; ; ; 250; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; 250; ; ; ; ; ; ; 
Sligo Rovers; 400; ; ; 250; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; 
Galway; 500; ; ; 250; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; 350; ; ; ; ; ; ; 
Bray Wanderers; 25; ; ; 20; ; ; ; 50; ; ; ; ; ; ; ; ; 5000; ; ; ; ; 28; ; ; ; ; ; ; 
Longford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; 
Wexford Youths; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-31 04:18:24 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 5/6; 9/10; 10/11; 17/20; 17/20; 5/6; 4/5; 5/6; 4/5; 4/5; 20/23; 17/20; 5/6; 10/11; 5/6; 5/6; 5/6; 4/5; 5/6; 87/100; 16/19; 9/11; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 12/5; 13/5; 27/10; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 5/2; 13/5; 12/5; 13/5; 13/5; 14/5; 27/10; 45/17; 13/5; 27/10; ; 5/2; 5/2; 11/4
Deportivo La Coruna; 15/4; 16/5; 17/5; 16/5; 7/2; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 3; 10/3; 17/5; 17/5; 10/3; 17/5; 71/20; 17/5; 57/17; 10/3; 17/5; ; 10/3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-31 08:16:49 GMT+3; 2017-04-01 14:30; e70300-dr003
Arka Gdynia 1-0; 6; ; 11/2; ; ; ; 11/2; 11/2; 21/4; 11/2; 5; 5; 21/4; 11/2; 11/2; ; 57/10; 11/2; 11/2; 57/10; ; 53/10; 11/2; 5; 11/2; ; ; 5; 
Draw 1-1; 11/2; ; 6; ; ; ; 6; 6; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 11/2; ; 25/4; 11/2; 13/2; 25/4; ; 29/5; 13/2; 11/2; 13/2; ; ; 6; 
Arka Gdynia 2-0; 7; ; 7; ; ; ; 7; 7; 13/2; 13/2; 13/2; 13/2; 7; 13/2; 13/2; ; 7; 7; 15/2; 7; ; 13/2; 15/2; 13/2; 15/2; ; ; 33/5; 
Arka Gdynia 2-1; 15/2; ; 15/2; ; ; ; 15/2; 7; 15/2; 15/2; 7; 7; 7; 7; 15/2; ; 8; 29/4; 8; 8; ; 38/5; 8; 13/2; 8; ; ; 36/5; 
Draw 0-0; 9; ; 17/2; ; ; ; 15/2; 15/2; 17/2; 17/2; 17/2; 8; 15/2; 17/2; 8; ; 29/4; 6; 15/2; 29/4; ; 89/10; 15/2; ; 15/2; ; ; 43/5; 
Gornik Leczna 1-0; 12; ; 11; ; ; ; 12; 12; 11; 11; 11; 10; 11; 11; 10; ; 21/2; 23/2; 12; 21/2; ; 11; 12; 10; 12; ; ; 58/5; 
Arka Gdynia 3-0; 12; ; 13; ; ; ; 13; 13; 12; 12; 12; 11; 12; 12; 11; ; 13; 13; 12; 13; ; 12; 12; 12; 12; ; ; 68/5; 
Arka Gdynia 3-1; 14; ; 14; ; ; ; 15; 14; 14; 12; 14; 12; 12; 14; 12; ; 29/2; 13; 14; 29/2; ; 14; 14; 12; 14; ; ; 73/5; 
Gornik Leczna 2-1; 16; ; 14; ; ; ; 15; 14; 14; 14; 14; 12; 14; 14; 12; ; 29/2; 31/2; 16; 29/2; ; 15; 16; 12; 16; ; ; 16; 
Draw 2-2; 14; ; 15; ; ; ; 15; 14; 16; 14; 14; 14; 16; 14; 12; ; 35/2; 29/2; 17; 35/2; ; 17; 17; 15; 17; ; ; 35/2; 
Gornik Leczna 2-0; 25; ; 25; ; ; ; 28; 25; 25; 25; 25; 20; 25; 25; 22; ; 45/2; 25; 24; 45/2; ; 26; 24; 22; 24; ; ; 29; 
Arka Gdynia 3-2; 25; ; 25; ; ; ; 28; 25; 33; 25; 25; 22; 28; 25; 22; ; 29; 22; 28; 29; ; 33; 28; 25; 28; ; ; 28; 
Arka Gdynia 4-0; 28; ; 28; ; ; ; 30; 33; 28; 28; 28; 22; 33; 28; 22; ; 111/4; 25; 26; 111/4; ; 30; 26; 28; 26; ; ; ; 
Arka Gdynia 4-1; 28; ; 30; ; ; ; 30; 33; 33; 28; 28; 22; 28; 28; 22; ; 30; 25; 29; 30; ; 34; 29; 28; 29; ; ; ; 
Any Other Score; ; ; 25; ; ; ; ; 22; 40; ; ; ; ; ; ; ; ; 19; ; ; ; 26; ; 40; ; ; ; ; 
Gornik Leczna 3-1; 40; ; 40; ; ; ; 50; 50; 50; 40; 45; 33; 50; 40; 40; ; 77/2; 66; 40; 77/2; ; 50; 40; 40; 40; ; ; 69; 
Gornik Leczna 3-2; 40; ; 45; ; ; ; 50; 50; 66; 40; 45; 33; 50; 40; 50; ; 89/2; 40; 55; 89/2; ; 60; 55; 40; 55; ; ; 75; 
Arka Gdynia 4-2; 50; ; 55; ; ; ; 60; 60; 80; 50; 55; 40; 50; 65; 50; ; 53; 66; 60; 53; ; 70; 60; 50; 60; ; ; ; 
Arka Gdynia 5-0; 50; ; ; ; ; ; 70; 90; 80; 66; 66; 40; 90; 80; 50; ; 59; ; 66; 59; ; ; 66; 66; 66; ; ; ; 
Arka Gdynia 5-1; 50; ; ; ; ; ; 75; 90; 100; 75; 70; 40; 80; 90; 66; ; 125/2; ; 70; 125/2; ; ; 70; 66; 70; ; ; ; 
Draw 3-3; 50; ; 66; ; ; ; 70; 75; 100; 66; 66; 40; 55; 70; 50; ; 125/2; 100; 80; 125/2; ; 100; 80; 50; 80; ; ; 108; 
Gornik Leczna 3-0; 50; ; 66; ; ; ; 70; 90; 80; 66; 66; 40; 66; 80; 66; ; 53; 125; 60; 53; ; 80; 60; 50; 60; ; ; 108; 
Arka Gdynia 5-2; 100; ; ; ; ; ; 110; 175; ; 125; 100; 66; 125; 150; 100; ; 84; ; 150; 84; ; ; 150; ; 150; ; ; ; 
Gornik Leczna 6-2; ; ; ; ; ; ; 150; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 4-3; 100; ; 125; ; ; ; 110; 150; ; 125; 100; 66; 100; 150; 100; ; 173/2; 250; 180; 173/2; ; 200; 180; ; 180; ; ; ; 
Gornik Leczna 4-1; 100; ; 125; ; ; ; 150; 200; 100; 125; 125; 66; 100; 150; 125; ; 327/4; 250; 130; 327/4; ; 200; 130; 80; 130; ; ; ; 
Gornik Leczna 4-2; 100; ; 150; ; ; ; 150; 225; 100; 150; 125; 66; 125; 150; 125; ; 173/2; 250; 180; 173/2; ; 200; 180; 80; 180; ; ; ; 
Arka Gdynia 6-1; 150; ; ; ; ; ; 150; 300; ; 175; 125; 66; 150; 200; 150; ; ; ; 200; ; ; ; 200; ; 200; ; ; ; 
Arka Gdynia 6-2; 300; ; ; ; ; ; 150; ; ; 275; 150; 80; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 6-0; 150; ; ; ; ; ; 150; 325; 100; 150; 125; 66; 150; 200; 150; ; 185/2; ; 180; 185/2; ; ; 180; 100; 180; ; ; ; 
Gornik Leczna 4-3; 150; ; 200; ; ; ; 150; 300; ; 200; 150; 66; 150; 200; 200; ; ; 250; 325; ; ; 200; 325; ; 325; ; ; ; 
Draw 4-4; 300; ; 250; ; ; ; 150; 350; ; 300; 150; ; 175; 300; ; ; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Gornik Leczna 4-0; 150; ; 200; ; ; ; 150; 400; 100; 175; 150; 66; 150; 200; 250; ; 185/2; 250; 200; 185/2; ; 200; 200; 100; 200; ; ; ; 
Arka Gdynia 5-3; 250; ; ; ; ; ; 150; 425; ; 250; 150; 80; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 6-3; ; ; ; ; ; ; ; ; ; 425; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 7-2; ; ; ; ; ; ; ; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 5-4; ; ; ; ; ; ; ; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 7-0; 500; ; ; ; ; ; 150; 500; ; 350; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 7-1; 500; ; ; ; ; ; 150; 500; ; 350; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arka Gdynia 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 5-0; ; ; ; ; ; ; 150; 500; 100; 425; 200; ; 175; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Gornik Leczna 5-1; 450; ; ; ; ; ; 150; 500; 100; 350; 200; ; 175; 300; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Gornik Leczna 5-2; 500; ; ; ; ; ; 150; 500; ; 350; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 5-3; ; ; ; ; ; ; 150; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 6-0; ; ; ; ; ; ; 150; 500; 100; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Gornik Leczna 6-1; ; ; ; ; ; ; 150; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 7-0; ; ; ; ; ; ; 150; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 7-1; ; ; ; ; ; ; 150; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; 1/1000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; 1/1000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gornik Leczna 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-31 12:18:09 GMT+3; 2017-04-02 00:00; e70300-dr003
DC United; 10/11; 19/20; 1; 1; 20/21; 1; 1; 10/11; 1; 20/21; 19/20; ; 1; ; 1; 19/20; 19/20; ; 20/21; 19/20; 1; 22/23; 22/23; 19/20; 22/23; ; 10/11; 20/21; 1
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 23/10; ; 49/20; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 66/25; 40/17; 27/11; 23/10; 27/11; ; 23/10; 23/10; 13/5
Philadelphia Union; 3; 13/5; 13/5; 5/2; 11/4; 5/2; 11/4; 13/5; 13/5; 11/4; 5/2; ; 11/4; ; 13/5; 27/10; 27/10; ; 13/5; 27/10; 149/50; 27/11; 45/17; 13/5; 45/17; ; 5/2; 12/5; 14/5
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-31 20:18:53 GMT+3; ; e70300-dr003
Crusaders; 1/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Linfield; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-01 04:17:13 GMT+3; ; e70300-dr003
Pierre Emerick Aubameyang; 4/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/19; 9/10; ; 14/19; ; 4/5; 4/5; ; 4/5; ; ; ; 
Robert Lewandowski; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 13/10; ; 7/5; ; 13/10; 6/4; ; 6/4; ; ; ; 
Anthony Modeste; 9/2; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; 6; ; 9/2; ; 9/2; 9/2; ; 9/2; ; ; ; 
Heung Min Son; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; 
Kevin De Bruyne; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; 
Tobias Werner; 250; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; 250; 300; ; 300; ; ; ; 
Franck Ribery; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 400; 250; ; 400; ; ; ; ; ; ; ; ; 
Vedad Ibisevic; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; 500; ; 500; ; ; ; 
Arjen Robben; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Javier Hernandez; 500; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; 500; ; 500; ; ; ; 
