Draw; 10; ; 13; 12; 12; 1500/100; 17; ; ; 16; 16; ; 14; ; 14; 14; 55/4; 11; 10; 11; ; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; 40; 28; 33; 50; 35; ; ; 40; 60; ; 50; ; 40; 40; 32; 33; 26; 33; 32; 40; 20; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 08:20:33 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/20; 1/20; 1/20; 1/28; ; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/20; ; ; ; 
Draw; 10; ; 13; 12; 12; 1500/100; 17; ; ; 16; 16; ; 14; ; 14; 14; 55/4; 11; 10; 11; 55/4; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; 40; 28; 33; 50; 35; ; ; 50; 60; ; 50; ; 40; 40; 32; 33; 26; 33; 32; 40; 20; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 12:20:57 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/20; 1/20; 1/20; 1/28; ; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/20; ; ; ; 
Draw; 10; ; 13; 12; 12; 1500/100; 17; ; ; 16; 16; ; 14; ; 14; 14; 55/4; 11; 10; 11; 55/4; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; 40; 28; 33; 50; 35; ; ; 50; 60; ; 50; ; 40; 40; 32; 33; 26; 33; 32; 40; 20; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 16:19:54 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/20; 1/20; 1/18; 1/28; ; ; 1/18; 1/25; ; 1/25; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/25; 1/16; 1/16; ; ; ; 
Draw; 10; ; 13; 12; 12; 16; 17; ; ; 16; 16; ; 12; ; 14; 16; 55/4; 11; 10; 11; 55/4; 19; 13; 11; 9; ; ; ; 
Granada; 33; ; 40; 28; 33; 40; 35; ; ; 40; 55; ; 45; ; 40; 50; 32; 33; 26; 33; 127/4; 40; 20; 33; 33; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-22 20:20:52 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; ; 1/16; 1/20; ; ; ; 
Draw; 10; ; 13; 12; 12; 16; 17; 12; ; 16; 16; ; 14; ; 14; 16; 55/4; 11; 10; 11; 55/4; 37/2; ; 11; 9; ; ; ; 
Granada; 33; ; 40; 25; 33; 50; 35; 33; ; 40; 55; ; 45; ; 40; 50; 127/4; 33; 26; 33; 127/4; 35; ; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 00:19:49 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/20; 1/16; 1/20; 1/20; 1/33; 1/25; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; ; 1/16; 1/20; ; ; ; 
Draw; 10; ; 13; 12; 12; 16; 17; 12; ; 16; 16; ; 14; ; 14; 16; 55/4; 11; 10; 11; 55/4; 37/2; ; 11; 9; ; ; ; 
Granada; 33; ; 40; 25; 33; 50; 40; 33; ; 40; 55; ; 50; ; 40; 50; 127/4; 33; 26; 33; 127/4; 35; ; 33; 40; ; ; ; 
