Valencia; 13/2; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 6; 7; 6; 6; 7; 6; 6; 7; 29/4; 13/2; 7; 29/4; 36/5; 28/5; 7; 6; ; 36/5; 36/5; 39/5
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 16:19:02 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 21/50; 4/9; 4/9; 4/9; 7/18; 2/5; 2/5; 7/18; 9/20; 4/9; 5/12; 4/9; ; 2/5; 2/5; 4/9
Draw; 7/2; 7/2; 7/2; 10/3; 18/5; 15/4; 15/4; 7/2; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 39/10; 18/5; 7/2; 10/3; ; 3; 10/3; 7/2
Valencia; 13/2; 6; 7; 13/2; 7; 13/2; 13/2; 7; 6; 7; 6; 7; 15/2; 13/2; 13/2; 7; 29/4; 13/2; 7; 29/4; 36/5; 31/5; 7; 13/2; ; 36/5; 15/2; 8
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 20:20:41 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 21/50; 4/9; 4/9; 4/9; 7/18; 2/5; 2/5; 7/18; 9/20; 4/9; 2/5; 2/5; ; 2/5; 2/5; 4/9
Draw; 7/2; 10/3; 7/2; 10/3; 18/5; 15/4; 18/5; 7/2; 7/2; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 18/5; 7/2; 10/3; ; 3; 10/3; 7/2
Valencia; 15/2; 13/2; 7; 13/2; 7; 13/2; 13/2; 7; 6; 7; 13/2; 7; 15/2; 7; 13/2; 7; 15/2; 13/2; 15/2; 15/2; 36/5; 31/5; 15/2; 7; ; 36/5; 36/5; 15/2
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 00:18:50 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 1/2; 4/9; 9/20; 12/25; 9/20; 4/9; 1/2; 4/9; 4/9; 4/9; 9/20; 1/2; 1/2; 4/9; 3/7; 2/5; 4/9; 3/7; 12/25; ; 4/9; 4/9; ; 4/9; 4/9; 1/2
Draw; 7/2; 10/3; 10/3; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 16/5; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 73/20; ; 17/5; 16/5; ; 3; 3; 10/3
Valencia; 13/2; 13/2; 6; 13/2; 13/2; 6; 6; 13/2; 11/2; 6; 13/2; 6; 13/2; 6; 11/2; 13/2; 13/2; 13/2; 13/2; 13/2; 34/5; ; 13/2; 6; ; 32/5; 33/5; 33/5
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 04:18:35 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 1/2; 4/9; 9/20; 1/2; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 4/9; 1/2; 4/9; 3/7; 2/5; 4/9; 3/7; 12/25; 10/21; 6/13; 4/9; ; 4/9; 4/9; 4/9
Draw; 7/2; 10/3; 17/5; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 73/20; 38/11; 17/5; 16/5; ; 3; 3; 10/3
Valencia; 13/2; 13/2; 6; 13/2; 13/2; 11/2; 6; 13/2; 11/2; 6; 13/2; 6; 6; 6; 11/2; 13/2; 13/2; 13/2; 6; 13/2; 7; 28/5; 6; 6; ; 32/5; 33/5; 33/5
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 08:18:41 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 4/9; 1/2; 4/9; 9/20; 1/2; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 4/9; 1/2; 4/9; 3/7; 2/5; 4/9; 3/7; 47/100; 10/21; 6/13; 4/9; ; 4/9; 4/9; 4/9
Draw; 7/2; 10/3; 17/5; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 73/20; 38/11; 17/5; 16/5; ; 3; 3; 10/3
Valencia; 13/2; 13/2; 6; 13/2; 13/2; 11/2; 6; 13/2; 11/2; 6; 13/2; 6; 6; 6; 11/2; 13/2; 13/2; 13/2; 6; 13/2; 73/10; 28/5; 6; 6; ; 32/5; 33/5; 33/5
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 12:19:30 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 1/2; 1/2; 4/9; 9/20; 1/2; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 4/9; 4/9; 4/9; 3/7; 2/5; 4/9; 3/7; 47/100; 10/21; 6/13; 4/9; ; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 17/5; 10/3; 7/2; 18/5; 18/5; 10/3; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 73/20; 38/11; 17/5; 16/5; ; 3; 3; 10/3
Valencia; 13/2; 11/2; 13/2; 13/2; 13/2; 11/2; 6; 13/2; 11/2; 6; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 13/2; 6; 13/2; 73/10; 28/5; 6; 6; ; 32/5; 33/5; 33/5
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 16:19:46 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 1/2; 8/15; 4/9; 1/2; 1/2; 9/20; 4/9; 1/2; 10/21; 4/9; 1/2; 12/25; 1/2; 4/9; 4/9; 3/7; 5/12; 4/9; 3/7; 47/100; 10/21; 6/13; 1/2; ; 4/9; 4/9; 1/2
Draw; 7/2; 16/5; 17/5; 7/2; 7/2; 18/5; 18/5; 10/3; 10/3; 10/3; 7/2; 16/5; 7/2; 16/5; 10/3; 7/2; 7/2; 18/5; 10/3; 7/2; 73/20; 38/11; 17/5; 7/2; ; 3; 10/3; 10/3
Valencia; 13/2; 11/2; 6; 7; 6; 11/2; 6; 13/2; 11/2; 11/2; 6; 11/2; 6; 6; 13/2; 7; 13/2; 27/4; 6; 13/2; 73/10; 28/5; 6; 6; ; 31/5; 32/5; 13/2
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-03 20:19:37 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 4/9; 1/2; 8/15; 1/2; 9/20; 1/2; 1/2; 4/9; 1/2; 10/21; 4/9; 1/2; 12/25; 1/2; 4/9; 4/9; 3/7; 5/12; 4/9; 3/7; 12/25; 1/2; 5/11; 4/9; ; 4/9; 4/9; 1/2
