Atletico Madrid; 1/2; 8/15; ; ; 8/15; 11/20; 8/15; 4/9; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 11/20; 8/15; 1/2; 10/21; 1/2; 1/2; 1/2; 6/11; 11/21; 8/15; ; 1/2; 1/2; 8/15
Draw; 3; 3; ; ; 3; 16/5; 16/5; 3; 3; 3; 14/5; 3; 3; 14/5; 16/5; 16/5; 58/19; 31/10; 3; 58/19; 18/5; 56/19; 16/5; 3; ; 3; 3; 3
Granada; 6; 11/2; ; ; 6; 11/2; 11/2; 5; 11/2; 5; 5; 11/2; 11/2; 6; 5; 11/2; 57/10; 23/4; 11/2; 57/10; 33/5; 9/2; 11/2; 6; ; 29/5; 6; 31/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-07 08:18:44 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; ; ; 8/15; 11/20; 8/15; 4/9; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 11/20; 8/15; 1/2; 10/21; 1/2; 1/2; 1/2; 6/11; 11/21; 8/15; ; 1/2; 8/15; 8/15
Draw; 3; 3; ; ; 3; 16/5; 16/5; 3; 3; 3; 14/5; 3; 3; 14/5; 16/5; 16/5; 58/19; 31/10; 3; 58/19; 18/5; 56/19; 16/5; 3; ; 3; 3; 3
Granada; 6; 11/2; ; ; 6; 11/2; 11/2; 5; 11/2; 5; 5; 11/2; 11/2; 6; 5; 11/2; 57/10; 23/4; 11/2; 57/10; 33/5; 9/2; 11/2; 6; ; 29/5; 6; 31/5
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-07 12:19:08 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 1/2; 8/15; 8/15; ; 8/15; 11/20; 1/2; 4/9; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 1/2; 8/15; 17/35; 10/21; 1/2; 17/35; 1/2; 6/11; 11/21; 8/15; ; 1/2; 1/2; 8/15
Draw; 3; 3; 3; ; 16/5; 16/5; 16/5; 3; 3; 3; 14/5; 3; 3; 29/10; 16/5; 16/5; 31/10; 31/10; 3; 31/10; 18/5; 56/19; 16/5; 3; ; 3; 3; 3
Granada; 6; 11/2; 11/2; ; 6; 11/2; 6; 5; 11/2; 11/2; 11/2; 5; 11/2; 6; 6; 6; 59/10; 23/4; 11/2; 59/10; 33/5; 9/2; 11/2; 6; ; 29/5; 6; 32/5
