META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 00:19:21 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 3/4; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Sevilla; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 4/6; 7/12; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 3; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 59/20; 3; 56/19; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 5; 79/17; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 18:31:59 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 4/6; 7/12; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 3; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 3; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 59/20; 3; 56/19; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 47/10; 17/4; 5; 47/10; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 19:46:06 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 19/29; 7/12; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 3; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 3; 14/5; 3; 56/19; 14/5; 14/5; 56/19; 59/20; 3; 56/19; 14/5; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 5; 79/17; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 20:20:20 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 19/29; 7/12; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 3; 14/5; 14/5; 56/19; 14/5; 14/5; 56/19; 59/20; 3; 56/19; 14/5; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 5; 79/17; 23/5; 43/10; 5; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 21:46:03 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 7/10; 19/29; 11/18; 4/6; ; 8/13; 8/13; 8/13
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 3; 14/5; 14/5; 56/19; 14/5; 3; 56/19; 59/20; 3; 3; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 17/4; 22/5; 23/5; 23/5; 43/10; 22/5; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-01 23:45:33 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 16/25; 19/29; 11/18; 4/6; ; 8/13; 8/13; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 14/5; 56/19; 14/5; 3; 56/19; 31/10; 3; 3; 3; ; 14/5; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 17/4; 22/5; 23/5; 5; 43/10; 22/5; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 00:18:36 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 16/25; 19/29; 11/18; 4/6; ; 4/7; 8/13; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 14/5; 56/19; 14/5; 3; 56/19; 31/10; 3; 3; 3; ; 3; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 17/4; 22/5; 23/5; 5; 43/10; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 00:50:51 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 11/18; 4/6; 4/7; 11/18; 16/25; 19/29; 11/18; 4/6; ; 4/7; 8/13; 4/6
Draw ; 14/5; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 14/5; 56/19; 14/5; 3; 56/19; 31/10; 3; 3; 3; ; 3; 3; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 17/4; 22/5; 23/5; 5; 43/10; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 01:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 13/20; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 11/17; 7/12; 8/13; ; 8/13; 8/13; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 3; 29/10; 16/5; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 3; 56/19; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 19/4; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 24/5; 9/2; 5; 24/5; 5; 43/10; 5; 9/2; ; 23/5; 24/5; 5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 03:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 11/17; 7/12; 4/6; ; 4/7; 8/13; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 14/5; 29/10; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 3; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 9/2; 9/2; 9/2; 460/100; 9/2; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; 24/5; 9/2; 5; 24/5; 5; 43/10; 5; 9/2; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 04:18:26 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 11/17; 7/12; 4/6; ; 4/7; 8/13; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 14/5; 29/10; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 3; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 9/2; 9/2; 9/2; 460/100; 9/2; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; 24/5; 9/2; 5; 24/5; 5; 43/10; 5; 9/2; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 05:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 7/11; 7/12; 4/6; ; 4/7; 4/7; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 14/5; 29/10; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 56/19; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 9/2; 9/2; 9/2; 470/100; 9/2; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; 24/5; 9/2; 5; 24/5; 5; 9/2; 5; 9/2; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 06:28:08 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 13/20; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 7/11; 7/12; 4/6; ; 4/7; 4/7; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 14/5; 29/10; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 56/19; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 19/4; 9/2; 9/2; 470/100; 9/2; 4; 17/4; 19/4; 9/2; 5; 9/2; 5; 9/2; 9/2; 24/5; 9/2; 5; 24/5; 5; 9/2; 5; 9/2; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 07:45:17 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 13/20; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 10/17; 8/13; 4/7; 10/17; 16/25; 7/11; 7/12; 8/13; ; 4/7; 8/13; 4/6
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 14/5; 16/5; 29/10; 3; 14/5; 3; 29/10; 3; 14/5; 56/19; 31/10; 56/19; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 19/4; 9/2; 9/2; 470/100; 9/2; 4; 17/4; 19/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 63/13; 9/2; 5; 63/13; 5; 9/2; 5; 5; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 08:18:20 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 13/20; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 3/5; 13/20; 13/20; 4/6; 10/17; 8/13; 4/7; 10/17; 16/25; 5/8; 7/12; 8/13; ; 4/7; 4/7; 4/7
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 3; 3; 29/10; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 31/10; 3; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 19/4; 9/2; 9/2; 470/100; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 63/13; 9/2; 5; 63/13; 5; 23/5; 5; 5; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 09:45:14 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 4/7; 3/5; 4/7; 8/13; 3/5; 13/20; 13/20; 4/6; 10/17; 8/13; 4/7; 10/17; 16/25; 5/8; 7/12; 8/13; ; 4/7; 4/7; 4/7
Draw ; 29/10; 29/10; 31/10; 14/5; 3; 3; 3; 11/4; 3; 14/5; 3; 3; 29/10; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 31/10; 3; 56/19; 3; ; 14/5; 14/5; 14/5
Athletic Bilbao; 19/4; 4; 19/4; 9/2; 5; 19/4; 9/2; 4; 9/2; 19/4; 19/4; 5; 9/2; 5; 9/2; 9/2; 49/10; 9/2; 5; 49/10; 5; 23/5; 5; 5; ; 24/5; 5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 11:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 4/6; 7/10; 4/6; 4/6; 7/10; 7/10; 8/13; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 33/50; 13/19; 11/17; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 29/10; 14/5; 14/5; 3; 29/10; 14/5; 14/5; ; 14/5; 14/5; 14/5
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 21/5; 4; 17/4; 17/4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 22/5; 17/4; 22/5; 22/5; 5; 21/5; 22/5; 9/2; ; 9/2; 23/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 12:18:44 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 8/13; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 33/50; 13/19; 11/17; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 29/10; 14/5; 14/5; 3; 29/10; 14/5; 14/5; ; 14/5; 14/5; 14/5
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 21/5; 4; 17/4; 17/4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 22/5; 17/4; 22/5; 22/5; 5; 21/5; 22/5; 9/2; ; 9/2; 24/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 12:58:08 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 8/13; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 33/50; 7/10; 11/17; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 29/10; 14/5; 3; 14/5; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 29/10; 14/5; 14/5; 3; 29/10; 14/5; 14/5; ; 14/5; 14/5; 14/5
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 21/5; 4; 17/4; 17/4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 17/4; 22/5; 9/2; 5; 4; 22/5; 9/2; ; 9/2; 24/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 13:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 8/13; 8/13; 13/20; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 33/50; 13/19; 11/17; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 29/10; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 3; 3; 14/5; 14/5; 37/13; 29/10; 14/5; 37/13; 3; 29/10; 14/5; 14/5; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 17/4; 4; 17/4; 24/5; 9/2; 9/2; 9/2; 17/4; 22/5; 9/2; 5; 43/10; 22/5; 9/2; ; 23/5; 23/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 15:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 13/20; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 13/19; 11/17; 4/6; ; 4/6; ; 4/6
Draw ; 14/5; 3; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 3; 29/10; 29/10; 14/5; 29/10; 149/50; 29/10; 14/5; 14/5; ; 14/5; ; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 22/5; 4; 17/4; 4; 9/2; 4; 17/4; 24/5; 9/2; 9/2; 74/17; 17/4; 22/5; 74/17; 24/5; 21/5; 22/5; 9/2; ; 9/2; ; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 16:18:44 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 4/6; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 29/10; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 3; 29/10; 29/10; 14/5; 29/10; 149/50; 29/10; 14/5; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 17/4; 24/5; 9/2; 9/2; 22/5; 17/4; 22/5; 22/5; 24/5; 43/10; 22/5; 9/2; ; 9/2; 23/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 17:45:13 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 3/5; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 7/10; 4/6; 8/13; 11/17; 4/7; 8/13; 4/6; 7/11; 5/8; 4/6; ; 8/13; 8/13; 4/6
Draw ; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 3; 14/5; 3; 3; 3; 3; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 31/10; 56/19; 56/19; 3; ; 14/5; 14/5; 3
Athletic Bilbao; 19/4; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 19/4; 24/5; 4; 9/2; 49/11; 17/4; 22/5; 49/11; 47/10; 47/10; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 18:29:17 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 3/5; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 7/10; 4/6; 8/13; 11/17; 4/7; 8/13; 4/6; 11/17; 5/8; 8/13; ; 8/13; 8/13; 4/6
Draw ; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 3; 14/5; 3; 14/5; 3; 3; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 31/10; 56/19; 56/19; 3; ; 14/5; 3; 3
Athletic Bilbao; 19/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 19/4; 24/5; 4; 9/2; 9/2; 17/4; 22/5; 9/2; 47/10; 135/29; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 19:45:19 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 3/5; 8/13; 13/20; 4/6; 4/6; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 4/6; 11/18; 8/13; 4/7; 11/18; 13/20; 11/17; 5/8; 8/13; ; 4/7; 4/7; 8/13
Draw ; 3; 3; 3; 3; 3; 3; 3; 11/4; 3; 14/5; 3; 3; 3; 3; 3; 31/10; 58/19; 3; 14/5; 58/19; 63/20; 29/10; 56/19; 3; ; 3; 3; 3
Athletic Bilbao; 19/4; 9/2; 9/2; 4; 9/2; 460/100; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 19/4; 5; 9/2; 9/2; 50/11; 9/2; 22/5; 23/5; 24/5; 23/5; 22/5; 9/2; ; 23/5; 24/5; 24/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 20:20:10 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 3/5; 8/13; 13/20; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 7/11; 3/5; 8/13; ; 4/7; 4/7; 4/6
Draw ; 3; 3; 3; 3; 3; 3; 3; 11/4; 3; 14/5; 3; 3; 3; 16/5; 3; 31/10; 58/19; 3; 14/5; 58/19; 16/5; 29/10; 31/10; 3; ; 3; 3; 3
Athletic Bilbao; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 4; 17/4; 4; 9/2; 9/2; 19/4; 24/5; 9/2; 9/2; 49/11; 9/2; 22/5; 49/11; 24/5; 23/5; 22/5; 9/2; ; 23/5; 24/5; 9/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 21:45:14 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 3/5; 4/6; 13/20; 4/6; 4/6; 13/20; 13/20; 4/7; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 4/6; 11/18; 8/13; 4/7; 11/18; 16/25; 7/11; 3/5; 8/13; ; 4/7; 8/13; 8/13
Draw ; 3; 3; 3; 3; 3; 3; 3; 3; 3; 14/5; 3; 3; 3; 16/5; 3; 29/10; 58/19; 3; 3; 58/19; 16/5; 29/10; 31/10; 3; ; 3; 3; 3
Athletic Bilbao; 19/4; 17/4; 9/2; 4; 9/2; 9/2; 19/4; 9/2; 17/4; 17/4; 9/2; 9/2; 19/4; 24/5; 9/2; 9/2; 50/11; 9/2; 22/5; 50/11; 24/5; 79/17; 22/5; 9/2; ; 23/5; 23/5; 23/5
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-02 23:45:18 GMT+2; 2017-03-02 20:30; In Play; e70300-dr003
Sevilla; 2/11; 1/5; 2/9; 1/5; 1/5; 1/5; 2/11; 1/7; ; 1/5; 1/5; 1/5; 1/5; 2/9; ; ; 1/5; 2/11; ; 1/5; 6/25; ; ; 2/9; ; ; 1/4; 1/4
Draw; 9/2; 5; 17/4; 9/2; 5; 9/2; 5; 5; ; 17/4; 9/2; 9/2; 9/2; 24/5; ; ; 9/2; 19/4; ; 9/2; 9/2; ; ; 9/2; ; ; 21/5; 23/5
Athletic Bilbao; 20; 22; 18; 18; 22; 22; 20; 22; ; 18; 20; 16; 20; 18; ; ; 79/4; 20; ; 79/4; 33/2; ; ; 16; ; ; 22; 20
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-03 00:18:33 GMT+2; 2017-03-02 20:30; In Play; e70300-dr003
Sevilla; 1/40; 1/33; 1/20; 1/100; ; ; ; ; ; ; ; 1/40; 1/40; 1/8; ; ; ; ; ; ; 1/22; ; ; 1/14; ; ; 1/14; 1/14
Draw; 16; 20; 9; 18; ; ; ; ; ; ; ; 14; 12; 6; ; ; ; ; ; ; 11; ; ; 17/2; ; ; 63/5; 57/5
Athletic Bilbao; 500; 250; 120; 80; ; ; ; ; ; ; ; 150; 125; 45; ; ; ; ; ; ; 225; ; ; 100; ; ; 566; 99
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-03-03 00:52:13 GMT+2; 2017-03-02 20:30; In Play; e70300-dr003
Sevilla; ; 1/66; 1/20; 1/1000; ; ; 1/18; 1/40; ; ; ; ; 1/40; ; ; ; 1/100; ; ; 1/100; ; ; ; ; ; ; ; 
Draw; ; 33; 9; 55; ; ; 17/2; 13; ; ; ; ; 12; ; ; ; 14; ; ; 25; ; ; ; ; ; ; ; 
Athletic Bilbao; ; 250; 120; 80; ; ; 100; 300; ; ; ; ; 125; ; ; ; 413/4; ; ; 500; ; ; ; ; ; ; ; 
