META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 00:19:17 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 04:19:10 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 08:19:15 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 12:20:08 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 16:20:18 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; 13/5; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; 71/20; 37/13; 15/4; 10/3; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-27 20:20:21 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; 3/4; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; 13/5; ; 27/10; ; 
