Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 18:16:58 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; ; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; ; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; ; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-24 22:16:58 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; ; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; ; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; ; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-25 02:16:54 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-25 06:16:36 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-25 10:16:56 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 5/18; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 4/17; 5/18; 1/4; 4/17; 7/25; 3/11; 1/4; ; 1/4; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 5; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 51/10; 17/4; 23/5; 51/10; 53/10; 24/5; 19/4; ; 19/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 10; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 45/4; 9; 11; 45/4; 12; 10; 11; ; 11; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-25 14:16:14 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
