META; english/premier-league/man-city-v-stoke; 2017-02-28 22:16:21 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; ; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; ; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 4/11; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 02:15:59 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/11; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; ; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; ; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 4/11; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 06:16:00 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/9; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; ; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 26/5; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; ; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 59/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 10:15:58 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/9; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; ; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 26/5; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; ; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 59/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 14:16:30 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/9; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; ; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 26/5; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; ; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 59/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 18:16:06 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 1/4; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/9; ; 
