META; english/premier-league/leicester-v-hull; 2017-02-12 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 131/50; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 77/20; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 02:16:52 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; ; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; ; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; ; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 06:16:17 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 10:16:20 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 14:16:34 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 18:16:36 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; 19/20; ; 1; 1; 19/20; 1; 21/20; 19/20; 21/20; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; 47/20; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 49/20; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; 59/20; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 63/20; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-17 22:16:46 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; ; 1; 10/11; 21/20; 20/21; 1; 1; 19/20; ; 1; 1; 19/20; 1; 21/20; 19/20; 21/20; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; 47/20; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 49/20; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; ; 16/5; 11/4; 14/5; 3; 13/5; 11/4; 59/20; ; 3; 3; 58/19; 13/5; 11/4; 58/19; 63/20; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-18 02:16:25 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; 19/20; ; 1; 1; 19/20; 1; 21/20; 19/20; 21/20; 13/12; 21/20; ; ; ; ; 
