META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-12 13:08:24 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 00:20:01 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 04:19:59 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 08:19:57 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 12:20:25 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 16:20:31 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-24 20:20:24 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 9/4; 11/5; 9/4; 9/4; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 00:19:56 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 04:19:48 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 08:19:52 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 12:20:06 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; ; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; ; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; ; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 16:20:26 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-25 20:21:21 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 00:21:14 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 04:20:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 08:21:07 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; ; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; ; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; ; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 12:21:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 16:21:22 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; ; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; ; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-26 20:21:42 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 23/10; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 00:20:48 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 1/33; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 04:20:35 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 20/21; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 17/10; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 9/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 08:20:43 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; ; 15/13; ; 20/21; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; ; 37/19; ; 11/8; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; ; 12/5; ; 7/4; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 12:21:07 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; ; 15/13; ; 20/21; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; ; 37/19; ; 13/8; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; ; 12/5; ; 19/10; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 16:21:23 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 20/21; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 13/8; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 19/10; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-27 20:21:58 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-28 00:20:59 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-28 04:19:48 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-28 08:21:09 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 11/10; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-28 12:21:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; 6/5; ; 6/5; 23/20; 23/20; ; 23/20; ; 6/5; 15/13; 6/5; 6/5; 6/5; 11/10; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 5/2; 5/2; 23/10; ; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; ; 11/5; ; 
