Cadiz; 6/5; 23/20; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 2; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 19/10; 2; 21/10; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 5/2; 5/2; 21/10; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-31 18:26:23 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 6/5; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 5/4; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 19/10; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 19/10; 2; 21/10; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 5/2; 5/2; 21/10; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-31 22:26:21 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; 6/5; 6/5; 6/5; 33/25; ; ; ; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; 19/10; 2; 2; 2; ; ; ; 2; 2; 2; 19/10; 21/10; ; 2; ; 2; 37/19; 2; 21/10; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; 12/5; 23/10; 23/10; 141/ 50; ; ; ; 13/5; 23/10; 5/2; 5/2; 9/4; ; 5/2; ; 5/2; 28/11; 5/2; 21/10; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2018-01-01 02:26:22 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
