Draw; 9/4; 11/5; 11/5; 9/4; 12/5; 11/5; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 49/20; 9/4; 23/10; 9/4; 12/5; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 12/5; 9/4; 12/5
Gimnastic; 17/4; 15/4; 18/5; 18/5; 4; 10/3; 4; 7/2; 37/10; 18/5; 18/5; 7/2; 4; 19/5; 7/2; 15/4; 15/4; 37/10; 39/10; 41/10; 33/10; 37/10; 7/2; 10/3; 7/2; ; 4; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-08 02:27:44 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 4/5; 3/4; 4/5; 5/6; 4/5; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 10/13; 3/4; 5/6; 4/5; ; 4/5; 4/5; 81/100; 5/6; 4/5; 4/5; 4/5; 4/5; ; 4/5; 8/11; 4/5
Draw; 23/10; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 62/25; 11/5; 23/10; 23/10; 11/5; 9/4; ; 12/5; 9/4; 12/5
Gimnastic; 15/4; 15/4; 18/5; 18/5; 4; 10/3; 4; 7/2; 37/10; 18/5; 18/5; 7/2; 4; 19/5; 7/2; 15/4; ; 37/10; 50/13; 22/5; 31/10; 37/10; 7/2; 10/3; 7/2; ; 4; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-08 10:27:30 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 4/5; 3/4; 4/5; 5/6; 4/5; 3/4; 4/5; 4/6; 4/5; 4/5; 4/5; 4/5; 10/13; 3/4; 3/4; 4/5; ; 4/5; 10/13; 81/100; 9/11; 4/5; 4/5; 8/11; 4/5; ; 4/5; 8/11; 4/5
Draw; 23/10; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; 9/4; 49/20; 9/4; 23/10; 9/4; ; 23/10; 40/17; 62/25; 23/10; 23/10; 23/10; 11/5; 9/4; ; 12/5; 12/5; 5/2
Gimnastic; 15/4; 15/4; 37/10; 18/5; 4; 10/3; 21/5; 7/2; 37/10; 18/5; 18/5; 7/2; 4; 19/5; 4; 15/4; ; 37/10; 75/19; 22/5; 57/17; 37/10; 7/2; 7/2; 7/2; ; 21/5; 7/2; 21/5
