META; english/league-1/plymouth-v-gillingham; 2017-12-03 02:21:53 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 10:22:04 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 14:22:14 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; ; ; ; ; 5/4; 6/5; 16/13; ; 5/4; ; ; ; ; 13/10; ; 6/5; ; ; 16/13; 13/10; 5/4; 5/4; 6/5; ; 5/6; ; 
Draw; 12/5; 23/10; 9/4; ; ; 23/10; 9/4; 9/4; 11/5; 23/10; 23/10; 21/10; ; 9/4; 23/10; 23/10; ; 23/10; 121/50; 11/5; 11/5; 23/10; 12/5; 11/5; 40/17; ; 11/5; ; 12/5
META; english/league-1/plymouth-v-gillingham; 2017-12-07 02:22:03 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 7/5; 13/10; 11/8; 4/3; 11/8; 11/8; 11/8; ; 5/4; 13/10; 11/8; ; 13/10; 11/8; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 13/10; 13/10; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; ; 2; 21/10; 2; ; 39/19; 109/50; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 2; 19/10; 21/10
Draw; 12/5; 23/10; 9/4; ; ; 23/10; 9/4; 9/4; 11/5; 23/10; 23/10; 21/10; ; 9/4; 23/10; 23/10; ; 23/10; 61/25; 11/5; 11/5; 23/10; 12/5; 11/5; 40/17; ; 21/10; ; 12/5
META; english/league-1/plymouth-v-gillingham; 2017-12-07 10:22:08 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 7/5; 13/10; 11/8; 4/3; 11/8; 11/8; 11/8; ; 5/4; 13/10; 11/8; ; 13/10; 34/25; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 13/10; 13/10; 
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; ; 2; 21/10; 2; ; 39/19; 11/5; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 9/5; 19/10; 
Draw; 12/5; 23/10; 9/4; ; ; 23/10; 9/4; 9/4; 11/5; 23/10; 23/10; 21/10; ; 9/4; 23/10; 23/10; ; 23/10; 49/20; 11/5; 11/5; 23/10; 12/5; 11/5; 40/17; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-07 14:22:37 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 23/17; ; ; 7/5; 13/10; 11/8; 4/3; 11/8; 11/8; 11/8; ; 5/4; 13/10; 11/8; ; 13/10; 34/25; 9/7; 4/3; 13/10; 11/8; 27/20; 13/10; ; 13/10; 13/10; 11/8
Gillingham; 2; 21/10; 2; ; ; 21/10; 2; 21/10; 21/10; 2; 2; 21/10; ; 2; 21/10; 2; ; 39/19; 11/5; 24/13; 21/10; 85/40; 2; 21/10; 39/19; ; 9/5; 19/10; 21/10
