MK Dons; 15/8; 7/4; 7/4; 8/5; 46/25; 9/5; 7/4; 9/5; 28/17; 7/4; 9/5; 15/8; ; 17/10; 17/10; 17/10; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 7/4; 7/4; 7/4; ; 7/4; 7/4; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 64/25; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 9/4; ; 49/20; 12/5; 23/10; 11/5; 40/17; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 12/5; 12/5; 5/2
META; english/league-1/mk-dons-v-peterborough; 2017-12-29 02:22:09 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 16/11; 8/5; 31/20; 6/4; 6/4; 7/5; 31/21; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 16/11; 6/4; 23/17; 31/21; 7/4; 29/20; 29/20; 6/4; ; 6/4; 6/4; 6/4
MK Dons; 15/8; 7/4; 7/4; 8/5; 46/25; 9/5; 7/4; 9/5; 28/17; 7/4; 9/5; 15/8; 6/4; 17/10; 17/10; 17/10; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 7/4; 7/4; 7/4; ; 7/4; 17/10; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 64/25; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 9/4; 12/5; 49/20; 12/5; 23/10; 11/5; 40/17; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 12/5; 23/10; 5/2
META; english/league-1/mk-dons-v-peterborough; 2017-12-29 10:22:10 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 16/11; 29/20; 31/20; 6/4; 6/4; 7/5; 31/21; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 16/11; 6/4; 25/18; 31/21; 7/4; 29/20; 29/20; 16/11; ; 6/4; 6/4; 6/4
MK Dons; 15/8; 7/4; 7/4; 7/4; 46/25; 9/5; 7/4; 9/5; 17/10; 7/4; 9/5; 15/8; 6/4; 17/10; 17/10; 17/10; 9/5; 7/4; 9/5; 28/17; 17/10; 6/4; 7/4; 7/4; 7/4; ; 7/4; 17/10; 9/5
Draw; 13/5; 5/2; 12/5; 5/2; 64/25; 5/2; 23/10; 12/5; 27/11; 12/5; 5/2; 9/4; 12/5; 49/20; 12/5; 12/5; 11/5; 12/5; 11/5; 13/5; 27/11; 12/5; 13/5; 12/5; 12/5; ; 12/5; 23/10; 5/2
