META; english/league-2/grimsby-v-yeovil; 2017-09-10 14:24:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; 11/5; 2; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-10 18:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; ; 23/20; ; ; ; ; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Yeovil; 3; 14/5; 27/10; 12/5; 11/4; 12/5; 27/10; 11/4; 27/11; 14/5; 29/10; 14/5; 57/20; 3; 14/5; 11/4; 13/5; 27/11; 14/5; 3; 40/17; 27/11; 12/5; 14/5; 11/4; ; 27/10; 13/5; 14/5
META; english/league-2/grimsby-v-yeovil; 2017-09-15 14:21:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 1; 1; 21/20; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; ; 21/20; 20/21; 21/20
Draw; 13/5; 12/5; 9/4; 9/4; 12/5; 11/5; 13/5; 23/10; 27/11; 9/4; 23/10; 23/10; 47/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 62/25; 23/10; 27/11; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
Yeovil; 3; 14/5; 27/10; 12/5; 3; 12/5; 29/10; 13/5; 27/11; 14/5; 29/10; 14/5; 57/20; 3; 14/5; 11/4; 13/5; 27/11; 14/5; 3; 40/17; 27/11; 12/5; 14/5; 11/4; ; 27/10; 13/5; 14/5
META; english/league-2/grimsby-v-yeovil; 2017-09-15 18:22:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 1; 19/20; 21/20; 1; 1; 1; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 1; 26/25; 22/23; 21/20; 1; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 12/5; 11/5; 23/10; 12/5; 11/5; 12/5; 23/10; 27/11; 9/4; 9/4; 12/5; 12/5; 5/2; 12/5; 12/5; 23/10; ; 40/17; 123/50; 11/5; 27/11; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
Yeovil; 3; 14/5; 14/5; 11/4; 3; 12/5; 3; 13/5; 27/11; 29/10; 29/10; 14/5; 29/10; 3; 14/5; 14/5; 13/5; 27/11; 14/5; 61/20; 13/5; 27/11; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3
META; english/league-2/grimsby-v-yeovil; 2017-09-15 22:22:57 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 1; 19/20; 21/20; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 1; 21/20; 1; 1; 21/20; 21/20; 1; 107/100; 22/23; 21/20; 1; 1; 1; ; 1; 20/21; 21/20
Draw; 13/5; 12/5; 11/5; 23/10; 5/2; 11/5; 13/5; 23/10; 27/11; 9/4; 9/4; 12/5; 12/5; 5/2; 12/5; 12/5; 23/10; ; 23/10; 49/20; 11/5; 27/11; 12/5; 12/5; 9/4; ; 9/4; 23/10; 12/5
Yeovil; 3; 14/5; 14/5; 11/4; 11/4; 12/5; 29/10; 13/5; 27/11; 14/5; 29/10; 14/5; 29/10; 3; 14/5; 14/5; 13/5; 27/11; 11/4; 74/25; 13/5; 27/11; 11/4; 14/5; 11/4; ; 11/4; 13/5; 3
