META; english/league-2/port-vale-v-forest-green; 2017-09-10 14:24:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 15/8; 9/5; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-10 18:24:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; 29/20; ; 29/20; 7/5; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 
Forest Green; 9/4; 2; 39/20; 15/8; 11/5; 9/5; 2; 21/10; 2; 2; 2; 21/10; 21/10; 9/4; 19/10; 39/19; 19/10; 2; 2; 9/4; 16/9; 2; 21/10; 2; 2; ; 2; 19/10; 9/4
Draw; 5/2; 12/5; 9/4; 9/4; 12/5; 21/10; 5/2; 23/10; 23/10; 23/10; 23/10; 9/4; 49/20; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 61/25; 27/11; 23/10; 12/5; 23/10; 9/4; ; 9/4; 23/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-15 14:22:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 13/10; 11/8; 27/20; 13/10; 13/10; 4/3; 7/5; 5/4; 23/17; 23/17; 11/8; 13/10; 27/20; 13/10; 11/8; 13/10; 7/5; 23/17; 13/10; 7/5; 11/9; 23/17; 11/8; 13/10; 11/8; ; 5/4; 5/4; 11/8
Forest Green; 9/4; 19/10; 19/10; 15/8; 21/10; 9/5; 2; 21/10; 2; 2; 2; 19/10; 2; 9/4; 19/10; 2; 19/10; 2; 39/19; 107/50; 16/9; 2; 2; 2; 2; ; 2; 19/10; 21/10
Draw; 5/2; 12/5; 9/4; 9/4; 12/5; 21/10; 5/2; 23/10; 23/10; 23/10; 23/10; 5/2; 49/20; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 61/25; 27/11; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-15 18:22:13 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 13/10; 11/8; 13/10; 13/10; 11/8; 4/3; 7/5; 13/10; 23/17; 23/17; 27/20; 13/10; 27/20; 11/8; 11/8; 13/10; 7/5; 23/17; 23/17; 143/100; 11/10; 23/17; 11/8; 13/10; 11/8; ; 13/10; 5/4; 7/5
Forest Green; 9/4; 19/10; 2; 21/10; 21/10; 9/5; 2; 2; 2; 2; 2; 2; 2; 11/5; 19/10; 39/19; 19/10; 2; 39/19; 85/40; 21/10; 2; 2; 2; 2; ; 2; 19/10; 21/10
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 21/10; 12/5; 12/5; 23/10; 9/4; 9/4; 23/10; 49/20; 5/2; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; ; 9/4; 9/4; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-15 22:23:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 13/10; 6/5; 23/17; 5/4; 5/4; 6/5; 6/5; 13/10; 6/5; 13/10; 5/4; 23/17; 5/4; 129/100; 19/16; 23/17; 5/4; 5/4; 5/4; ; 6/5; 5/4; 5/4
Forest Green; 9/4; 11/5; 43/20; 21/10; 9/4; 2; 9/4; 11/5; 2; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 28/13; 21/10; 2; 11/5; 119/50; 23/12; 2; 11/5; 9/4; 9/4; ; 21/10; 19/10; 23/10
