Arsenal; 12/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 12/5; 5/2; ; 5/2; ; 5/2; 23/10; 5/2; 5/2; 27/11; 13/5; 5/2; 5/2; 49/20; 28/11; ; 5/2; 13/5; 27/10
Draw; 13/5; 14/5; 27/10; 11/4; 143/50; ; 11/4; ; 27/10; 11/4; 5/2; ; ; ; 13/5; 5/2; 27/10; 11/4; 37/13; 27/10; 14/5; 14/5; 27/10; 11/4; ; 11/4; 13/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-06 18:16:11 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 19/20; 1; 1; 26/25; ; 1; ; 1; 1; 1; ; 1; 1; 21/20; 19/20; ; 1; 68/67; 1; 1; 21/20; 19/20; 1; ; 1; 1; 21/20
Arsenal; 13/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 5/2; 13/5; ; 5/2; 49/20; 5/2; 23/10; 13/5; 5/2; 28/11; 13/5; 5/2; 13/5; 5/2; 45/17; ; 13/5; 13/5; 11/4
Draw; 11/4; 14/5; 11/4; 11/4; 143/50; ; 11/4; ; 27/10; 11/4; 5/2; ; ; 11/4; 13/5; 5/2; 11/4; 11/4; 37/13; 27/10; 14/5; 14/5; 14/5; 14/5; ; 11/4; 13/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-06 22:15:59 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 19/20; 19/20; 1; 26/25; ; 21/20; ; 1; 1; 1; ; 1; 1; 21/20; 10/11; ; 1; 42/41; 1; 1; 1; 19/20; 1; ; 1; 1; 1
Arsenal; 13/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 5/2; 13/5; ; 5/2; 49/20; 5/2; 23/10; 13/5; 5/2; 5/2; 13/5; 5/2; 27/10; 5/2; 45/17; ; 13/5; 13/5; 11/4
Draw; 11/4; 14/5; 27/10; 11/4; 143/50; ; 11/4; ; 27/10; 11/4; 11/4; ; ; 11/4; 13/5; 13/5; 11/4; 11/4; 37/13; 27/10; 14/5; 29/10; 14/5; 14/5; ; 11/4; 13/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-07 02:15:59 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 26/25; ; 1; ; 1; 1; 1; ; 21/20; 1; 21/20; 10/11; ; 1; 42/41; 1; 1; 1; 19/20; 1; ; 1; 1; 1
Arsenal; 13/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 5/2; 13/5; ; 5/2; 49/20; 5/2; 23/10; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 45/17; ; 13/5; 13/5; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 143/50; ; 11/4; ; 27/10; 11/4; 11/4; ; ; 11/4; 13/5; 13/5; 11/4; 11/4; 37/13; 27/10; 14/5; 29/10; 14/5; 14/5; ; 11/4; 13/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-07 10:15:58 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 26/25; ; 1; ; 1; 1; 1; ; 21/20; 1; 21/20; 10/11; ; 1; 42/41; 1; 1; 1; 19/20; 1; ; 1; 1; 1
Arsenal; 13/5; 12/5; 12/5; 12/5; 69/25; ; 5/2; ; 13/5; 5/2; 13/5; ; 5/2; 49/20; 5/2; 23/10; 28/11; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 28/11; ; 5/2; 13/5; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 143/50; ; 11/4; ; 27/10; 11/4; 11/4; ; ; 11/4; 13/5; 13/5; 14/5; 11/4; 37/13; 27/10; 3; 29/10; 14/5; 14/5; ; 11/4; 13/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-07 14:16:05 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 26/25; 1; 21/20; ; 1; 1; 1; 20/21; 17/20; 1; 21/20; 10/11; ; 1; 42/41; 1; 1; 21/20; 19/20; 1; ; 1; 21/20; 21/20
Arsenal; 13/5; 12/5; 12/5; 12/5; 69/25; 13/5; 13/5; ; 45/17; 5/2; 13/5; 5/2; 27/10; 49/20; 5/2; 23/10; 13/5; 5/2; 5/2; 45/17; 13/5; 13/5; 5/2; 45/17; ; 13/5; 13/5; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 143/50; 11/4; 11/4; ; 11/4; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 13/5; 14/5; 11/4; 37/13; 11/4; 14/5; 14/5; 14/5; 37/13; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-07 18:16:00 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 21/20; 1; 20/21; 1; 21/20; 1; 1; 20/21; 17/20; 21/20; 21/20; 10/11; ; 1; 42/41; 1; 1; 21/20; 19/20; 1; ; 1; 21/20; 21/20
Arsenal; 13/5; 12/5; 12/5; 12/5; 67/25; 13/5; 11/4; 13/5; 45/17; 12/5; 13/5; 5/2; 27/10; 12/5; 5/2; 23/10; 28/11; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; 13/5; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 29/10; 11/4; 11/4; 13/5; 37/13; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 13/5; 14/5; 11/4; 37/13; 11/4; 14/5; 14/5; 14/5; 14/5; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-07 22:16:01 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 53/50; 1; 20/21; 1; 21/20; 1; 1; 20/21; 17/20; 21/20; 21/20; 10/11; ; 1; ; 1; 21/20; 21/20; 19/20; 1; ; 1; 21/20; 21/20
Arsenal; 13/5; 12/5; 12/5; 12/5; 67/25; 13/5; 11/4; 13/5; 45/17; 12/5; 13/5; 5/2; 27/10; 12/5; 5/2; 23/10; 28/11; 5/2; ; 13/5; 5/2; 13/5; 49/20; 13/5; ; 5/2; 13/5; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 72/25; 11/4; 11/4; 13/5; 37/13; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 13/5; 14/5; 11/4; ; 11/4; 14/5; 14/5; 14/5; 14/5; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-08 02:16:00 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 10/11; 1; 1; 1; 53/50; 1; 21/20; 1; 21/20; 1; 1; 20/21; 17/20; 21/20; 21/20; 10/11; ; 1; 42/41; 1; 21/20; 21/20; 19/20; 1; ; 1; 21/20; 21/20
Arsenal; 13/5; 23/10; 12/5; 12/5; 67/25; 13/5; 5/2; 13/5; 45/17; 12/5; 13/5; 5/2; 27/10; 47/20; 5/2; 23/10; 28/11; 5/2; 5/2; 13/5; 5/2; 5/2; 49/20; 13/5; ; 5/2; 13/5; 13/5
Draw; 11/4; 14/5; 27/10; 11/4; 72/25; 11/4; 11/4; 13/5; 37/13; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 13/5; 14/5; 11/4; 37/13; 11/4; 14/5; 29/10; 14/5; 14/5; ; 11/4; 11/4; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-08 10:16:00 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 1; 1; 53/50; 1; 21/20; 1; 21/20; 1; 21/20; 1; 17/20; 21/20; 21/20; 1; 1; 1; 42/41; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 21/20; 21/20
Arsenal; 13/5; 23/10; 23/10; 12/5; 67/25; 13/5; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; 27/10; 47/20; 5/2; 5/2; 28/11; 5/2; 5/2; 13/5; 5/2; 5/2; 49/20; 28/11; ; 5/2; 13/5; 13/5
Draw; 13/5; 14/5; 27/10; 11/4; 72/25; 11/4; 11/4; 13/5; 37/13; 11/4; 11/4; 13/5; 3; 11/4; 13/5; 13/5; 11/4; 11/4; 37/13; 11/4; 14/5; 14/5; 14/5; 14/5; ; 11/4; 11/4; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-08 14:16:02 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 19/20; 1; 1; 1; 53/50; 1; 21/20; 1; 21/20; 1; 1; 1; 17/20; 21/20; 21/20; 1; 1; 1; 42/41; 1; 21/20; 21/20; 21/20; 21/20; ; 1; 21/20; 21/20
