META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 02:20:33 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Atletico Madrid; 4/6; 4/6; 7/10; 8/11; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 11/17; 4/6; ; 11/17; 69/100; 13/19; 13/19; 4/6; ; 4/6; 4/6; 4/6
Draw; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 45/17; 13/5; ; 45/17; 29/10; 27/10; 45/17; 13/5; ; 11/4; 11/4; 14/5
Deportivo La Coruna; 19/4; 9/2; 5; 9/2; 5; 19/4; 5; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 11/2; 9/2; 5; 63/13; 19/4; ; 63/13; 49/10; 47/10; 22/5; 5; ; 24/5; 5; 26/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 14:18:02 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 3/5; 4/6; 13/20; 4/6; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 33/50; 11/17; 5/8; 8/13; ; 4/7; 4/7; 8/13
Draw; 11/4; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 13/5; 11/4; 14/5; 27/10; 14/5; 14/5; 29/10; 13/5; 11/4; 14/5; 27/10; 11/4; 14/5; 3; 27/10; 11/4; 14/5; ; 14/5; 14/5; 14/5
Deportivo La Coruna; 5; 19/4; 11/2; 5; 5; 5; 21/4; 9/2; 19/4; 19/4; 5; 5; 21/4; 11/2; 5; 5; 96/19; 19/4; 5; 96/19; 5; 51/10; 5; 5; ; 5; 26/5; 26/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 18:18:07 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 13/20; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 11/17; 8/13; 4/6; 7/10; 9/13; 19/29; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 14/5; 11/4; 11/4; 14/5; 14/5; 13/5; 11/4; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 14/5; 11/4; 14/5; 11/4; 27/10; 143/50; 14/5; 11/4; 11/4; ; 11/4; 14/5; 14/5
Deportivo La Coruna; 9/2; 17/4; 9/2; 5; 9/2; 9/2; 9/2; 9/2; 17/4; 4; 9/2; 9/2; 9/2; 5; 4; 9/2; 50/11; 9/2; 22/5; 50/11; 24/5; 43/10; 22/5; 9/2; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-03-02 22:18:17 GMT+2; 2017-03-02 19:45; In Play; Xlenovo
Deportivo La Coruna; 6/5; 5/4; 27/20; 13/10; 11/8; 6/5; 5/4; 7/5; ; 5/4; 13/10; 17/10; 13/10; 8/5; ; ; ; 23/17; ; 13/10; 139/100; ; ; ; ; ; 13/10; 11/8
Draw; 11/5; 2; 2; 21/10; 9/4; 43/20; 85/40; 15/8; ; 19/10; 2; 19/10; 21/10; 11/5; ; ; ; 23/10; ; 11/5; 113/50; ; ; ; ; ; 21/10; 9/4
Atletico Madrid; 12/5; 5/2; 47/20; 23/10; 11/5; 9/4; 12/5; 23/10; ; 9/4; 9/4; 11/5; 23/10; 9/5; ; ; ; 37/19; ; 21/10; 85/40; ; ; ; ; ; 5/2; 12/5
