META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 02:20:34 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Osasuna; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 27/10; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 11/4; 27/10; 27/10; 27/10; 27/10; 57/20; 45/17; 27/10; 11/4; ; 13/5; 27/10; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 02:18:20 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 19/20; 1; 19/20; 1; 19/20; 1; 10/11; 10/11; 19/20; 10/11; 19/20; 1; 10/11; 1; 10/11; 19/20; 10/11; 10/11; 49/50; 28/29; 13/14; 19/20; ; 20/21; 20/21; 21/20
Draw; 5/2; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 12/5; 13/5; 13/5; 13/5; 13/5; 27/10; 14/5; 13/5; 13/5; 27/10; 5/2; 27/10; 27/10; 71/25; 13/5; 27/10; 11/4; ; 13/5; 27/10; 13/5
Osasuna; 11/4; 11/4; 14/5; 11/4; 11/4; 11/4; 3; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 29/10; 3; 14/5; 37/13; 3; 14/5; 37/13; 3; 29/10; 14/5; 14/5; ; 14/5; 14/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 06:18:55 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 19/20; 1; 19/20; 1; 20/21; 1; 10/11; 10/11; 19/20; 20/21; 19/20; 1; 10/11; 1; 19/20; 19/20; 10/11; 19/20; 49/50; 39/40; 13/14; 19/20; ; 20/21; 20/21; 21/20
Draw; 5/2; 13/5; 13/5; 13/5; 11/4; 11/4; 11/4; 12/5; 13/5; 13/5; 13/5; 5/2; 27/10; 29/10; 13/5; 13/5; 27/10; 5/2; 27/10; 27/10; 71/25; 13/5; 27/10; 11/4; ; 13/5; 13/5; 13/5
Osasuna; 3; 11/4; 14/5; 11/4; 11/4; 11/4; 29/10; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 14/5; 3; 14/5; 14/5; 3; 14/5; 14/5; 3; 37/13; 14/5; 14/5; ; 14/5; 14/5; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 10:17:29 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 1; 10/11; 19/20; 19/20; 19/20; 37/40; 1; 10/11; 10/11; 19/20; 10/11; 19/20; 19/20; 10/11; 19/20; 10/11; 19/20; 10/11; 10/11; 20/21; 19/20; 13/14; 19/20; ; 20/21; 20/21; 21/20
Draw; 5/2; 13/5; 13/5; 13/5; 11/4; 27/10; 14/5; 12/5; 13/5; 13/5; 13/5; 11/4; 27/10; 3; 13/5; 13/5; 27/10; 5/2; 27/10; 27/10; 72/25; 45/17; 27/10; 11/4; ; 27/10; 11/4; 13/5
Osasuna; 3; 11/4; 29/10; 3; 11/4; 3; 3; 11/4; 14/5; 14/5; 11/4; 11/4; 14/5; 29/10; 3; 3; 29/10; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; ; 14/5; 3; 13/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 14:18:01 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 37/40; 20/21; 10/11; 10/11; 19/20; 10/11; 10/11; 19/20; 10/11; 19/20; 10/11; 13/15; 10/11; 10/11; 20/21; 13/14; 13/14; 19/20; ; 10/11; 20/21; 20/21
Draw; 5/2; 14/5; 27/10; 13/5; 13/5; 27/10; 14/5; 12/5; 13/5; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 27/10; 11/4; 27/10; 27/10; 14/5; 13/5; 27/10; 13/5; ; 27/10; 11/4; 14/5
Osasuna; 3; 29/10; 29/10; 3; 3; 3; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 29/10; 16/5; 3; 3; 29/10; 3; 14/5; 29/10; 31/10; 58/19; 14/5; 3; ; 14/5; 3; 3
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 18:19:37 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; 20/21; 19/20; 9/10; 10/11; 10/11; 10/11; 9/10; 19/20; 10/11; 10/11; 10/11; 13/15; 9/10; 10/11; 19/20; 22/23; 9/10; 19/20; 11/12; ; 10/11; 20/21; 20/21
Draw; 13/5; 14/5; 27/10; 13/5; 11/4; 27/10; 14/5; 5/2; 11/4; 13/5; 11/4; 13/5; 11/4; 11/4; 13/5; 27/10; 27/10; 11/4; 11/4; 27/10; 14/5; 27/10; 11/4; 11/4; 14/5; ; 27/10; 14/5; 14/5
Osasuna; 3; 29/10; 14/5; 3; 11/4; 3; 29/10; 14/5; 14/5; 11/4; 14/5; 14/5; 29/10; 3; 3; 3; 37/13; 3; 14/5; 37/13; 31/10; 29/10; 37/13; 3; 29/10; ; 14/5; 3; 3
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-13 22:17:57 GMT+2; 2017-03-13 19:45; In Play; Xlenovo
Eibar; 10/11; 5/6; 9/10; 17/20; 1; 17/20; 9/10; 5/6; ; 10/11; 5/6; 4/5; 17/20; 10/11; ; ; 6/7; 4/5; ; 5/6; 10/11; ; 9/10; ; 4/5; ; ; 10/11; 10/11
Draw; 11/5; 2; 9/4; 11/5; 9/4; 23/10; 9/4; 2; ; 21/10; 2; 11/5; 11/5; 23/10; ; ; 23/10; 12/5; ; 12/5; 63/25; ; 11/5; ; 28/11; ; ; 9/4; 23/10
Osasuna; 7/2; 7/2; 15/4; 7/2; 10/3; 7/2; 17/5; 7/2; ; 10/3; 7/2; 33/10; 15/4; 17/5; ; ; 39/11; 18/5; ; 57/17; 16/5; ; 7/2; ; 7/2; ; ; 7/2; 7/2
