META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 14:20:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 14:18:48 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 11/17; 18/25; 13/19; ; ; ; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; 2; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 77/19; 23/5; 62/17; ; ; ; ; 3; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 18:18:44 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 11/17; 18/25; 13/19; ; ; ; ; 4/9; ; 
Draw; 14/5; ; 27/10; 13/5; ; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; 2; ; 
Espanyol; 4; ; 9/2; 9/2; ; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 77/19; 23/5; 62/17; ; ; ; ; 3; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-27 22:18:55 GMT+2; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 13/5; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 74/17; 4; 9/2; 74/17; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 02:19:17 GMT+2; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 13/5; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 06:18:40 GMT+2; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 13/5; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 10:18:34 GMT+2; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 14:19:04 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 18:18:23 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 74/17; 4; 9/2; 74/17; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-28 22:19:27 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 02:20:09 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 06:18:30 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 5/2; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 10:18:34 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 14:20:28 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 18:19:18 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-29 22:18:48 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; ; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; ; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; ; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 02:19:36 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; ; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; ; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; ; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 06:18:34 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 10:18:34 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 7/10; 8/13; 8/13; 18/25; 13/19; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 3; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 4; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 23/5; 62/17; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 14:19:05 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 27/10; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 74/17; 17/4; 9/2; 74/17; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 18:18:51 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 27/10; 27/10; 13/5; 11/4; 27/10; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 74/17; 17/4; 9/2; 74/17; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-30 22:20:42 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 11/4; 13/5; 11/4; 11/4; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 49/11; 17/4; 9/2; 49/11; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 02:20:23 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 11/4; 13/5; 11/4; 11/4; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 49/11; 17/4; 9/2; 49/11; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 06:18:44 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 11/4; 13/5; 11/4; 11/4; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 49/11; 17/4; 9/2; 49/11; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 10:19:04 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 7/10; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 8/13; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 11/4; 11/4; 13/5; 11/4; 11/4; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 49/11; 17/4; 9/2; 49/11; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 14:20:03 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 18/25; 19/29; 19/29; ; 4/6; ; 4/7; ; 
Draw; 14/5; ; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 29/10; 27/10; 11/4; ; 11/4; ; 27/10; ; 
Espanyol; 9/2; ; 9/2; 9/2; 9/2; 17/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 4; 9/2; 9/2; 49/11; 17/4; 9/2; 49/11; 23/5; 19/5; 9/2; ; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 18:20:14 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 14/5; 11/4; 14/5; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; 9/2; 9/2; 9/2; 50/11; 17/4; 9/2; 50/11; 5; 19/5; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-31 22:21:07 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; ; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; ; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; ; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 02:20:25 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; ; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 27/10; ; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; ; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 06:21:09 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; ; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; ; 13/5; 11/4; 14/5; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 10:21:36 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 14/5; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
