META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-14 02:20:20 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 3/5; ; 4/6; ; ; 7/10; 7/10; ; ; 4/6; 4/6; 4/6; 4/6; ; 8/11; 4/6; 11/17; ; 4/6; 11/17; 4/6; 5/7; 7/10; ; ; ; ; 
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 16/5; 14/5; ; 31/10; 3; 56/19; 14/5; ; 14/5; 14/5; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 19/5; 17/4; 4; 19/5; 15/4; 15/4; 15/4; 17/4; 9/2; 4; 4; 41/10; 15/4; 7/2; ; 43/10; 75/19; 39/10; 17/4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 02:19:03 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 71/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 16/5; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 3; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 19/5; 17/4; 4; 19/5; 15/4; 15/4; 15/4; 17/4; 9/2; 4; 4; 41/10; 15/4; 7/2; 41/10; 43/10; 75/19; 39/10; 17/4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 06:19:11 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 9/13; 4/6; 4/6; 9/13; 71/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 16/5; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 14/5; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 15/4; 15/4; 15/4; 4; 9/2; 4; 4; 75/19; 15/4; 7/2; 75/19; 43/10; 75/19; 39/10; 4; ; 4; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 10:18:48 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 9/13; 4/6; 4/6; 9/13; 71/100; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 16/5; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 14/5; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 15/4; 15/4; 15/4; 4; 9/2; 4; 4; 75/19; 15/4; 7/2; 75/19; 43/10; 75/19; 39/10; 4; ; 7/2; 7/2; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 14:19:40 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 7/10; 13/19; 7/10; ; 4/6; 4/6; 8/11
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 56/19; 16/5; 14/5; 56/19; 31/10; 3; 56/19; 14/5; ; 14/5; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 77/19; 15/4; 7/2; 77/19; 21/5; 75/19; 39/10; 4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 18:19:18 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 59/20; 14/5; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 14/5; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 77/19; 4; 7/2; 77/19; 21/5; 75/19; 39/10; 17/4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-25 22:19:06 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 11/4; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 56/19; 3; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 3; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 19/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 77/19; 4; 7/2; 41/10; 21/5; 75/19; 39/10; 17/4; ; 4; 4; 4
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 02:19:27 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; ; 8/11; 7/10; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 11/4; 3; 3; 11/4; 14/5; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 3; 14/5; ; 31/10; 3; 56/19; 14/5; ; 3; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 9/2; 4; 21/5; 4; 19/5; 15/4; 15/4; 15/4; 4; 9/2; 4; 4; 41/10; 4; 7/2; ; 21/5; 75/19; 39/10; 17/4; ; 21/5; 21/5; 21/5
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 06:18:28 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 11/17; 4/6; 4/6; 11/17; 8/11; 13/19; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 3; 3; 3; 11/4; 3; 14/5; 3; 14/5; 59/20; 29/10; 14/5; 3; 56/19; 3; 14/5; 56/19; 31/10; 3; 56/19; 14/5; ; 3; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 4; 15/4; 15/4; 4; 17/4; 9/2; 4; 4; 21/5; 4; 7/2; 21/5; 21/5; 41/10; 39/10; 17/4; ; 21/5; 21/5; 21/5
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 10:20:06 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 8/11; 13/19; 13/19; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 11/4; 3; 3; 11/4; 3; 14/5; 3; 14/5; 59/20; 29/10; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; 3; 56/19; 14/5; ; 3; 3; 3
Villarreal; 17/4; 19/5; 4; 4; 9/2; 4; 17/4; 4; 4; 15/4; 15/4; 4; 17/4; 9/2; 4; 4; 54/13; 4; 7/2; 54/13; 21/5; 41/10; 39/10; 17/4; ; 21/5; 21/5; 21/5
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 14:18:49 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 7/10; 9/13; 11/17; 7/10; ; 4/6; 4/6; 4/6
Draw ; 14/5; 3; 31/10; 3; 11/4; 3; 3; 3; 3; 14/5; 3; 3; 59/20; 29/10; 14/5; 3; 56/19; 3; 14/5; 56/19; 16/5; 56/19; 56/19; 14/5; ; 14/5; 3; 3
Villarreal; 17/4; 19/5; 17/4; 4; 9/2; 4; 17/4; 4; 4; 15/4; 4; 15/4; 17/4; 9/2; 4; 4; 21/5; 4; 21/5; 21/5; 43/10; 41/10; 21/5; 17/4; ; 21/5; 21/5; 9/2
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 18:18:21 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 4/6; 4/6; 4/6; 7/10; 7/10; 8/13; 7/10; 8/13; 8/13; 4/6; 4/6; 8/13; 4/6; 7/10; 7/10; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 4/6; ; 4/6; 4/6; 4/6
Draw ; 3; 3; 31/10; 3; 3; 16/5; 3; 3; 3; 3; 3; 14/5; 59/20; 29/10; 14/5; 3; 56/19; 3; 14/5; 56/19; 16/5; 56/19; 56/19; 3; ; 3; 3; 3
Villarreal; 4; 19/5; 17/4; 4; 4; 9/2; 17/4; 4; 4; 15/4; 4; 4; 17/4; 9/2; 4; 4; 54/13; 4; 21/5; 54/13; 22/5; 21/5; 21/5; 17/4; ; 22/5; 22/5; 9/2
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-26 22:19:27 GMT+2; 2017-02-26 19:45; In Play; Xlenovo
Real Madrid; 8/11; 8/11; 4/5; 8/11; 8/11; 3/4; 3/4; 8/11; ; 8/11; 3/4; ; 4/5; 4/6; ; ; 7/11; 8/13; 8/13; 7/11; 8/13; ; 5/8; ; ; 4/6; 4/5; 4/6
Draw; 12/5; 9/4; 47/20; 12/5; 12/5; 12/5; 12/5; 9/4; ; 9/4; 11/5; ; 9/4; 23/10; ; ; 27/10; 13/5; 12/5; 27/10; 27/10; ; 5/2; ; ; 13/5; 23/10; 5/2
Villarreal; 4; 4; 4; 9/2; 5; 4; 21/5; 5; ; 4; 4; ; 4; 5; ; ; 22/5; 19/4; 5; 22/5; 27/5; ; 5; ; ; 23/5; 22/5; 26/5
