META; english/league-2/notts-county-v-exeter; 2017-02-11 18:22:30 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Notts County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-11 22:26:27 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; ; 13/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; 5/2; 12/5; 9/4; 23/10; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 5/2; 12/5; 12/5; 40/17; 11/5; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; ; 5/2; 12/5; 
Notts County; 5/2; 23/10; 9/4; 23/10; 12/5; 43/20; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 27/10; 23/10; 40/17; 12/5; ; 12/5; 12/5; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 14:22:31 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 15/13; 10/9; 11/10; 57/50; 11/10; ; 11/10; ; 11/10; 10/9; 
Notts County; 13/5; 5/2; 12/5; 13/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 27/11; 12/5; 23/10; 27/11; 64/25; 23/10; ; 5/2; ; 12/5; 5/2; 
Draw; 27/10; 5/2; 9/4; 12/5; 5/2; 9/4; 27/10; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 11/5; 23/10; 12/5; 51/20; 27/11; ; 12/5; ; 5/2; 5/2; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 18:24:33 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 11/10; 11/10; 21/20; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; 10/9; 21/20; 113/100; 11/10; ; 11/10; ; 21/20; 10/9; 
Notts County; 13/5; 12/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 27/11; 13/5; 23/10; 27/11; 64/25; 23/10; ; 5/2; ; 12/5; 5/2; 
Draw; 27/10; 12/5; 23/10; 23/10; 5/2; 23/10; 27/10; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 13/5; 27/11; ; 5/2; ; 13/5; 13/5; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 22:24:08 GMT+2; 2017-02-14 19:45; In Play; Xlenovo
Exeter; 1/3; 2/7; ; 23/20; 11/10; 3/10; 1/3; 3/10; ; 1/3; ; 21/20; 1/3; ; ; ; 21/20; 3/10; ; 21/20; ; ; ; ; ; 11/10; 13/10; 
Draw; 7/2; 7/2; ; 11/5; 5/2; 10/3; 18/5; 7/2; ; 7/2; ; 11/5; 7/2; ; ; ; 12/5; 16/5; ; 12/5; ; ; ; ; ; 13/5; 21/10; 
Notts County; 9; 10; ; 5/2; 12/5; 17/2; 17/2; 17/2; ; 9; ; 9/4; 9; ; ; ; 40/17; 19/2; ; 40/17; ; ; ; ; ; 12/5; 11/4; 
