META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 02:23:07 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 17/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 21; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 06:22:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 10:23:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; 1/12; 1/20; 1/10; 1/12; 1/12; ; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; ; 
Lincoln; 25; 25; 25; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 22:25:25 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; ; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; ; 9; 11; 43/4; 13; 11; 11; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 22; 28; 28; 33; 22; 28; 22; 25; 28; 25; ; 22; 28; 26; 33; 26; 28; 25; ; 26; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 02:24:40 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; ; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; ; 9; 11; 43/4; 13; 11; 11; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 22; 28; 28; 33; 22; 28; 22; 25; 28; 25; ; 22; 28; 26; 33; 26; 28; 25; ; 20; 24; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 06:23:40 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; ; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; ; 9; 11; 43/4; 13; 11; 11; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 22; 28; 28; 33; 22; 28; 22; 25; 28; 25; ; 22; 28; 26; 33; 26; 28; 22; ; 20; 24; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 10:26:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; ; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; ; 9; 11; 43/4; 13; 11; 11; 8; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 22; 28; 28; 28; 22; 25; 22; 25; 28; 25; ; 22; 28; 26; 33; 26; 28; 22; ; 26; 24; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 14:26:22 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/14; 1/14; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/12; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 10; 10; 10; 10; 11; 21/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 41/4; 9; 11; 41/4; 13; 11; 11; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 28; 28; 22; 28; 33; 25; 28; 28; 28; 25; 28; 22; 25; 28; 28; 23; 22; 28; 23; 33; 26; 28; 25; ; 20; 23; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 18:23:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/14; 1/14; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/12; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 1/10
Draw; 10; 10; 10; 10; 10; 11; 21/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 41/4; 9; 11; 41/4; 13; 11; 11; 17/2; ; 59/5; 53/5; 59/5
Lincoln; 25; 28; 28; 22; 28; 33; 25; 28; 28; 28; 25; 28; 22; 25; 28; 28; 91/4; 22; 28; 91/4; 33; 26; 28; 25; ; 29; 25; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-05 22:23:04 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/14; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 1/10
Draw; 10; 10; 10; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 11; 43/4; 13; 11; 11; 17/2; ; 59/5; 53/5; 59/5
Lincoln; 25; 28; 28; 22; 28; 33; 22; 28; 28; 28; 25; 28; 22; 25; 28; 28; 99/4; 25; 28; 99/4; 33; 26; 28; 25; ; 31; 27; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 02:23:00 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 11; 43/4; 13; 11; 11; 8; ; 57/5; 48/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 25; 28; 22; 25; 28; 28; 99/4; 25; 28; 99/4; 33; 26; 28; 25; ; 25; 19; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 06:22:06 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 11; 43/4; 13; 11; 11; 8; ; 57/5; 48/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 25; 28; 22; 25; 28; 28; 99/4; 25; 28; 99/4; 33; 26; 28; 25; ; 25; 19; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 10:22:15 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/16; 1/14; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 11; 43/4; 13; 11; 11; 8; ; 57/5; 46/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 22; 28; 22; 25; 28; 25; 99/4; 25; 28; 99/4; 33; 26; 28; 25; ; 27; 21; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 14:23:50 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/16; 1/14; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 11; 43/4; 13; 11; 11; 9; ; 57/5; 51/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 22; 25; 22; 25; 28; 25; 99/4; 25; 28; 99/4; 33; 26; 28; 28; ; 25; 22; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 18:24:42 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/12; 1/16; 9/100; 1/14; 1/12; 1/12; ; 1/10; 1/12; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 21/2; 19/2; 10; 21/2; 13; 11; 10; 9; ; 57/5; 51/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 22; 28; 22; 25; 28; 28; 26; 25; 40; 26; 33; 26; 40; 28; ; 26; 23; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-06 22:23:25 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/14; 1/14; 1/10; 1/14; 9/100; 1/14; 1/10; 1/12; ; 1/10; ; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 21/2; 19/2; 10; 21/2; 13; 11; 10; 9; ; 54/5; ; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 25; 22; 28; 22; 25; 28; 25; 95/4; 25; 23; 95/4; 33; 26; 23; 28; ; 27; ; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 02:23:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/16; 1/14; 1/14; 1/16; 19/200; 1/14; 1/14; 1/12; ; 1/10; 1/16; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 23/2; 43/4; 25/2; 11; 23/2; 9; ; 54/5; 46/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 25; 22; 28; 22; 25; 28; 25; 25; 25; 32; 25; 30; 26; 32; 28; ; 29; 24; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 06:22:04 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/14; 1/16; 19/200; 1/14; 1/14; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 23/2; 43/4; 25/2; 11; 23/2; 9; ; 54/5; 43/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 28; 22; 25; 22; 25; 28; 25; 25; 25; 32; 25; 30; 26; 32; 28; ; 25; 19; 24
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 10:22:17 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/14; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/14; 1/16; 19/200; 1/14; 1/14; 1/12; ; 1/10; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 11; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 23/2; 43/4; 25/2; 11; 23/2; 9; ; 57/5; 43/5; 62/5
Lincoln; 25; 25; 28; 22; 28; 33; 22; 28; 28; 33; 25; 25; 22; 25; 28; 28; 103/4; 25; 32; 103/4; 30; 26; 32; 28; ; 27; 20; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 14:24:17 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/12; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/14; 1/16; 19/200; 1/14; 1/14; 1/12; ; 1/10; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 11; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 23/2; 43/4; 25/2; 11; 23/2; 9; ; 54/5; 43/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 25; 22; 25; 28; 28; 103/4; 25; 32; 103/4; 30; 26; 32; 28; ; 26; 31/2; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 18:24:12 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/12; 1/12; 1/14; 1/12; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/14; 1/14; 1/16; 19/200; 1/14; 1/14; 1/12; ; 1/10; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 19/2; 23/2; 43/4; 25/2; 11; 23/2; 9; ; 54/5; 43/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 25; 22; 25; 28; 28; 103/4; 25; 32; 103/4; 30; 26; 32; 28; ; 26; 20; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-07 22:25:47 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/14; 1/12; 1/12; 1/12; 1/12; 1/14; 1/12; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 19/200; 1/14; 1/14; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 10; 10; 10; 10; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 45/4; 19/2; 23/2; 45/4; 25/2; 11; 23/2; 9; ; 57/5; 46/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 25; 22; 25; 28; 28; 113/4; 25; 32; 113/4; 30; 26; 32; 28; ; 20; 20; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 02:23:08 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/12; 1/12; 1/12; 1/12; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 19/200; 1/14; 1/14; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 23/2; 19/2; 23/2; 23/2; 25/2; 11; 23/2; 9; ; 57/5; 46/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 28; 22; 25; 28; 28; 109/4; 25; 32; 109/4; 30; 26; 32; 28; ; 28; 24; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 06:21:04 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/12; 1/12; 1/12; 1/12; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 19/200; 1/14; 1/14; 1/12; ; 1/9; 1/14; 1/10
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 45/4; 19/2; 23/2; 45/4; 25/2; 11; 23/2; 9; ; 57/5; 46/5; 59/5
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 28; 22; 25; 28; 28; 28; 25; 32; 28; 30; 26; 32; 28; ; 22; 24; 25
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 10:25:20 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/12; 1/12; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/14; 1/14; 1/14; 1/14; 19/200; 1/12; 1/14; 1/12; ; 1/9; 1/14; 
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 45/4; 19/2; 23/2; 45/4; 25/2; 12; 23/2; 9; ; 57/5; 43/5; 
Lincoln; 25; 25; 28; 22; 28; 28; 22; 28; 28; 33; 22; 28; 22; 25; 28; 25; 28; 25; 32; 28; 30; 27; 32; 28; ; 26; 19; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 14:21:28 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/12; 1/12; 1/14; 1/12; 1/12; 1/10; 1/12; 1/14; 1/12; 1/12; 1/11; 1/14; 1/14; 1/14; 1/14; 19/200; 1/12; 1/14; 1/12; ; 1/9; 1/9; 
Draw; 10; 9; 9; 10; 10; 10; 19/2; 11; 10; 11; 11; 9; 15/2; 8; 10; 11; 45/4; 19/2; 23/2; 45/4; 25/2; 12; 23/2; 9; ; 54/5; 56/5; 
Lincoln; 25; 25; 25; 22; 25; 28; 22; 28; 28; 33; 22; 28; 22; 22; 28; 25; 28; 25; 32; 28; 30; 27; 32; 28; ; 26; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 18:21:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/16; 1/12; 1/12; 1/12; 1/14; 1/14; 1/16; 1/16; 1/12; 1/16; 1/16; 1/12; 1/12; 1/12; 1/14; 1/14; ; 1/14; 19/200; 1/14; ; 1/12; ; 1/10; 1/12; 1/10
Draw; 10; 9; 10; 10; 10; 10; 21/2; 11; 11; 12; 12; 11; 8; 8; 10; 11; 43/4; 19/2; ; 43/4; 25/2; 13; ; 9; ; 57/5; 58/5; 59/5
Lincoln; 25; 25; 33; 22; 28; 28; 25; 28; 33; 40; 22; 28; 22; 22; 28; 28; 127/4; 25; ; 127/4; 30; 27; ; 28; ; 29; 31; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-08 22:22:06 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; 1/20; 1/12; 1/14; 1/12; 1/14; 1/14; 1/18; 1/12; 1/12; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/25; 1/14; 1/16; 19/200; 1/14; ; 1/14; ; 1/10; 1/10; 1/10
Draw; 10; 9; 11; 10; 10; 10; 21/2; 11; 12; 12; 12; 11; 8; 8; 10; 12; 45/4; 23/2; 23/2; 45/4; 25/2; 12; ; 10; ; 59/5; 58/5; 62/5
Lincoln; 28; 25; 28; 22; 28; 28; 25; 28; 40; 22; 22; 33; 28; 22; 33; 28; 33; 35; 32; 33; 30; 30; ; 33; ; 29; 29; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 02:21:19 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/20; 1/12; 1/14; 1/12; 1/16; 1/14; 1/18; 1/12; 1/12; 1/20; 1/20; 1/14; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/14; ; 1/14; ; 1/10; 1/10; 1/10
Draw; 10; 11; 11; 10; 10; 10; 11; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 12; ; 10; ; 59/5; 58/5; 59/5
Lincoln; 28; 28; 28; 22; 33; 28; 28; 28; 40; 22; 25; 33; 28; 35; 33; 28; 131/4; 30; 32; 131/4; 30; 30; ; 33; ; 31; 29; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 06:21:05 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/12; 1/16; 1/14; 1/18; 1/12; 1/12; 1/20; 1/20; 1/14; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/14; ; 1/14; ; 1/10; 1/10; 1/10
Draw; 10; 11; 11; 10; 10; 10; 11; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 12; ; 10; ; 62/5; 56/5; 62/5
Lincoln; 28; 28; 28; 22; 33; 28; 28; 28; 40; 22; 25; 33; 28; 35; 33; 28; 131/4; 30; 32; 131/4; 30; 30; ; 33; ; 33; 30; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 10:21:53 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/12; 1/16; 1/14; 1/18; 1/12; 1/12; 1/16; 1/20; 1/14; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/14; ; 1/14; ; 1/10; 1/10; 1/10
Draw; 10; 11; 11; 10; 10; 10; 11; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 12; ; 10; ; 62/5; 58/5; 62/5
Lincoln; 28; 28; 25; 22; 33; 28; 28; 28; 40; 22; 25; 28; 28; 35; 33; 28; 131/4; 30; 32; 131/4; 30; 30; ; 33; ; 31; 30; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 14:21:14 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/14; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/12; 1/20; 1/20; 1/14; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/10; 1/12; 1/10
Draw; 10; 11; 14; 10; 10; 11; 21/2; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 13; ; 10; ; 62/5; 12; 59/5
Lincoln; 28; 28; 33; 22; 33; 33; 25; 28; 40; 22; 25; 33; 28; 35; 33; 28; 131/4; 30; 32; 131/4; 30; 34; ; 33; ; 31; 30; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 18:21:56 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/14; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/14; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/10; 1/12; 1/10
Draw; 10; 11; 14; 10; 11; 11; 21/2; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 13; ; 10; ; 64/5; 12; 59/5
Lincoln; 28; 28; 33; 22; 28; 33; 25; 28; 40; 22; 25; 33; 28; 33; 33; 28; 33; 30; 32; 33; 30; 34; ; 33; ; 33; 32; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-09 22:21:21 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/14; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/12; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/10; 1/12; 1/10
Draw; 10; 11; 14; 10; 11; 11; 21/2; 11; 12; 12; 12; 11; 8; 12; 10; 12; 45/4; 11; 23/2; 45/4; 25/2; 13; ; 10; ; 66/5; 12; 62/5
Lincoln; 28; 28; 33; 22; 28; 33; 25; 28; 40; 22; 25; 33; 28; 33; 33; 28; 131/4; 30; 32; 131/4; 30; 34; ; 33; ; 31; 31; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 02:21:05 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/14; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/10; 1/12; 1/10
Draw; 14; 11; 14; 10; 11; 11; 21/2; 11; 12; 12; 14; 11; 8; 12; 10; 12; 23/2; 11; 23/2; 23/2; 25/2; 13; ; 10; ; 69/5; 63/5; 62/5
Lincoln; 25; 28; 50; 22; 28; 33; 25; 28; 40; 22; 22; 33; 28; 28; 33; 28; 65/2; 30; 32; 65/2; 30; 244/9; ; 33; ; 31; 42; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 06:21:06 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
