META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 9/5; ; 24/13; 19/10; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; ; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-23 10:20:54 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; ; 11/8; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 13/10; 4/3; 7/5; 11/8; 27/20; 23/17; ; 13/10; 13/10; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 15/8; ; 24/13; 19/10; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; ; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 2; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-23 14:21:13 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; ; 11/8; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 13/10; 4/3; 7/5; 11/8; 27/20; 23/17; ; 13/10; 11/8; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 15/8; ; 24/13; 19/10; 19/10; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; ; 9/4; ; 9/4; ; 11/5; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-23 18:21:32 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 7/5; 147/100; ; 7/5; ; 4/3; 27/20; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 16/11; 4/3; 7/5; 11/8; 27/20; 23/17; ; ; 7/5; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 15/8; ; 24/13; 19/10; 19/10; 15/8; ; 15/8; 15/8; 9/5; 19/10; 7/4; 19/10; 24/13; 2; 2; 39/20; 19/10; ; ; 19/10; 
Draw; 5/2; 23/10; 11/5; 23/10; 61/25; ; 23/10; ; 9/4; 11/5; 11/5; 2; ; 43/20; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-23 22:21:35 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 7/5; 147/100; ; 7/5; ; 4/3; 27/20; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 16/11; 4/3; 7/5; 11/8; 27/20; 23/17; ; ; 7/5; 
