META; english/non-league/national-league/torquay-v-bromley; 2018-01-13 22:21:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 11/5; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-19 02:23:11 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; ; 13/10; 13/10; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 9/5; 17/10; 15/8; 19/10; 19/10; 19/10; ; 9/5; 19/10; 
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 21/10; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-19 10:22:56 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 23/17; 13/10; 29/20; 11/8; 11/8; ; 11/8; 27/20; 7/5; 13/10; ; 27/20; 7/5; 13/10; 23/17; 23/17; 23/17; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; ; 13/10; 13/10; 
Bromley; 2; 19/10; 28/15; 15/8; 41/20; 9/5; 15/8; ; 17/10; 15/8; 15/8; 9/5; ; 37/20; 15/8; 9/5; 9/5; 19/10; 9/5; 9/5; 17/10; 15/8; 19/10; 19/10; 19/10; ; 15/8; 19/10; 
Draw; 12/5; 12/5; 11/5; 9/4; 49/20; 11/5; 9/4; ; 40/17; 11/5; 11/5; 21/10; ; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 23/10; ; 9/4; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-19 14:23:03 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 13/10; 7/5; 147/100; 13/10; 13/10; ; 11/8; 13/10; 7/5; 13/10; ; 27/20; 13/10; 13/10; 23/17; 13/10; 23/17; 7/5; 11/8; 13/10; 11/8; 13/10; 23/17; ; 13/10; 5/4; 
Bromley; 2; 19/10; 19/10; 2; 41/20; 15/8; 2; ; 17/10; 19/10; 19/10; 9/5; ; 37/20; 2; 15/8; 9/5; 37/19; 9/5; 9/5; 17/10; 2; 19/10; 2; 37/19; ; 19/10; 19/10; 
Draw; 12/5; 12/5; 11/5; 11/5; 121/50; 11/5; 9/4; ; 40/17; 11/5; 11/5; 21/10; ; 11/5; 23/10; 21/10; 9/4; 23/10; 9/4; 12/5; 40/17; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-19 18:23:32 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 7/5; 7/5; 151/100; 11/8; 7/5; ; 11/8; 7/5; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 23/17; 11/8; 11/8; 7/5; 7/5; 7/5; 23/17; ; 11/8; 27/20; 
Bromley; 2; 19/10; 9/5; 2; 193/100; 9/5; 15/8; ; 17/10; 9/5; 9/5; 7/4; ; 9/5; 15/8; 9/5; 9/5; 24/13; 9/5; 30/17; 17/10; 9/5; 15/8; 37/20; 37/19; ; 9/5; 7/4; 
Draw; 12/5; 12/5; 11/5; 11/5; 5/2; 11/5; 23/10; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 23/10; 11/5; 9/4; 40/17; 9/4; 27/11; 40/17; 23/10; 12/5; 23/10; 40/17; ; 9/4; 21/10; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-19 22:23:53 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/10; 7/5; 7/5; 7/5; 151/ 100; 11/8; 7/5; ; 11/8; 7/5; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 23/17; 11/8; 11/8; 7/5; 7/5; 7/5; 23/17; 11/8; 27/20; 
Bromley; 2; 19/10; 9/5; 2; 193/ 100; 9/5; 15/8; ; 17/10; 9/5; 9/5; 7/4; ; 9/5; 15/8; 9/5; 9/5; 24/13; 9/5; 30/17; 17/10; 9/5; 15/8; 37/20; 37/19; 9/5; 7/4; 
Draw; 12/5; 12/5; 11/5; 11/5; 5/2; 11/5; 23/10; ; 40/17; 11/5; 9/4; 21/10; ; 11/5; 23/10; 11/5; 9/4; 40/17; 9/4; 27/11; 40/17; 23/10; 12/5; 23/10; 40/17; 9/4; 21/10; 
