Draw; 4; 19/5; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 9; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 11; 11; 9; 11; 11; 23/2; 9; 11; 9; 11; ; 10; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 20:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 10; 11; 9; 11; 11; 23/2; 9; 11; 9; 11; ; 10; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-21 00:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 10; 41/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-21 04:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 10; 8; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-21 08:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 10; 8; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-21 12:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 9; 10; 10; 43/4; 9; 11; 43/4; 23/2; 44/5; 11; 10; 11; ; 10; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-21 16:15:08 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 9; 9; 10; 10; 43/4; 9; 11; 43/4; 23/2; 44/5; 11; 9; 11; ; 10; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-22 00:15:05 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; ; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; ; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 9; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 7; ; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-22 04:15:05 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; ; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; ; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 9; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 7; ; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-22 08:15:05 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; ; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; ; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 9; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 7; ; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-22 12:27:03 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 9; 9; 10; 10; 11; 9; 11; 11; 23/2; 44/5; 11; 9; 11; ; 7; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-23 13:18:55 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 45/4; 9; 11; 45/4; 23/2; 44/5; 11; 10; 11; ; 7; 39/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-23 16:15:12 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 9; 9; 10; 10; 45/4; 9; 11; 45/4; 23/2; 44/5; 11; 10; 11; ; 7; 39/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-23 20:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 4; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 
