META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 00:15:13 GMT+3; 2016-07-06 18:00; e70300-dr003
Draw; 11/5; 9/4; 21/10; 11/5; 11/5; 21/10; 12/5; ; 9/4; 9/4; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 12/5; 9/4; 21/10; 22/9; 23/10; ; ; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 13:45:14 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/4; 29/20; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 16/11; 6/4; 29/20; 29/20; 29/20; 29/20; 6/4; 6/4; 7/5; 16/11; 23/17; 7/5; 7/5; 19/13; 5/4; ; 6/4; 6/4; 
Lincoln Red Imps FC; 8/5; 7/4; 7/4; 7/4; 7/4; 5/3; 9/5; ; 9/5; 7/4; 9/5; 7/4; 9/5; 7/4; 15/8; 7/4; 9/5; 17/10; 7/4; 19/10; 7/4; 17/10; 21/11; 28/17; ; 9/5; 9/5; 
Draw; 11/5; 9/4; 11/5; 9/4; 11/5; 21/10; 12/5; ; 9/4; 9/4; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 9/4; 21/10; 9/4; 23/10; 9/4; 21/10; 22/9; 23/10; ; 23/10; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 15:45:07 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 7/5; 11/8; 6/4; 11/8; 5/4; 6/4; ; 7/5; 16/11; 7/5; 7/5; 7/5; 11/8; 7/5; 6/4; 16/11; 13/10; 16/11; 16/11; 7/5; 13/10; 25/18; 5/4; ; 7/5; 7/5; 
Lincoln Red Imps FC; 19/10; 9/5; 7/4; 15/8; 7/4; 17/10; 9/5; ; 15/8; 7/4; 9/5; 9/5; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 7/4; 7/4; 7/4; 2; 28/17; ; 19/10; 19/10; 
Draw; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 12/5; ; 9/4; 9/4; 23/10; 11/5; 9/4; 23/10; 5/2; 9/4; 12/5; 11/5; 9/4; 23/10; 9/4; 11/5; 22/9; 23/10; ; 23/10; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 16:15:03 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 13/10; 7/5; 13/10; 5/4; 6/4; ; 7/5; 16/11; 7/5; 7/5; 7/5; 11/8; 7/5; 6/4; 7/5; 13/10; 16/11; 16/11; 7/5; 13/10; 25/18; 5/4; ; 11/8; 7/5; 
Lincoln Red Imps FC; 19/10; 15/8; 9/5; 19/10; 9/5; 17/10; 9/5; ; 9/5; 7/4; 15/8; 9/5; 7/4; 9/5; 15/8; 7/4; 15/8; 7/4; 7/4; 7/4; 7/4; 7/4; 2; 28/17; ; 2; 2; 
Draw; 11/5; 11/5; 11/5; 23/10; 11/5; 11/5; 12/5; ; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 9/4; 12/5; 11/5; 9/4; 23/10; 9/4; 11/5; 22/9; 23/10; ; 23/10; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 17:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 23/20; 11/8; 13/10; 11/8; 13/10; 6/5; 6/4; ; 7/5; 23/17; 7/5; 7/5; 7/5; 27/20; 11/8; 11/8; 7/5; 13/10; 23/17; 23/17; 27/20; 5/4; 17/13; 5/4; ; 7/5; 7/5; 
Lincoln Red Imps FC; 21/10; 19/10; 9/5; 2; 9/5; 7/4; 9/5; ; 15/8; 19/10; 19/10; 9/5; 7/4; 37/20; 19/10; 19/10; 15/8; 7/4; 19/10; 19/10; 19/10; 9/5; 28/13; 28/17; ; 2; 2; 
Draw; 11/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; ; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 9/4; 12/5; 11/5; 9/4; 23/10; 9/4; 11/5; 22/9; 23/10; ; 23/10; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 18:18:33 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 7/5; 11/8; 7/5; 11/8; 13/10; 31/20; ; 7/5; 23/17; 7/5; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; 23/17; 23/17; 23/17; 27/20; 23/17; 17/13; 5/4; ; 7/5; 7/5; 
Lincoln Red Imps FC; 19/10; 9/5; 7/4; 19/10; 7/4; 5/3; 9/5; ; 15/8; 19/10; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 9/5; 17/10; 19/10; 19/10; 19/10; 17/10; 28/13; 28/17; ; 19/10; 19/10; 
Draw; 11/5; 9/4; 11/5; 23/10; 11/5; 43/20; 12/5; ; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 28/13; 9/4; 23/10; 9/4; 28/13; 22/9; 23/10; ; 12/5; 12/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 19:45:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 29/20; 7/5; 11/8; 29/20; 11/8; 13/10; 6/4; ; 7/5; 23/17; 6/4; 7/5; 7/5; 7/5; 7/5; 7/5; 16/11; 23/17; 23/17; 23/17; 27/20; 23/17; 39/29; 13/10; ; 7/5; 7/5; 
Lincoln Red Imps FC; 7/4; 9/5; 7/4; 15/8; 7/4; 33/20; 19/10; ; 9/5; 19/10; 7/4; 9/5; 7/4; 9/5; 9/5; 37/20; 9/5; 17/10; 19/10; 19/10; 19/10; 17/10; 27/14; 27/17; ; ; 9/5; 
Draw; 11/5; 9/4; 9/4; 23/10; 11/5; 11/5; 12/5; ; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 11/5; 77/29; 23/10; ; 5/2; 5/2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 20:15:03 GMT+3; 2016-07-06 18:00; In Play; e70300-dr003
Lincoln Red Imps FC; ; 8/13; 4/6; ; 4/6; 4/7; 4/6; ; ; ; 8/13; 4/7; 4/6; 4/6; 13/20; ; ; ; 39/19; 3/4; ; ; 13/16; ; ; ; ; 
Draw; ; 13/5; 11/4; ; 11/4; 13/5; 14/5; ; ; ; 13/5; 27/10; 11/4; 11/4; 14/5; ; ; ; 39/19; 13/5; ; ; 37/13; ; ; ; ; 
Flora Tallinn; 4; 4; 4; ; 4; 37/10; 19/5; ; ; ; 4; 21/5; 4; 15/4; 4; ; ; ; 23/17; 17/5; ; ; 3; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 21:45:05 GMT+3; 2016-07-06 18:00; In Play; e70300-dr003
Lincoln Red Imps FC; ; 1/50000; ; 1/1000; ; ; ; ; ; ; ; ; 1/2000; ; 1/1200; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 500; 250; 66; 250; ; ; ; ; ; ; ; 66; ; 150; ; ; ; ; ; ; ; ; ; ; 94; ; 
Flora Tallinn; ; 500; 250; 100; 250; ; ; ; ; ; ; ; 80; ; 150; ; ; ; ; ; ; ; ; ; ; 474; ; 
