Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 23/10; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 04:19:22 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 21/20; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 5/2; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 23/10; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 14/5; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 05:45:56 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 23/10; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 06:32:42 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 12/5; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
