META; english/championship/burton-v-barnsley; 2016-10-30 04:21:41 GMT+3; 2016-11-05 15:00; e70300-dr003
Barnsley; 12/5; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; ; 12/5; 23/10; ; 40/17; ; 23/10; ; 40/17; ; 9/4; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 23/10; 47/20; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 9/4; 12/5; 12/5; ; 5/2; 23/10; ; 40/17; ; 23/10; ; 40/17; ; 40/17; 12/5; 23/10; ; 23/10; 5/2; 
META; english/championship/burton-v-barnsley; 2016-11-05 16:21:17 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 5/4; 23/20; 6/5; 6/5; 6/5; 11/10; 5/4; ; 6/5; 5/4; ; 5/4; 5/4; ; 6/5; ; 11/10; ; 6/5; ; 19/16; 8/7; 5/4; ; 6/5; 6/5; 
Barnsley; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; ; 5/2; 23/10; ; 12/5; 23/10; ; 40/17; ; 23/10; ; 40/17; ; 11/5; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; ; 12/5; 12/5; ; 5/2; 23/10; ; 40/17; ; 23/10; ; 40/17; ; 12/5; 12/5; 23/10; ; 23/10; 5/2; 
META; english/championship/burton-v-barnsley; 2016-11-05 17:45:22 GMT+2; 2016-11-05 15:00; In Play; e70300-dr003
Burton; ; ; ; ; ; ; ; ; ; 6/4; 6/5; 6/5; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; 
Draw; ; ; ; ; ; 17/10; ; ; ; 6/4; 21/10; 9/4; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; 
Barnsley; ; ; ; ; ; ; ; ; ; 5/2; 9/4; 23/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 18:36:49 GMT+2; 2016-11-05 15:00; In Play; e70300-dr003
Draw; ; ; ; ; ; 8/15; ; ; ; 4/7; 4/6; 8/5; ; 19/20; ; ; 7/4; ; ; ; 28/13; ; ; ; ; ; ; 5/6; 
Burton; ; 11/4; ; ; ; ; ; ; ; 14/5; 5/2; 6/4; ; 21/10; ; ; 23/17; ; ; ; 5/4; ; ; ; ; ; ; 9/4; 
Barnsley; ; ; ; ; ; ; ; ; ; 17/4; 21/5; 13/5; ; 16/5; ; ; 5/2; ; ; ; 11/5; ; ; ; ; ; ; 7/2; 
