META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 12:28:47 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 1; 1; 1; 1; 21/20; 19/20; 21/20; 1; 10/11; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 11/10; 15/14; 1; ; 1; 21/20; 21/20
Draw; 23/10; 11/5; 41/20; 11/5; 9/4; 43/20; 11/5; 11/5; 2; 9/4; 21/10; 2; 11/5; 11/5; 23/10; 21/10; 11/5; 11/5; 9/4; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; ; 11/5; 9/4; 11/5
Alcorcon; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 3; 13/5; 13/5; 29/10; 3; 11/4; 13/5; 29/10; 27/10; 3; 11/4; 29/10; 29/10; 27/10; 14/5; 29/10; 3; 5/2; 14/5; ; 14/5; 14/5; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 16:27:41 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 1; 1; 1; 1; 21/20; 19/20; 21/20; 1; 10/11; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 15/14; 1; ; 1; 21/20; 11/10
Draw; 23/10; 11/5; 21/10; 11/5; 11/5; 43/20; 11/5; 11/5; 2; 9/4; 21/10; 2; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 9/4; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; ; 11/5; 11/5; 11/5
Alcorcon; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 31/10; 13/5; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 13/5; 3; 11/4; 37/13; 29/10; 27/10; 14/5; 37/13; 16/5; 5/2; 14/5; ; 14/5; 14/5; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 20:24:05 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 1; 11/10; 11/10; 11/10; 1; 11/10; 1; 1; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 1; 1; 11/10; 17/16; 10/9; 21/20; ; 21/20; 21/20; 10/9
