Celta Vigo 3-2; 20; 22; 22; 22; 20; 16; 21; 22; 22; 18; 20; 18; 20; 20; 18; 18; 43/2; 19; 19; 43/2; ; 24; 19; 22; 19; ; 21; 21; 
Las Palmas 3-1; 28; 28; 30; 25; 25; 25; 30; 33; 28; 28; 28; 25; 25; 28; 22; 25; 51/2; 28; 22; 51/2; ; 31; 22; 28; 22; ; 35; 37; 
Las Palmas 3-2; 33; 33; 30; 33; 28; 25; 30; 35; 33; 28; 28; 25; 28; 28; 22; 28; 28; 28; 26; 28; ; 35; 26; 33; 26; ; 37; 39; 
Celta Vigo 4-1; 28; 28; 30; 28; 28; 25; 30; 35; 28; 28; 28; 25; 30; 28; 22; 25; 28; 28; 24; 28; ; 32; 24; 28; 24; ; ; ; 
Draw 3-3; 40; 50; 45; 50; 40; 40; 45; 50; 40; 40; 40; 33; 45; 35; 28; 40; 85/2; 40; 38; 85/2; ; 50; 38; 40; 38; ; 47; 55; 
Celta Vigo 4-0; 33; 33; 40; 33; 33; 28; 35; 50; 33; 33; 33; 28; 40; 35; 25; 33; 127/4; 33; 29; 127/4; ; 38; 29; 33; 29; ; ; ; 
Celta Vigo 4-2; 40; 50; 45; 50; 40; 40; 45; 55; 50; 40; 40; 33; 45; 40; 33; 40; 40; 40; 38; 40; ; 50; 38; 50; 38; ; ; ; 
Las Palmas 3-0; 40; 50; 50; 40; 40; 40; 55; 60; 50; 50; 45; 40; 45; 45; 40; 40; 39; 50; 33; 39; ; 50; 33; 50; 33; ; 8; 69; 
Celta Vigo 5-1; 50; 66; ; 80; 66; 50; 70; 100; 80; 66; 66; 50; 80; 80; 50; 50; 56; ; 55; 56; ; ; 55; 66; 55; ; ; ; 
Las Palmas 4-1; 50; 80; 80; 66; 66; 66; 90; 100; 100; 80; 70; 50; 66; 80; 66; 66; 233/4; 100; 50; 233/4; ; 100; 50; 80; 50; ; ; ; 
Las Palmas 4-2; 66; 80; 85; 80; 66; 80; 90; 100; 100; 80; 70; 50; 70; 80; 66; 66; 62; 100; 60; 62; ; 110; 60; 100; 60; ; ; ; 
Celta Vigo 4-3; 66; 80; 90; 80; 80; 80; 90; 100; ; 80; 70; 66; 80; 90; 66; 66; 267/4; 100; 75; 267/4; ; 120; 75; 100; 75; ; ; ; 
Celta Vigo 5-0; 66; 80; ; 100; 80; 66; 90; 125; 100; 80; 80; 66; 100; 100; 66; 66; 62; ; 66; 62; ; ; 66; 80; 66; ; ; ; 
Celta Vigo 5-2; 80; 100; ; 125; 100; 80; 110; 150; ; 90; 90; 66; 75; 100; 80; 80; 287/4; ; 80; 287/4; ; ; 80; 125; 80; ; ; ; 
Las Palmas 4-3; 100; 150; 120; 100; 100; 80; 110; 150; ; 100; 90; 66; 100; 100; 80; 80; 311/4; 150; 100; 311/4; ; 170; 100; 150; 100; ; ; ; 
Las Palmas 4-0; 80; 100; 150; 100; 100; 100; 150; 200; 100; 125; 100; 80; 100; 150; 100; 80; 74; 150; 75; 74; ; 160; 75; 150; 75; ; ; ; 
Las Palmas 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 6-2; 200; 250; ; 250; 200; 200; 225; ; ; 200; 150; 100; 175; 250; 200; 150; ; ; 200; ; ; ; 200; 250; 200; ; ; ; 
Celta Vigo 5-3; 150; 200; ; ; 150; 150; 200; 275; ; 150; 125; 100; 150; 200; 125; 125; ; ; 180; ; ; ; 180; 250; 180; ; ; ; 
Draw 4-4; 150; 200; 200; 150; 150; 150; 200; 250; ; 150; 125; 100; 150; 200; 150; 125; ; 250; 180; ; ; 310; 180; 250; 180; ; ; ; 
Celta Vigo 6-1; 150; 200; ; 200; 150; 150; 175; 325; ; 150; 125; 100; 150; 200; 125; 125; 359/4; ; 140; 359/4; ; ; 140; 200; 140; ; ; ; 
Celta Vigo 7-2; ; ; ; ; ; ; ; ; ; 400; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 5-2; 200; 250; ; 250; 200; 200; 225; 425; ; 200; 150; 100; 150; 200; 200; 150; ; ; 160; ; ; ; 160; 250; 160; ; ; ; 
Celta Vigo 6-4; ; ; ; ; ; ; ; ; ; 475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 5-1; 200; 200; ; 200; 200; 200; 225; 475; 100; 200; 150; 100; 150; 200; 200; 150; ; ; 140; ; ; ; 140; 250; 140; ; ; ; 
Celta Vigo 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 5-4; 500; ; ; ; 250; ; ; 500; ; 300; 150; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 6-0; 150; 200; ; 250; 200; 200; 225; 500; 100; 175; 150; 100; 150; 200; 200; 125; 187/2; ; 180; 187/2; ; ; 180; 250; 180; ; ; ; 
