META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 23/10; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 16:16:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 10/9; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 13/5; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 23/10; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 20:16:55 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 10/9; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 13/5; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 23/10; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 00:16:30 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 13/5; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 04:16:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 47/20; 5/2; ; 13/5; 13/5; 12/5; 5/2; 5/2; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 08:16:25 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 47/20; 5/2; ; 13/5; 27/10; 12/5; 5/2; 5/2; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 12:16:34 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; ; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; ; 45/17; 45/17; ; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 16:16:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-24 20:17:05 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 00:16:21 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 04:16:07 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 08:16:10 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 12:16:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; 5/2; ; 13/5; 27/10; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; 5/2; ; 13/5; 13/5; 12/5; 5/2; 13/5; 23/10; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 16:17:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 51/20; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 23/10; ; 49/20; 12/5; 13/5; 12/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; 12/5; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-25 20:17:39 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 23/10; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 00:17:19 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 04:17:20 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 23/10; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 08:17:08 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 23/10; 12/5; 13/5; 53/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; 45/17; 45/17; 12/5; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 12:17:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; ; 57/50; 24/23; 21/20; 11/10; ; 21/20; ; 
Draw; 5/2; ; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 23/10; 12/5; 13/5; 53/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; ; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 
Chelsea; 23/10; ; 49/20; 5/2; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; ; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 16:17:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; ; 21/20; 11/10; ; 21/20; ; 
Chelsea; 23/10; ; 49/20; 12/5; 5/2; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; ; 45/17; 12/5; ; 12/5; ; 
Draw; 5/2; ; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 23/10; 12/5; 13/5; 27/10; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; ; 40/17; 12/5; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-26 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; ; 21/20; 11/10; ; 11/10; ; 
Chelsea; 23/10; ; 49/20; 12/5; 5/2; 13/5; 27/10; 12/5; 5/2; 13/5; 23/10; 12/5; 49/20; 12/5; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 27/10; ; 45/17; 12/5; ; 12/5; ; 
Draw; 5/2; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 13/5; 23/10; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; ; 40/17; 12/5; ; 5/2; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-27 00:17:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 11/10; ; 10/9
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 12/5
Chelsea; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 45/17; 12/5; 13/5; 5/2; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-27 04:16:59 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; 11/10; ; 10/9; ; 10/9
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 5/2; 40/17; 12/5; ; 5/2; ; 12/5
Chelsea; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 45/17; 12/5; 13/5; 5/2; 27/10; 45/17; 45/17; 12/5; ; 23/10; ; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-27 08:17:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 21/20; 21/20; 11/10; ; 10/9; ; 10/9
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 27/11; 40/17; 12/5; ; 5/2; ; 12/5
Chelsea; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 45/17; 12/5; 13/5; 5/2; 27/10; 45/17; 45/17; 12/5; ; 23/10; ; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-27 12:17:09 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 21/20; 21/20; 11/10; ; 11/10; ; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 13/5; 27/11; 40/17; 12/5; ; 5/2; ; 12/5
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 13/5; 13/5; 5/2; 45/17; 12/5; 13/5; 5/2; 27/10; 45/17; 45/17; 12/5; ; 12/5; ; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-27 16:16:55 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 15/13; 21/20; 11/10; 21/20; 11/10; 21/20; 57/50; 13/12; 11/10; 11/10; ; 11/10; ; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 5/2; 12/5; 12/5; ; 5/2; ; 12/5
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 27/10; 28/11; 5/2; 12/5; ; 12/5; ; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-27 20:17:18 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 29/25; 13/12; 11/10; 21/20; ; 11/10; 10/11; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 13/5; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 27/11; 13/5; 5/2; 12/5; 12/5; ; 5/2; 19/10; 5/2
Chelsea; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 51/20; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 53/20; 28/11; 5/2; 12/5; ; 5/2; 19/10; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-28 00:16:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 57/50; 13/12; 11/10; 11/10; ; 11/10; 20/21; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 23/10; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 27/11; 13/5; 5/2; 12/5; 12/5; ; 12/5; 19/10; 5/2
Chelsea; 23/10; 12/5; 49/20; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 28/11; 5/2; 12/5; ; 12/5; 2; 12/5
META; english/premier-league/man-city-v-chelsea; 2016-11-28 04:16:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 57/50; 21/20; 11/10; 11/10; ; 10/9; 20/21; 23/20
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 27/11; 13/5; 5/2; 12/5; 12/5; ; 12/5; 19/10; 5/2
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 13/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 13/5; 5/2; 12/5; ; 5/2; 2; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-28 08:16:39 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 57/50; 21/20; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 27/11; 13/5; 5/2; 12/5; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 13/5; 5/2; 12/5; ; 5/2; 12/5; 5/2
