META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; 4/7; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; 11/5; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; 23/10; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 08:17:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; 4/7; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; 11/5; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; 23/10; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 12:17:38 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 9/4; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; 3; ; ; 5/2; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 16:17:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; ; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; ; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 9/4; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; ; 31/10; 3; 57/17; 3; 31/10; 39/11; 39/11; 3; ; ; 5/2; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 20:17:34 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 23/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; 3; ; ; 14/5; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 00:16:59 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; 3; ; ; 14/5; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 04:17:13 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; 3; ; ; 14/5; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 08:17:20 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; 3; ; ; 14/5; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 12:17:19 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 14/5; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 16:17:35 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-11 20:17:24 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 00:17:07 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 04:22:44 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 08:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 12:17:55 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; 9/10; ; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 23/10; 13/5; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 51/19; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; ; ; ; 16/5; 7/2; 31/10; 3; 57/17; 3; 31/10; 7/2; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 16:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; ; 16/5; 7/2; 31/10; 3; 57/17; 3; 31/10; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-12 20:17:34 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 8/11; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-13 10:42:52 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-13 12:17:13 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-13 16:17:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 18/5; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-13 20:17:27 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 31/10; 3; 57/17; 3; 31/10; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 00:17:00 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 04:17:05 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 08:17:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 23/10; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 12:17:40 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 11/13; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; ; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; ; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; ; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; ; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 10/3; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; ; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 16:17:38 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 11/13; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 10/3; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-14 20:17:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; ; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; ; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; ; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; ; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 04:17:23 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; ; 10/11; ; 17/20; 9/10; 11/13; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 5/2; ; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; ; 3; ; 16/5; 16/5; 10/3; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 08:17:17 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; ; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; ; 3; ; 16/5; 16/5; 7/2; 31/10; 3; 57/17; 3; 31/10; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 12:17:20 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; ; 10/11; ; 17/20; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 9/10; 9/11; 9/10; 17/20; ; 4/5; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 5/2; ; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; ; 3; ; 16/5; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 16:17:38 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 17/20; 20/23; 4/5; 9/10; 17/20; 17/20; 10/11; ; 17/20; 9/10; 11/13; 13/15; 9/10; 4/5; 9/10; 13/15; 8/9; 9/11; 9/10; 17/20; ; 5/6; ; 
Draw; 5/2; ; 5/2; ; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 5/2; ; 13/5; 5/2; 11/4; 5/2; 5/2; 5/2; 5/2; 5/2; 27/10; 28/11; 5/2; 5/2; ; 27/10; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 10/3; 7/2; 10/3; 10/3; 3; 3; 3; ; 16/5; 16/5; 10/3; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-15 20:16:49 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 5/6; ; 19/20; ; 9/10; 19/20; 20/21; 4/5; 10/11; 10/11; 10/11; 10/11; 17/20; 19/20; 9/10; 10/11; 13/15; 9/10; 5/6; 9/10; 13/15; 19/20; ; 9/10; 10/11; ; 9/10; ; 
Draw; 12/5; ; 5/2; ; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; ; 5/2; 12/5; ; 27/10; ; 
Bournemouth; 7/2; ; 29/10; ; 10/3; 3; 16/5; 10/3; 3; 3; 27/10; 3; 16/5; 14/5; 16/5; 10/3; 58/19; 3; 3; 3; 58/19; 17/5; ; 3; 3; ; 13/5; ; 
