META; english/premier-league/swansea-v-tottenham; 2017-03-19 16:16:57 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 8/13; ; ; ; ; ; ; ; ; 4/7; ; ; 8/13; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-19 20:16:43 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 4/6; 4/6; 8/13; ; ; ; 4/6; 7/10; 8/13; 4/7; ; 8/13; 69/100; ; ; ; ; ; ; ; 
Borussia Dortmund 4-0; 33; 33; 40; 33; 33; 28; 45; 40; 33; 33; 40; 33; 40; 35; 28; 33; 32; 33; 32; 32; ; 42; 32; 33; 32; ; ; ; 
Schalke 04 3-0; 40; 40; 50; 40; 40; 40; 50; 45; 50; 40; 45; 40; 55; 45; 33; 33; 69/2; 50; 40; 69/2; ; 49; 40; 40; 40; ; 24; 65; 
Draw 3-3; 40; 40; 45; 50; 40; 40; 55; 55; 50; 40; 40; 33; 50; 40; 33; 40; 83/2; 50; 50; 83/2; ; 60; 50; 50; 50; ; 51; 57; 
Borussia Dortmund 4-2; 40; 40; 50; 50; 40; 40; 50; 50; 50; 40; 45; 40; 45; 40; 40; 40; 83/2; 40; 45; 83/2; ; 60; 45; 50; 45; ; ; ; 
Borussia Dortmund 5-1; 50; 66; ; 80; 66; 66; 80; 100; 80; 75; 70; 50; 75; 90; 66; 50; 58; ; 66; 58; ; ; 66; 80; 66; ; ; ; 
Schalke 04 4-1; 66; 50; 80; 66; 66; 66; 80; 90; 100; 66; 70; 66; 90; 90; 66; 50; 109/2; 80; 75; 109/2; ; 90; 75; 80; 75; ; ; ; 
Schalke 04 4-2; 66; 66; 85; 80; 80; 66; 100; 100; 100; 75; 70; 66; 90; 90; 80; 66; 237/4; 100; 90; 237/4; ; 110; 90; 100; 90; ; ; ; 
Borussia Dortmund 5-0; 66; 66; ; 100; 80; 80; 100; 125; 100; 90; 80; 66; 90; 100; 80; 66; 64; ; 80; 64; ; ; 80; 100; 80; ; ; ; 
Borussia Dortmund 4-3; 80; 66; 95; 100; 80; 80; 110; 150; ; 80; 80; 66; 90; 100; 80; 66; 135/2; 125; 100; 135/2; ; 140; 100; 125; 100; ; ; ; 
Borussia Dortmund 5-2; 80; ; ; 125; 100; 80; 125; 150; ; 100; 90; 66; 100; 100; 80; 80; 289/4; ; 110; 289/4; ; ; 110; 125; 110; ; ; ; 
Schalke 04 4-0; 80; 80; 125; 100; 100; 80; 125; 150; 100; 100; 100; 80; 125; 150; 80; 80; 275/4; 150; 110; 275/4; ; 150; 110; 125; 110; ; ; ; 
Schalke 04 4-3; 100; ; 125; 100; 125; 80; 150; 200; ; 100; 100; 80; 125; 100; 100; 100; 77; 200; 150; 77; ; 190; 150; 150; 150; ; ; ; 
Borussia Dortmund 5-3; 150; ; ; ; 200; 150; 275; 400; ; 175; 125; 100; 125; 200; 150; 150; ; ; 250; ; ; ; 250; 250; 250; ; ; ; 
Borussia Dortmund 6-1; 150; ; ; 200; 200; 150; 200; 400; ; 175; 125; 100; 125; 200; 150; 125; ; ; 200; ; ; ; 200; 250; 200; ; ; ; 
Schalke 04 5-1; 200; ; ; 250; 200; 200; 200; 400; 100; 175; 150; 100; 175; 200; 200; 150; ; ; 250; ; ; ; 250; 250; 250; ; ; ; 
Borussia Dortmund 6-0; 200; ; ; 250; 200; 200; 250; 475; 100; 200; 150; 100; 150; 250; 200; 150; ; ; 225; ; ; ; 225; 250; 225; ; ; ; 
Borussia Dortmund 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 5-4; 500; ; ; ; 300; ; ; 500; ; 325; 200; ; 175; 300; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 6-2; 250; ; ; 250; 250; 250; 325; 500; ; 225; 150; 100; 175; 250; 250; 200; ; ; 300; ; ; ; 300; 250; 300; ; ; ; 
Borussia Dortmund 6-3; ; ; ; ; 250; ; ; 500; ; 350; 200; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 7-0; ; ; ; 500; 300; ; 350; 500; ; 400; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 7-1; ; ; ; 500; 300; ; 350; 500; ; 350; 200; ; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 7-2; ; ; ; ; 300; ; ; 500; ; 425; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 8-0; ; ; ; 500; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 8-1; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Borussia Dortmund 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 200; ; 225; 150; 200; 150; 325; 500; ; 175; 125; 100; 150; 200; 150; 150; ; 250; 300; ; ; 350; 300; 250; 300; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 10-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 5-0; 300; ; ; 300; 300; ; 350; 500; 100; 250; 150; 100; 200; 300; ; 200; ; ; 375; ; ; ; 375; 250; 375; ; ; ; 
Schalke 04 5-2; 200; ; ; 250; 250; 200; 325; 500; ; 200; 150; 100; 175; 250; 200; 200; ; ; 300; ; ; ; 300; 250; 300; ; ; ; 
Schalke 04 5-3; 400; ; ; ; 250; ; 275; 500; ; 250; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 5-4; ; ; ; ; 250; ; ; 500; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-0; ; ; ; 500; 250; ; 350; 500; 100; 500; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-1; ; ; ; 500; 250; ; 350; 500; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-2; ; ; ; 500; 250; ; 350; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-3; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 7-0; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 7-1; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 7-2; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 8-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 8-1; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 9-1; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Schalke 04 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 20:16:01 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; ; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; ; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; ; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-30 00:16:13 GMT+3; 2017-03-31 09:50; e70300-dr003
Adelaide United; 6/4; 7/5; 7/5; 6/4; 6/4; 7/5; 29/20; 7/5; 7/5; 7/5; 11/8; 6/4; 7/5; ; 7/5; 16/11; 16/11; 6/4; 7/5; 16/11; 6/4; 22/15; 16/11; ; 31/21; ; ; 7/5; 7/5
Perth Glory; 17/10; 6/4; 31/20; 6/4; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 13/8; 8/5; ; 8/5; 17/11; 8/5; 8/5; 8/5; 8/5; 87/50; 8/5; 8/5; ; 28/17; ; ; 8/5; 13/8
Draw; 13/5; 13/5; 27/10; 14/5; 13/5; 5/2; 14/5; 5/2; 13/5; 13/5; 5/2; 13/5; 14/5; ; 11/4; 13/5; 45/17; 12/5; 13/5; 45/17; 71/25; 14/5; 45/17; ; 27/10; ; ; 13/5; 14/5
META; english/premier-league/swansea-v-tottenham; 2017-03-30 04:16:07 GMT+3; ; e70300-dr003
Bayern Munich; 1/2500; 1/100; 1/100; 1/100; ; 1/100; 1/100; 1/200; 1/2000; ; ; 1/250; 1/100; 1/200; 1/100; 1/100; 1/100; ; 1/100; 1/100; 1/1000; 1/100; 1/100; ; 1/100; ; 1/100; ; 
RB Leipzig; 150; 25; 100; 25; ; 28; 33; 75; 80; ; ; 40; 16; 66; 28; 66; 40; 150; 200; 40; 50; 25; 200; ; 200; ; 80; 75; 
Borussia Dortmund; 200; 100; 100; 66; ; 40; 40; 80; 80; ; ; 80; 50; 75; 66; 66; 80; 150; 200; 80; 70; 66; 200; ; 200; ; 161; 179; 
Wolfsburg; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; 
Hamburg; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; 
Ingolstadt; ; ; ; ; ; ; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; 
Mattersburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; ; ; ; ; ; ; ; 
St Polten; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; ; ; ; ; ; ; ; ; 
Augsburg; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 500; ; ; ; ; ; ; ; 
Bor Monchengladbach; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 250; ; ; ; ; ; ; ; 
Mainz 05; ; ; ; ; ; ; 750; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 300; ; ; ; ; ; ; ; 
Schalke 04; ; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 300; ; ; ; ; ; ; ; 
Werder Bremen; ; ; ; ; ; ; 2000; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 300; ; ; ; ; ; ; ; 
Hertha Berlin; 4500; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; 4500; ; 4000; 4500; 150; ; 4000; ; 4000; ; 151; 152; 
Bayer Leverkusen; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 100; ; ; ; ; ; ; ; 
Hoffenheim; 4500; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; 4500; 500; 2000; 4500; 100; ; 2000; ; 2000; ; 389; 843; 
FC Koln; 4500; ; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; 4500; ; 5000; 4500; 80; ; 5000; ; 5000; ; 104; 843; 
Eintracht Frankfurt; 4500; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; 4500; ; 6000; 4500; 300; ; 6000; ; 6000; ; 132; 843; 
Freiburg; ; ; ; ; ; ; 1500; ; ; ; ; ; ; ; ; ; 4500; ; 8000; 4500; 500; ; 8000; ; 8000; ; 379; 843; 
META; english/premier-league/swansea-v-tottenham; 2017-03-30 04:34:34 GMT+3; ; e70300-dr003
20-30%; ; ; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
20 01 to 30%; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20 01% - 30 00%; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30 01 to 40%; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30 01% - 40 00%; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30-40%; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
40-50%; ; ; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29; ; 
Under 20%; ; ; ; ; 20; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
40 01 to 50%; ; ; ; ; ; ; ; ; ; ; ; 22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
40 01% - 50 00%; ; 22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20 00% or lower; ; 25; ; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Over 50%; ; ; ; ; 28; ; ; ; ; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
50 01% or higher; ; 50; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
50 01 Percent or Higher; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; 
20 00 Percent or Lower; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-30 12:16:14 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; ; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; ; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; ; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-30 20:16:13 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-31 00:17:20 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-31 04:16:22 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 3; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-31 04:30:22 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-31 20:16:20 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; 4/6; 11/17; ; 4/6; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 3; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; 14/5; 56/19; ; 14/5; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 9/2; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; 15/4; 4; ; 7/2; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-01 08:16:38 GMT+3; 2017-04-01 16:00; e70300-dr003
FK Senica; 11/10; 11/10; ; ; ; ; 21/20; 1; 11/10; ; 11/10; 21/20; 11/10; ; ; ; 11/10; 11/10; ; 11/10; ; ; ; 11/10; ; ; ; ; 
Draw; 9/4; 85/40; ; ; ; ; 23/10; 11/5; 11/5; ; 11/5; 9/4; 9/4; ; ; ; 9/4; 11/5; ; 9/4; ; ; ; 23/10; ; ; ; ; 
Zemplin Michalovce; 9/4; 85/40; ; ; ; ; 9/4; 11/5; 11/5; ; 11/5; 11/5; 23/10; ; ; ; 9/4; 11/5; ; 9/4; ; ; ; 9/4; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-01 12:17:03 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; ; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; ; 7/10; 4/6; 11/17; 4/6; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 11/4; 14/5; ; 3; 14/5; 3; 3; 29/10; 14/5; ; 31/10; 31/10; 56/19; 14/5; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; ; 4; 4; 9/2; 41/10; 4; 4; ; 9/2; 50/13; 4; 15/4; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-01 20:16:03 GMT+3; 2017-04-02 12:00; e70300-dr003
Zenit 1-0; 5; 5; 11/2; 11/2; ; 19/4; 5; 5; 5; 5; 5; 11/2; 5; ; 11/2; ; 96/19; ; 27/5; 96/19; ; 5; 27/5; 5; 27/5; ; ; 5; 
Draw 1-1; 5; 11/2; 11/2; 6; ; 5; 11/2; 11/2; 21/4; 11/2; 11/2; 5; 21/4; ; 11/2; ; 29/5; ; 6; 29/5; ; 11/2; 6; 5; 6; ; ; 27/5; 
Draw 0-0; 7; 13/2; 7; 15/2; ; 7; 6; 6; 7; 7; 13/2; 15/2; 13/2; ; 15/2; ; 6; ; 13/2; 6; ; 38/5; 13/2; ; 13/2; ; ; 33/5; 
Zenit 2-0; 7; 15/2; 8; 8; ; 7; 15/2; 8; 7; 15/2; 15/2; 8; 7; ; 15/2; ; 6; ; 8; 6; ; 73/10; 8; 7; 8; ; ; 34/5; 
Zenit 2-1; 8; 8; 8; 8; ; 15/2; 8; 8; 8; 8; 8; 15/2; 7; ; 15/2; ; 33/4; ; 8; 33/4; ; 81/10; 8; 7; 8; ; ; 39/5; 
Rubin Kazan 1-0; 17/2; 17/2; 9; 17/2; ; 8; 9; 9; 17/2; 17/2; 17/2; 9; 10; ; 8; ; 33/4; ; 19/2; 33/4; ; 83/10; 19/2; 8; 19/2; ; ; 43/5; 
Rubin Kazan 2-1; 14; 14; 13; 14; ; 12; 13; 13; 12; 12; 12; 12; 12; ; 12; ; 53/4; ; 14; 53/4; ; 13; 14; 11; 14; ; ; 14; 
Zenit 3-0; 16; 16; 16; 16; ; 12; 17; 16; 14; 16; 16; 16; 14; ; 12; ; 61/4; ; 14; 61/4; ; 16; 14; 16; 14; ; ; 35/2; 
Zenit 3-1; 16; 16; 17; 18; ; 12; 17; 17; 16; 16; 18; 14; 14; ; 12; ; 17; ; 16; 17; ; 18; 16; 15; 16; ; ; 92/5; 
Draw 2-2; 16; 16; 16; 18; ; 12; 17; 14; 16; 16; 16; 14; 16; ; 12; ; 73/4; ; 18; 73/4; ; 19; 18; 15; 18; ; ; 35/2; 
Rubin Kazan 2-0; 20; 20; 18; 20; ; 16; 20; 20; 20; 18; 20; 18; 25; ; 16; ; 73/4; ; 19; 73/4; ; 19; 19; 18; 19; ; ; 24; 
Zenit 3-2; 33; 33; 30; 40; ; 25; 33; 33; 33; 28; 33; 25; 30; ; 22; ; 131/4; ; 32; 131/4; ; 40; 32; 28; 32; ; ; 40; 
Rubin Kazan 3-1; 40; 40; 35; 40; ; 28; 35; 40; 40; 33; 40; 28; 40; ; 28; ; 145/4; ; 40; 145/4; ; 45; 40; 33; 40; ; ; 61; 
Zenit 4-0; 40; 40; 40; 40; ; 40; 40; 45; 40; 40; 40; 33; 40; ; 33; ; 141/4; ; 32; 141/4; ; 45; 32; 40; 32; ; ; ; 
Zenit 4-1; 40; 40; 40; 40; ; 40; 40; 45; 40; 40; 45; 33; 40; ; 33; ; 155/4; ; 37; 155/4; ; 50; 37; 40; 37; ; ; ; 
Rubin Kazan 3-2; 40; 50; 45; 50; ; 40; 45; 50; 50; 40; 50; 33; 50; ; 40; ; 183/4; ; 55; 183/4; ; 60; 55; 40; 55; ; ; 69; 
