META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 41/5; 13/2; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 12:16:40 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 41/5; 13/2; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 16:16:37 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; 27/4; 41/5; 13/2; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 20:17:03 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; ; ; 4/11; 2/5; 4/11; 2/5; 4/11; ; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; ; ; 17/4; 4; 77/19; 7/2; 4; ; 77/19; 21/5; 21/5; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; ; ; 7; 15/2; 27/4; 7; 13/2; ; 27/4; 41/5; 13/2; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 00:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 17/4; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; 27/4; 41/5; 13/2; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 04:16:17 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; 27/4; 41/5; 13/2; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 08:16:15 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 17/4; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; 27/4; 41/5; 13/2; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 12:16:35 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 4/11; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; 27/4; 41/5; 13/2; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 16:17:51 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; ; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; ; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; ; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-21 20:17:56 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; 15/4; ; 7/2; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; 13/2; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 00:17:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; 15/4; ; 4; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 04:17:30 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; 15/4; ; 4; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 08:17:26 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; 15/4; ; 4; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 12:18:01 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; ; 21/5; 21/5; 7/2; 15/4; ; 4; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 41/5; 13/2; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 16:17:21 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; ; ; 2/5; 3/8; 2/5; 4/11; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; ; ; 21/5; 21/5; 7/2; 15/4; ; 4; ; 
Sunderland; 7; ; 7; 13/2; 7; 15/2; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; ; ; 41/5; 13/2; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-22 20:17:21 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 1/3; ; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; ; 2/5; 4/11; ; 4/11; ; 
Draw; 4; ; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; ; 43/10; ; 7/2; 4; ; 4; ; 
Sunderland; 8; ; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 39/5; ; 7; 13/2; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 00:17:04 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 1/3; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 4/11; ; 4/11
Draw; 4; 4; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 4; 18/5; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 43/10; 21/5; 7/2; 4; ; 4; ; 4
Sunderland; 8; 7; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 39/5; 32/5; 7; 13/2; ; 38/5; ; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 04:16:59 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 1/3; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 4/11; ; 2/5
Draw; 4; 4; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 4; 7/2; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 43/10; 21/5; 7/2; 4; ; 4; ; 21/5
Sunderland; 8; 7; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 39/5; 32/5; 7; 13/2; ; 38/5; ; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 08:17:10 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 1/3; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; 3/8; 2/5; 4/11; ; 4/11; ; 2/5
Draw; 4; 4; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 4; 7/2; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 43/10; 21/5; 7/2; 4; ; 4; ; 21/5
Sunderland; 8; 7; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 39/5; 32/5; 7; 13/2; ; 38/5; ; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 12:17:04 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 1/3; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; ; 4/11; ; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; ; 2/5; 3/8; 4/11; 4/11; ; 4/11; ; 2/5
Draw; 4; 4; 19/5; 4; 4; 9/2; 22/5; 15/4; 17/4; 4; 7/2; ; 4; ; 17/4; 4; 77/19; 4; 4; 4; 77/19; 43/10; 21/5; 4; 4; ; 4; ; 21/5
Sunderland; 8; 7; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; ; 7; ; 7; 15/2; 27/4; 7; 13/2; 7; ; 39/5; 32/5; 7; 13/2; ; 38/5; ; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 16:17:05 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 1/3; 4/11; ; 4/11; 2/5; 3/8; 4/11; 4/11; 4/11; ; 2/5; 7/17; 4/11; 2/5; ; 4/11; ; 2/5
Draw; 15/4; 4; 15/4; 4; 4; 9/2; 21/5; 15/4; 17/4; 15/4; 7/2; 17/5; 4; ; 17/4; 4; 4; 4; 4; 4; 4; 43/10; 41/10; 4; 15/4; ; 7/2; ; 4
Sunderland; 7; 7; 13/2; 6; 7; 15/2; 7; 13/2; 13/2; 6; 13/2; 6; 7; ; 7; 15/2; 25/4; 7; 13/2; 7; ; 39/5; 29/5; 7; 6; ; 38/5; ; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-23 20:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 1/3; 4/11; ; 4/11; 4/9; 3/8; 2/5; 4/11; 2/5; 3/8; 3/7; 7/17; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 4; 4; 9/2; 17/4; 15/4; 17/4; 15/4; 7/2; 17/5; 4; ; 17/4; 4; 4; 75/19; 4; 7/2; 4; 43/10; 41/10; 75/19; 15/4; ; 4; 7/2; 4
Sunderland; 7; 6; 13/2; 11/2; 7; 15/2; 15/2; 13/2; 13/2; 6; 13/2; 6; 13/2; ; 7; 7; 25/4; 6; 13/2; 6; 25/4; 69/10; 29/5; 6; 13/2; ; 38/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 00:16:54 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 4/11; ; 4/11; 2/5; 6/17; 2/5; 4/11; 2/5; 6/17; 3/7; 7/17; 2/5; 4/11; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 19/5; 15/4; 4; 9/2; 22/5; 15/4; 17/4; 4; 7/2; 17/5; 4; ; 17/4; 4; 41/10; 75/19; 4; 7/2; 41/10; 43/10; 41/10; 75/19; 15/4; ; 4; 7/2; 21/5
Sunderland; 7; 6; 7; 7; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 6; 7; ; 7; 15/2; 7; 6; 13/2; 6; 7; 69/10; 29/5; 6; 13/2; ; 38/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 04:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 7/20; ; 4/11; 2/5; 10/29; 2/5; 4/11; 2/5; 10/29; 2/5; 3/8; 2/5; 4/11; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 19/5; 4; 4; 17/4; 17/4; 15/4; 17/4; 4; 7/2; 17/5; 4; ; 17/4; 4; 77/19; 75/19; 4; 7/2; 77/19; 43/10; 21/5; 75/19; 15/4; ; 4; 7/2; 21/5
Sunderland; 7; 6; 7; 13/2; 7; 15/2; 17/2; 13/2; 13/2; 13/2; 13/2; 6; 15/2; ; 7; 15/2; 15/2; 6; 13/2; 6; 15/2; 79/10; 63/10; 6; 7; ; 38/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 08:16:59 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 7/20; ; 4/11; 2/5; 10/29; 2/5; 4/11; 2/5; 10/29; 2/5; 3/8; 2/5; 4/11; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 19/5; 4; 4; 17/4; 22/5; 15/4; 17/4; 4; 7/2; 17/5; 4; ; 17/4; 4; 77/19; 75/19; 4; 7/2; 77/19; 43/10; 21/5; 75/19; 15/4; ; 4; 7/2; 21/5
Sunderland; 7; 6; 7; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 6; 15/2; ; 7; 15/2; 15/2; 6; 13/2; 6; 15/2; 79/10; 63/10; 6; 7; ; 38/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 12:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/11; 2/5; 4/11; 3/8; 4/11; 4/11; 4/11; 2/5; 3/8; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 19/5; 4; 4; 17/4; 17/4; 15/4; 17/4; 15/4; 15/4; 4; 15/4; ; 17/4; 4; 75/19; 75/19; 4; 7/2; 75/19; 43/10; 21/5; 75/19; 15/4; ; 4; 4; 4
Sunderland; 7; 13/2; 7; 6; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 7; 15/2; ; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 79/10; 63/10; 29/4; 7; ; 38/5; 36/5; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 16:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 3/8; 3/8; 4/11; 4/11; 3/8; 5/12; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 15/4; 15/4; 4; 17/4; 4; 15/4; 17/4; 15/4; 15/4; 4; 4; 15/4; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 41/10; 41/10; 75/19; 15/4; ; 4; 7/2; 4
Sunderland; 7; 13/2; 7; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 15/2; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 38/5; 13/2; 29/4; 7; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-24 20:17:21 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 3/8; 4/11; 4/11; 7/19; 5/12; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 4; 15/4; 18/5; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 41/10; 41/10; 75/19; 15/4; ; 4; 7/2; 4
Sunderland; 7; 13/2; 13/2; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 38/5; 13/2; 29/4; 7; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 00:17:13 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 3/8; 4/11; 4/11; 7/19; 7/17; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 4; 15/4; 18/5; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 21/5; 41/10; 75/19; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 39/5; 13/2; 29/4; 7; ; 38/5; 38/5; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 04:17:08 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 3/8; 4/11; 4/11; 7/19; 7/17; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 4; 15/4; 18/5; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 21/5; 41/10; 75/19; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 39/5; 13/2; 29/4; 7; ; 38/5; 38/5; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 08:17:06 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/19; 3/8; 4/11; 4/11; 7/19; 7/17; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 4; 15/4; 18/5; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 21/5; 41/10; 75/19; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 13/2; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 15/2; 29/4; 29/4; 13/2; 36/5; 29/4; 39/5; 13/2; 29/4; 7; ; 38/5; 38/5; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 12:17:19 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 2/5; 4/11; 3/8; 4/11; 4/11; 4/11; 2/5; 2/5; 3/8; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; ; 18/5; 15/4; 4; 39/10; 75/19; 4; 7/2; 39/10; 21/5; 41/10; 75/19; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 7; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 13/2; ; 7; 7; 15/2; 15/2; 29/4; 13/2; 36/5; 15/2; 41/5; 13/2; 29/4; 7; ; 38/5; 38/5; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 16:17:07 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/18; 4/11; 4/11; 3/8; 2/5; 2/5; 7/18; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 4; 37/10; 7/2; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; 15/4; 18/5; 15/4; 4; 39/10; 4; 4; 4; 39/10; 21/5; 41/10; 4; 15/4; ; 4; 4; 4
