META; english/premier-league/west-ham-v-stoke; 2016-10-22 20:17:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 13/5; 13/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 12/5; 14/5; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 3; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 00:16:38 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 10/11; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 19/20; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 3; 11/4; 13/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 00:55:38 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 10/11; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 19/20; ; 1; 20/21; 1
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 3; 11/4; 13/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 01:45:34 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 23/10; 13/5; 13/5; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 03:45:36 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 21/20
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 04:15:45 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 05:45:38 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 06:32:39 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 13/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 07:45:31 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 14/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 08:15:47 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; 13/5; 12/5; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 14/5; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 14/5; ; ; ; ; 58/19; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 09:45:36 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 19/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 13/5; 51/20; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 3; 3; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 11/4; 14/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 11:45:38 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 23/10; 51/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 27/10; 14/5; 3; 3; 3; 5/2; 14/5; 14/5; 11/4; 3; 11/4; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 12:15:48 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 23/10; 51/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 3; 11/4; 27/10; 14/5; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 11/4; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 13:45:32 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 20/21; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 3; 11/4; 27/10; 14/5; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 14/5; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 15:45:50 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 5/2
Stoke; 3; 13/5; 11/4; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 14/5; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-04 16:15:53 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 1; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 1
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 13/5; 14/5; 3; 3; 3; 29/10; 5/2; 14/5; 29/10; 14/5; 3; 14/5; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 18:33:19 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 21/20
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 13/5; 14/5; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 19:45:49 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 21/20
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 31/10; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 20:16:12 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 21/20
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 31/10; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 21:45:38 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 19/20; ; ; ; 1; ; ; ; ; 1; 1; ; 1; 1; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 3; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 16/5; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-04 23:45:33 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 1; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 11/4; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 00:15:51 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 1; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 11/4; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 00:58:46 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; ; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 1; 21/20
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; ; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 11/4; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; ; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 01:45:10 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; ; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 21/20
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; ; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 11/4; 3; 3; 3; 29/10; 5/2; 14/5; 14/5; 11/4; 3; ; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 03:45:15 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; ; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 20/21
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; ; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; ; 3; 5/2; 14/5; 3; 11/4; 3; 14/5; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 04:15:52 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 20/21
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 13/5; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 3; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 05:45:13 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 13/5; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 29/10; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 06:34:01 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 13/5; 13/5; 13/5
Stoke; 3; 11/4; 29/10; 3; 3; 3; 29/10; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 3; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 07:45:14 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 13/5; 13/5; 13/5
Stoke; 3; 11/4; 29/10; 3; 3; 3; 3; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 3; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 08:15:54 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 13/5; 13/5; 13/5
Stoke; 3; 11/4; 29/10; 3; 3; 3; 3; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 3; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 09:45:15 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 20/21; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 19/20; 21/20; 1; ; ; ; 1; ; ; ; ; 1; 1; ; 20/21; 20/21; 1
Draw; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 23/10; 23/10; 53/20; 13/5; 13/5; ; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; 5/2; 13/5; 13/5
Stoke; 3; 11/4; 29/10; 3; 3; 3; 3; 5/2; 14/5; 3; 11/4; 3; 57/20; 29/10; 3; ; ; ; 14/5; ; ; ; ; 58/19; 3; ; 14/5; 3; 3
META; english/premier-league/west-ham-v-stoke; 2016-11-05 11:45:13 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 1; 1; 42/41; 68/67; 1; 1; ; 20/21; 20/21; 21/20
Draw; 13/5; 13/5; 27/10; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 53/20; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 3; 11/4; 14/5; 3; 3; 3; 29/10; 3; 3; 3; 56/19; 58/19; 14/5; 3; 56/19; 56/19; 56/19; 58/19; 3; ; 14/5; 3; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 12:16:19 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 1; 1; 42/41; 68/67; 1; 1; ; 20/21; 20/21; 21/20
Draw; 13/5; 13/5; 27/10; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 53/20; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 14/5; 3; 3; 3; 3; 11/4; 14/5; 3; 3; 3; 29/10; 3; 3; 3; 29/10; 58/19; 14/5; 3; 29/10; 56/19; 56/19; 58/19; 3; ; 14/5; 3; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 13:11:49 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 19/20; 1; 1; ; 1; 1; 1; 1; 1; 21/20; 42/41; 1; 21/20; ; 1; 1; 21/20
Draw; 13/5; 13/5; 27/10; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 53/20; 13/5; 5/2; ; 5/2; 13/5; 5/2; 13/5; 5/2; 27/10; 28/11; 13/5; 5/2; ; 5/2; 5/2; 13/5
Stoke; 3; 11/4; 11/4; 3; 3; 3; 29/10; 11/4; 14/5; 3; 14/5; 3; 29/10; 3; 3; ; 29/10; 58/19; 14/5; 3; 29/10; 23/8; 37/13; 58/19; 14/5; ; 14/5; 3; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 13:45:14 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 19/20; 21/20; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 19/20; 1; 21/20; ; 1; 1; 1; 1; 1; 21/20; 68/67; ; 21/20; ; 1; 1; 21/20
Draw; 13/5; 13/5; 27/10; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 53/20; 13/5; 13/5; ; 5/2; 13/5; 5/2; 13/5; 5/2; 45/17; 5/2; ; 5/2; ; 5/2; 5/2; 13/5
