Bournemouth; 8/5; ; 23/20; ; 17/10; ; 13/8; 13/10; 8/5; 6/4; ; ; 31/20; ; ; 8/5; 17/11; 17/11; ; 17/11; 13/8; ; ; ; ; ; ; 
West Ham; 13/8; ; 9/4; ; 7/4; ; 7/4; 19/10; 7/4; 13/8; ; ; 17/10; ; ; 9/5; 28/17; 28/17; ; 28/17; 191/100; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 5/2; 23/10; 5/2; 5/2; ; ; 12/5; ; ; 5/2; 40/17; 23/10; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 04:16:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 8/5; ; 23/20; ; 17/10; ; 13/8; 13/10; 8/5; 6/4; ; ; 31/20; ; ; 8/5; 17/11; 17/11; ; 17/11; 13/8; ; ; ; ; ; ; 
West Ham; 13/8; ; 9/4; ; 7/4; ; 7/4; 19/10; 7/4; 13/8; ; ; 17/10; ; ; 9/5; 28/17; 28/17; ; 28/17; 191/100; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; ; 5/2; 23/10; 5/2; 5/2; ; ; 12/5; ; ; 5/2; 40/17; 23/10; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 08:16:27 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 8/5; ; 23/20; ; 17/10; 13/8; 13/8; 13/10; 8/5; 6/4; ; 8/5; 31/20; ; ; 8/5; 17/11; 17/11; ; 17/11; 13/8; ; ; ; ; ; ; 
West Ham; 13/8; ; 9/4; ; 7/4; 17/10; 7/4; 19/10; 7/4; 13/8; ; 17/10; 17/10; ; ; 9/5; 28/17; 28/17; ; 28/17; 191/100; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; ; 23/10; 12/5; ; ; 5/2; 40/17; 23/10; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 12:16:50 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 8/5; ; 6/4; ; 17/10; 13/8; 13/8; 13/10; 8/5; 6/4; ; 8/5; 31/20; ; 6/4; 8/5; 17/11; 17/11; ; 17/11; 13/8; ; ; ; ; ; ; 
West Ham; 13/8; ; 33/20; ; 7/4; 17/10; 7/4; 19/10; 7/4; 13/8; ; 17/10; 17/10; ; 7/4; 9/5; 28/17; 28/17; ; 28/17; 191/100; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; ; 23/10; 12/5; ; 5/2; 5/2; 40/17; 23/10; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 16:17:07 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 8/5; 3/2; 6/4; ; 17/10; 13/8; 13/8; 13/10; 8/5; 6/4; 6/4; 8/5; 31/20; ; 6/4; 8/5; 17/11; 17/11; ; 17/11; 33/20; ; ; ; ; ; ; 
West Ham; 13/8; 7/4; 33/20; ; 7/4; 17/10; 7/4; 19/10; 7/4; 13/8; 31/20; 17/10; 17/10; ; 7/4; 9/5; 28/17; 28/17; ; 28/17; 46/25; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 23/10; 23/10; 12/5; ; 5/2; 5/2; 40/17; 23/10; ; 40/17; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 20:16:34 GMT+2; 2017-03-11 15:00; e70300-dr003
