Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; ; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; ; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10; ; 23/10; ; 
Burnley; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 27/10; 12/5; 27/10; 28/11; ; 13/5; 27/10; 12/5; ; 12/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-04 16:16:19 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; ; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 61/50; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; ; 
Burnley; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 27/10; 12/5; 27/10; 28/11; 27/10; 13/5; 27/10; 5/2; ; 12/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 00:16:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 6/5; 6/5; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 61/50; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 5/2; 12/5; 23/10; 11/5; 23/10; 9/4; ; 11/5; 9/4; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; ; 23/10; ; 
Burnley; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 27/10; 12/5; 27/10; 28/11; 27/10; 13/5; 27/10; 5/2; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 04:16:01 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 61/50; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 23/10; 11/5; 23/10; 9/4; ; 11/5; 9/4; 5/2; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; ; 
Burnley; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 5/2; 27/10; 12/5; 27/10; 5/2; 27/10; 13/5; 27/10; 5/2; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 08:16:05 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 61/50; 10/9; 11/10; 23/20; ; 23/20; ; 
