Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; ; 40/17; 45/17; 40/17; ; ; 21/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 12:17:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 16:17:14 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 20:17:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 21/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-06 04:16:54 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-06 08:17:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 21/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-06 12:17:16 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-06 16:17:11 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-06 20:17:11 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 00:17:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 04:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 08:17:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 12:17:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 16:17:14 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 9/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 21/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-07 20:17:10 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 00:17:07 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 04:19:27 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 08:16:57 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 12:17:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 16:17:09 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 21/20; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-08 20:17:24 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; ; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; ; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; ; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 00:17:22 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 21/20; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 04:17:07 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 21/20; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 08:17:18 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 21/20; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 12:17:47 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; ; 23/20; 23/20; 6/5; 11/10; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; ; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 5/2; 12/5; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 23/10; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; ; ; ; 9/4; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 16:17:37 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 6/5; 21/20; 21/20; 11/10; 15/13; 11/10; 21/20; 6/5; 11/10; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; ; 51/20; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 11/5; ; 5/2; 23/10; 23/10; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 45/17; 27/11; ; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-09 20:17:37 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 6/5; 11/10; 21/20; 11/10; 15/13; 11/10; 21/20; 6/5; 11/10; 11/10; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 51/20; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 23/10; ; 
Liverpool; 12/5; ; ; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 11/5; 9/4; 5/2; 23/10; 23/10; 23/10; 27/11; 5/2; 12/5; 5/2; 27/11; 45/17; 27/11; 23/10; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 00:17:29 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 6/5; 11/10; 21/20; 11/10; 15/13; 11/10; 21/20; 6/5; 11/10; 11/10; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 51/20; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 11/5; 9/4; 5/2; 23/10; 23/10; 23/10; 27/11; 5/2; 12/5; 5/2; 27/11; 45/17; 27/11; 23/10; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 04:17:16 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 6/5; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 11/10; 23/20; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 13/5; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 5/2; 23/10; 45/17; 27/11; 11/5; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 08:17:18 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 6/5; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 5/2; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; 27/11; 11/5; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 12:17:15 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 23/20; 11/10; 6/5; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 11/10; 23/20; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 13/5; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; 27/11; 11/5; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 16:17:15 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 23/20; 6/5; 11/10; 6/5; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 11/10; 23/20; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 13/5; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; 27/11; 11/5; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-10 20:17:34 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 6/5; 5/4; 11/10; 6/5; 11/10; 23/20; 6/5; 23/20; 23/20; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; ; 6/5; ; 23/20; ; 
