META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 33/20; 13/8; ; 7/4; 17/10; 13/8; 7/4; 17/10; 6/4; ; 33/20; 17/10; 9/5; 8/5; 17/10; 28/17; 8/5; 13/8; 17/10; 7/4; 17/10; 28/17; 17/10; ; 17/10; ; 9/5
Arsenal; 13/8; 7/4; 33/20; 13/8; ; 7/4; 9/5; 13/8; 13/8; 17/10; 9/5; ; 33/20; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 17/10; 7/4; 17/10; ; 8/5; ; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; ; 9/4; 21/10; 21/10; 12/5; 21/10; 28/13; 11/5; 21/10; 21/10; 44/19; 9/4; 28/13; 21/10; ; 21/10; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 16:16:48 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 13/8; 13/8; ; 17/10; 17/10; 13/8; 13/8; 13/8; 6/4; ; 8/5; 17/10; 9/5; 8/5; 28/17; 28/17; 8/5; 13/8; 28/17; 7/4; 17/10; 28/17; 13/8; ; 17/10; 6/4; 7/4
Arsenal; 13/8; 7/4; 17/10; 13/8; ; 9/5; 7/4; 13/8; 7/4; 7/4; 9/5; ; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 32/19; 7/4; 17/10; ; 13/8; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 23/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; ; 23/10; 21/10; 21/10; 12/5; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 20:16:50 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 6/4; 8/5; 13/8; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 17/10; 28/17; 13/8; ; 17/10; 6/4; 17/10
Arsenal; 13/8; 7/4; 7/4; 7/4; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 32/19; 7/4; 17/10; ; 17/10; 13/8; 9/5
Draw; 23/10; 12/5; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 00:16:44 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 6/4; 13/8; 13/8; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 17/10; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 7/4; 7/4; 7/4; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 32/19; 7/4; 17/10; ; 17/10; 13/8; 9/5
Draw; 23/10; 12/5; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 04:16:44 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 13/8; 13/8; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 17/10; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 32/19; 7/4; 17/10; ; 17/10; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 08:16:46 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 17/10; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 32/19; 7/4; 17/10; ; 17/10; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 12:16:53 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 17/10; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 32/19; 7/4; 17/10; ; 13/8; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 16:17:01 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 19/11; 7/4; 17/10; ; 17/10; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 9/4; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-08 20:16:47 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 9/5; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 32/19; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 00:16:48 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 04:16:47 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 13/8; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 13/8; ; 7/4; 28/17; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; ; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; ; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 08:16:46 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 13/8; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; ; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 12:17:07 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 13/8; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 28/17; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 28/17; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; ; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 16:16:53 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 13/8; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 28/17; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 28/17; 13/8; ; 6/4; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 7/4; 7/4; 17/10; ; 7/4; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; ; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-09 20:16:55 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 13/8; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 28/17; 28/17; 8/5; 13/8; 28/17; 7/4; 28/17; 28/17; 13/8; ; 8/5; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 7/4; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 7/4; 7/4; 17/10; ; 9/5; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 21/10; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; ; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 00:16:49 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 8/5; 8/5; 31/20; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 28/17; 28/17; ; 13/8; 28/17; 7/4; 28/17; ; 13/8; ; 13/8; 6/4; 17/10
Arsenal; 13/8; 17/10; 7/4; 13/8; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; ; 7/4; 17/10; 24/13; 7/4; ; 17/10; ; 9/5; 13/8; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; ; 21/10; 28/13; 44/19; 11/5; ; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 04:16:48 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 08:17:00 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 7/4; 17/10; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 17/10; 6/4; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 12:16:59 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 13/8; 8/5; ; ; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; ; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 17/10; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; ; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 16:17:35 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 13/8; 8/5; ; ; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; ; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 7/4; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; ; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-10 20:17:08 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 00:16:50 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 7/4; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 7/4; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 9/4; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 04:16:47 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 08:16:47 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 12:17:30 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 8/5; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; 8/5; 8/5; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 7/4; 28/17; 28/17; 8/5; ; 13/8; 6/4; 17/10
Arsenal; 7/4; 17/10; 7/4; 17/10; ; 20/11; 9/5; 13/8; 7/4; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; ; 9/5; 17/10; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 44/19; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 16:17:23 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 8/5; 8/5; 31/20; 13/8; 5/3; 8/5; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 31/18; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 17/10; 7/4; 17/10; 7/4; 15/8; 15/8; 13/8; 9/5; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 13/7; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-11 20:17:45 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 8/5; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; ; 17/11; 31/18; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 15/8; 13/8; 9/5; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; ; 9/5; 13/7; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; ; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 00:17:21 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 8/5; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 32/19; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 15/8; 13/8; 9/5; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 21/11; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 21/10; 28/13; 11/5; 21/10; 21/10; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 04:17:07 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 32/19; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
