META; english/premier-league/swansea-v-man-utd; 2016-10-23 00:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Draw; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 3; 57/20; 27/10; 14/5; ; ; ; 29/10; ; 29/10; ; ; 56/19; 11/4; ; 14/5; ; 3
Swansea; 4; 18/5; 19/5; 4; 4; 4; 17/4; 4; 19/5; 15/4; 7/2; 4; 15/4; 4; 4; ; ; ; 17/4; ; 77/19; ; ; 41/10; 4; ; 4; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-04 12:16:00 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 8/11; 8/11; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; 7/10; 7/10; 8/11; ; ; ; 4/6; ; 5/7; ; ; 8/11; 8/11; ; 4/6; ; 8/11
Draw; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 11/4; 11/4; 57/20; 3; 16/5; ; ; ; 29/10; ; 56/19; ; ; 3; 14/5; ; 14/5; ; 3
Swansea; 4; 4; 19/5; 4; 4; 4; 17/4; 4; 19/5; 15/4; 15/4; 4; 15/4; 4; 15/4; ; ; ; 17/4; ; 75/19; ; ; 41/10; 4; ; 4; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-04 16:16:05 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 7/10; 8/11; ; ; ; 13/18; ; 14/19; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 11/4; 11/4; 29/10; 3; 16/5; ; ; ; 29/10; ; 29/10; ; ; 3; 11/4; ; 14/5; ; 14/5
Swansea; 4; 18/5; 19/5; 15/4; 4; 4; 4; 15/4; 7/2; 4; 15/4; 4; 15/4; 4; 15/4; ; ; ; 15/4; ; 39/10; ; ; 50/13; 4; ; 7/2; ; 7/2
META; english/premier-league/swansea-v-man-utd; 2016-11-04 20:16:29 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 7/10; 3/4; ; ; ; 13/18; ; 14/19; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 3; 11/4; 29/10; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 11/4; 11/4; 29/10; 3; 3; ; ; ; 29/10; ; 14/5; ; ; 3; 11/4; ; 14/5; ; 14/5
Swansea; 4; 7/2; 19/5; 15/4; 4; 4; 4; 15/4; 7/2; 4; 7/2; 4; 15/4; 4; 15/4; ; ; ; 15/4; ; 75/19; ; ; 50/13; 4; ; 7/2; ; 4
META; english/premier-league/swansea-v-man-utd; 2016-11-05 00:16:05 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 7/10; 3/4; ; ; ; 13/18; ; 14/19; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 3; 11/4; 29/10; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 11/4; 11/4; 29/10; 3; 3; ; ; ; 29/10; ; 14/5; ; ; 3; 11/4; ; 14/5; ; 14/5
Swansea; 4; 7/2; 19/5; 15/4; 4; 4; 4; 15/4; 7/2; 4; 7/2; 4; 15/4; 4; 15/4; ; ; ; 15/4; ; 75/19; ; ; 50/13; 4; ; 7/2; ; 7/2
META; english/premier-league/swansea-v-man-utd; 2016-11-05 04:16:05 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 3/4; 3/4; 3/4; 8/11; ; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; ; ; ; 13/18; ; 14/19; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 3; 11/4; 29/10; 14/5; 3; ; 29/10; 11/4; 14/5; 14/5; 11/4; 11/4; 57/20; 14/5; 3; ; ; ; 29/10; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 4; 7/2; 19/5; 15/4; 4; ; 4; 15/4; 7/2; 4; 7/2; 4; 15/4; 4; 15/4; ; ; ; 15/4; ; 75/19; ; ; 4; 4; ; 7/2; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 08:16:08 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; ; ; ; 13/18; ; 14/19; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 3; 11/4; 29/10; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 11/4; 11/4; 57/20; 14/5; 3; ; ; ; 29/10; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 4; 7/2; 19/5; 15/4; 4; 4; 4; 15/4; 7/2; 4; 7/2; 4; 15/4; 4; 15/4; ; ; ; 15/4; ; 75/19; ; ; 4; 4; ; 7/2; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 12:16:36 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; ; ; ; 13/18; ; 5/7; ; ; 13/17; 3/4; ; 8/11; ; 8/11
Draw; 29/10; 14/5; 29/10; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 14/5; 11/4; ; ; ; 29/10; ; 37/13; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 4; 18/5; 19/5; 15/4; 4; 4; 21/5; 15/4; 7/2; 4; 15/4; 4; 15/4; 4; 4; ; ; ; 15/4; ; 4; ; ; 4; 4; ; 7/2; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 16:16:23 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 7/10; 8/11; 4/6; 7/10; 3/4; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 3/4; ; ; ; 7/10; ; 9/13; ; ; 7/10; 7/10; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 11/4; ; ; ; 3; ; 37/13; ; ; 56/19; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 17/4; 4; 4; 17/4; 22/5; 15/4; 4; 9/2; 4; 4; 4; 9/2; 4; ; ; ; 15/4; ; 74/17; ; ; 9/2; 9/2; ; 9/2; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 19:46:21 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 3/4; 4/6; 7/10; 8/11; 8/11; ; 8/11; 7/10; ; ; ; 7/10; ; 9/13; ; ; 13/18; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; ; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 15/4; 4; 9/2; 4; 4; ; 9/2; 9/2; ; ; ; 15/4; ; 43/10; ; ; 22/5; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 20:16:30 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 3/4; 4/6; 7/10; 8/11; 8/11; ; 8/11; 7/10; ; ; ; 7/10; ; 9/13; ; ; 13/18; 8/11; ; 4/6; ; 4/6
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 15/4; 4; 9/2; 4; 4; ; 9/2; 9/2; ; ; ; 15/4; ; 43/10; ; ; 22/5; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 21:45:44 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 8/11; 7/10; ; ; ; 7/10; ; 5/7; ; ; 13/18; 8/11; ; 4/6; ; 4/6
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 17/4; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 21/5; ; ; 22/5; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-05 23:45:17 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 8/11; 7/10; ; ; ; 7/10; ; 5/7; ; ; 5/7; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 21/5; ; ; 49/11; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 00:16:00 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 8/11; 7/10; ; ; ; 7/10; ; 5/7; ; ; 5/7; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 17/4; ; ; 49/11; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 00:53:47 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 8/11; 7/10; ; ; ; 7/10; ; 5/7; ; ; 5/7; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 17/4; ; ; 49/11; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 01:45:15 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 7/10; ; ; ; 7/10; ; 5/7; ; ; 5/7; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 27/10; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 17/4; 4; 9/2; ; ; ; 15/4; ; 17/4; ; ; 49/11; 17/4; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 03:45:12 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 7/10; ; ; ; 7/10; ; 5/7; ; ; 13/18; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 5/2; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 4; 9/2; 9/2; ; ; ; 15/4; ; 21/5; ; ; 74/17; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 04:15:53 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 7/10; ; ; ; 7/10; ; 5/7; ; ; 13/18; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 5/2; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 4; 9/2; 9/2; ; ; ; 15/4; ; 21/5; ; ; 74/17; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 05:45:14 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 7/10; ; ; ; 7/10; ; 5/7; ; ; 13/18; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 4; 9/2; 9/2; ; ; ; 15/4; ; 17/4; ; ; 74/17; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 06:30:11 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 7/10; ; ; ; 7/10; ; 5/7; ; ; 13/18; 8/11; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 4; 4; 9/2; 9/2; ; ; ; 15/4; ; 17/4; ; ; 74/17; 17/4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 07:45:15 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; ; 4/6; 7/10; ; ; ; 7/10; ; 9/13; ; ; 13/18; 7/10; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; ; 13/5; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 17/4; 4; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; ; 9/2; 9/2; ; ; ; 15/4; ; 49/11; ; ; 74/17; 17/4; ; 22/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 08:15:57 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 4/6; 7/10; ; ; ; 7/10; ; 9/13; ; ; 13/18; 7/10; ; 4/6; ; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; ; ; ; 3; ; 14/5; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 19/5; 17/4; 4; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 49/11; ; ; 74/17; 17/4; ; 22/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 09:45:10 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 7/10; 8/11; 4/6; 4/6; 7/10; ; ; ; 7/10; ; 9/13; ; ; 13/18; 7/10; ; 4/6; ; 8/11
Draw; 14/5; 29/10; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 13/5; 14/5; ; ; ; 3; ; 11/4; ; ; 29/10; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 4; 17/4; 4; 4; 17/4; 9/2; 4; 4; 9/2; 17/4; 4; 17/4; 9/2; 9/2; ; ; ; 15/4; ; 49/11; ; ; 74/17; 17/4; ; 22/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 11:45:16 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 7/10; ; ; ; 7/10; ; 4/6; ; 9/13; 13/19; 7/10; ; 4/6; ; 4/6
Draw; 29/10; 29/10; 3; 11/4; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 29/10; ; 14/5; ; 56/19; 56/19; 11/4; ; 14/5; ; 14/5
Swansea; 9/2; 4; 17/4; 9/2; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 9/2; ; 50/11; ; 41/10; 47/10; 9/2; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 12:16:00 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 7/10; ; ; ; 7/10; ; 4/6; ; 13/19; 13/19; 7/10; ; 4/6; ; 4/6
Draw; 29/10; 29/10; 3; 11/4; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 29/10; ; 14/5; ; 29/10; 56/19; 14/5; ; 14/5; ; 14/5
Swansea; 9/2; 4; 17/4; 9/2; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 9/2; ; 50/11; ; 21/5; 47/10; 17/4; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 12:52:46 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 7/10; ; ; ; 7/10; ; 9/13; ; 13/19; 13/19; 7/10; ; 4/6; ; 8/11
Draw; 29/10; 29/10; 3; 11/4; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; ; ; ; 29/10; ; 37/13; ; 29/10; 56/19; 14/5; ; 14/5; ; 14/5
Swansea; 9/2; 4; 17/4; 9/2; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 9/2; ; 43/10; ; 21/5; 47/10; 17/4; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 13:45:14 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 8/11; ; ; ; 7/10; ; 9/13; ; 9/13; 13/19; 7/10; ; 4/6; ; 4/6
Draw; 29/10; 29/10; 3; 11/4; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 11/4; ; ; ; 29/10; ; 37/13; ; 29/10; 56/19; 14/5; ; 14/5; ; 3
Swansea; 9/2; 4; 17/4; 9/2; 4; 17/4; 9/2; 4; 4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; ; ; 9/2; ; 43/10; ; 21/5; 47/10; 17/4; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 15:45:12 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; ; 7/10; 8/11; 8/11; ; ; 7/10; ; 9/13; ; 7/10; 7/10; 7/10; ; 4/6; ; 4/6
Draw; 29/10; 29/10; 3; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 5/2; ; 29/10; 11/4; 37/13; ; ; 29/10; ; 37/13; ; 37/13; 86/29; 14/5; ; 14/5; ; 3
Swansea; 9/2; 4; 17/4; 4; 4; 17/4; 9/2; 4; 4; 9/2; 4; 9/2; ; 9/2; 9/2; 41/10; ; ; 9/2; ; 74/17; ; 54/13; 22/5; 9/2; ; 21/5; ; 9/2
META; english/premier-league/swansea-v-man-utd; 2016-11-06 16:15:58 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 7/10; 4/6; 7/10; 8/11; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 8/11; 4/6; 7/10; 8/11; 8/11; ; ; 4/6; ; 9/13; ; 7/10; 7/10; 8/11; ; 4/6; ; 4/6
Draw; 29/10; 29/10; 29/10; 14/5; 3; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 5/2; 59/20; 29/10; 3; 37/13; ; ; 29/10; ; 14/5; ; 29/10; 86/29; 11/4; ; 14/5; ; 3
Swansea; 9/2; 4; 17/4; 4; 4; 17/4; 22/5; 4; 4; 9/2; 4; 9/2; 17/4; 9/2; 4; 41/10; ; ; 19/4; ; 43/10; ; 4; 22/5; 17/4; ; 21/5; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-06 17:45:11 GMT+2; 2016-11-06 15:00; In Play; e70300-dr003
Man Utd; 1/250; ; ; ; ; ; ; ; ; ; 1/1000; 1/66; ; 1/1200; ; ; 1/41; ; ; ; 1/41; ; ; ; ; ; ; ; 
Draw; 40; ; ; ; ; ; ; 90; ; ; 80; 18; ; 60; ; ; 15; ; ; ; 15; ; ; ; ; ; 123; ; 
Swansea; 125; ; ; ; ; ; ; 500; ; ; 150; 45; ; 150; ; ; 71/2; ; ; ; 71/2; ; ; ; ; ; 218; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-06 18:31:33 GMT+2; 2016-11-06 15:00; In Play; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 1/200; ; ; 1/100; 1/500; ; 1/1200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 40; ; ; ; ; ; ; 45; ; ; 40; 50; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
Swansea; 125; ; ; ; ; ; ; 475; ; ; 150; 70; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 189; ; 64
