META; english/premier-league/burnley-v-man-city; 2016-11-01 04:17:55 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; ; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 6/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 04:17:27 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; ; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 6/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 08:17:20 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; ; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 6/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 12:17:29 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; ; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 6/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 16:17:59 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; 3/10; ; ; 2/9; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 41/10; 74/17; 9/2; 21/5; 41/10; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 8; ; 17/2; 21/2; 8; 8; ; 8; 8; 9; ; 9; 8; 29/4; 17/2; 15/2; 17/2; 29/4; 10; 81/10; 17/2; ; ; 5/4; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 20:17:37 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; 3/10; ; ; 2/9; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 54/13; 74/17; 9/2; 21/5; 54/13; 47/10; 23/5; 74/17; ; ; 13/8; ; 
Burnley; 7; ; 17/2; 8; ; 17/2; 10; 8; 8; ; 8; 8; 9; ; 9; 8; 29/4; 17/2; 15/2; 17/2; 29/4; 10; 81/10; 17/2; ; ; 19/10; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 00:17:17 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; 3/10; ; ; 2/7; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 54/13; 74/17; 9/2; 21/5; 54/13; 47/10; 23/5; 74/17; ; ; 7/4; ; 
Burnley; 7; ; 17/2; 8; ; 17/2; 10; 8; 8; ; 8; 8; 9; ; 9; 8; 29/4; 17/2; 15/2; 17/2; 29/4; 10; 81/10; 17/2; ; ; 19/10; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 04:20:21 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; ; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 54/13; 74/17; 9/2; 21/5; 54/13; ; 23/5; 74/17; ; ; 7/2; ; 
Burnley; 7; ; 17/2; 8; ; 17/2; 10; 8; 8; ; 8; 8; 9; ; 9; 8; 29/4; 17/2; 15/2; 17/2; 29/4; ; 81/10; 17/2; ; ; 8; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 08:17:16 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; ; 17/4; ; 9/2; 4; 54/13; 74/17; 17/4; 21/5; 54/13; 47/10; 23/5; 74/17; ; ; 7/2; ; 
Burnley; 7; ; 17/2; 8; ; 17/2; 10; 8; 8; ; 8; ; 9; ; 9; 8; 29/4; 17/2; 8; 17/2; 29/4; 10; 81/10; 17/2; ; ; 8; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 12:17:47 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; ; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 54/13; 74/17; 17/4; 21/5; 54/13; 47/10; 23/5; ; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 10; 8; 8; ; 8; 8; 9; ; 9; 8; 29/4; 17/2; 8; 17/2; 29/4; 10; 81/10; ; ; ; 8; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 16:17:10 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 9/2; 54/13; 74/17; 17/4; 21/5; 54/13; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 10; 8; 8; ; 8; 8; 9; ; 9; 15/2; 29/4; 17/2; 8; 17/2; 29/4; 10; 81/10; 17/2; ; ; 8; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-16 20:17:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; ; 3/10; 1/3; 3/10; ; 30/100; 1/3; 3/10; 3/10; 3/10; ; ; 1/3; 4/13; ; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; ; 4; 4; 17/4; ; 9/2; 4; 74/17; 74/17; 17/4; ; ; 47/10; 23/5; ; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; 8; 9; ; 9; 17/2; 33/4; 17/2; 8; ; ; 10; 81/10; ; ; ; 41/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 00:17:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 33/4; 17/2; 8; 17/2; 33/4; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 04:17:03 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 33/4; 17/2; 8; 17/2; 33/4; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 08:17:02 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 33/4; 17/2; 8; 17/2; 33/4; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 12:17:09 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 33/4; 17/2; 8; 17/2; 33/4; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 16:17:14 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 33/4; 17/2; 8; 17/2; 33/4; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-17 20:17:23 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 22/5; 74/17; 17/4; 21/5; 22/5; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 00:17:05 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 22/5; 74/17; 17/4; 21/5; 22/5; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; ; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 04:17:13 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; ; ; 19/2; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 08:17:06 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 4; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; ; ; 19/2; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 12:17:49 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; ; ; 1/3; ; 
Draw; 17/4; ; 4; 4; ; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 9/2; 74/17; 74/17; 17/4; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; ; ; 19/2; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 16:17:38 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 2/7; 3/10; 3/10; 3/10; 2/7; 1/3; 4/13; 3/10; 1/3; ; ; ; 
Draw; 17/4; ; 4; 4; 9/2; 470/100; 19/4; 4; 9/2; 17/4; 4; 4; 17/4; 4; 9/2; 9/2; 22/5; 74/17; 17/4; 21/5; 22/5; 47/10; 23/5; 74/17; 4; ; ; ; 
Burnley; 7; ; 17/2; 17/2; 17/2; 17/2; 21/2; 8; 8; 17/2; 8; 8; 9; 17/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 17/2; 10; 81/10; 17/2; 15/2; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-18 20:17:42 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; ; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; 1/3; ; 1/3; ; 
Draw; 17/4; ; 17/4; 4; 9/2; 19/4; 9/2; 4; 9/2; 17/4; 4; 4; 17/4; 9/2; 9/2; 9/2; ; 74/17; 17/4; 21/5; 22/5; 47/10; 23/5; 74/17; 17/4; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; 17/2; 8; 10; 8; 8; 8; 8; 8; 9; 17/2; 9; 17/2; ; 17/2; 8; 17/2; 8; 10; 81/10; 17/2; 15/2; ; 39/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 00:17:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 1/3; 3/10; 3/10; 30/100; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; 1/3; ; 1/3; ; 
Draw; 17/4; ; 17/4; 4; 9/2; 19/4; 9/2; 4; 9/2; 17/4; 4; 4; 17/4; 9/2; 9/2; 9/2; 22/5; 74/17; 17/4; 21/5; 22/5; 47/10; 23/5; 74/17; 17/4; ; 4; ; 
Burnley; 7; ; 17/2; 17/2; 17/2; 8; 10; 8; 8; 8; 8; 8; 9; 17/2; 9; 17/2; 8; 17/2; 8; 17/2; 8; 10; 81/10; 17/2; 15/2; ; 39/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 04:17:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; ; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 4/13; 3/10; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 4; 9/2; 5; 5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 19/4; 74/17; 17/4; 21/5; 19/4; 47/10; 23/5; 74/17; 9/2; ; 4; ; 
Burnley; 17/2; ; 9; 9; 17/2; 19/2; 11; 8; 17/2; 9; 17/2; 8; 10; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 41/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 08:17:11 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; ; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 2/7; 1/3; ; 2/7; 30/100; 1/3; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 4/13; 3/10; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 4; 9/2; 5; 5; 4; 19/4; 9/2; 21/5; 4; ; 9/2; 9/2; 9/2; 19/4; 74/17; 17/4; 21/5; 19/4; 47/10; 23/5; 74/17; 9/2; ; 4; ; 
Burnley; 17/2; ; 9; 9; 17/2; 19/2; 11; 8; 17/2; 9; 17/2; 8; ; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 41/5; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 12:17:38 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; ; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/10; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 
Draw; 9/2; ; 17/4; 4; 9/2; 5; 5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 19/4; 74/17; 17/4; 21/5; 19/4; 5; 23/5; 74/17; 9/2; ; 9/2; ; 
Burnley; 17/2; ; 9; 9; 17/2; 19/2; 11; 8; 17/2; 9; 17/2; 8; 10; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 16:17:12 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; ; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; ; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/10; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 
Draw; 9/2; ; 17/4; 4; 9/2; 19/4; 5; 4; ; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 19/4; 74/17; 17/4; 21/5; 19/4; 5; 23/5; 74/17; 9/2; ; 9/2; ; 
Burnley; 17/2; ; 9; 9; 17/2; 19/2; 11; 8; ; 9; 17/2; 8; 10; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-19 20:17:08 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; ; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/10; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 
Draw; 9/2; ; 17/4; 4; 9/2; 19/4; 5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 24/5; 74/17; 17/4; 21/5; 24/5; 5; 23/5; 74/17; 9/2; ; 9/2; ; 
Burnley; 17/2; ; 9; 9; 17/2; 19/2; 11; 8; 17/2; 9; 17/2; 8; 10; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 9; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-20 00:17:11 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/11; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 2/7
Draw; 9/2; 9/2; 17/4; 4; 9/2; 5; 22/5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 47/10; 74/17; 19/4; 21/5; 47/10; 5; 23/5; 74/17; 9/2; ; 9/2; ; 5
Burnley; 17/2; 9; 9; 9; 17/2; 19/2; 19/2; 8; 17/2; 9; 17/2; 8; 9; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 9; ; 49/5
META; english/premier-league/burnley-v-man-city; 2016-11-20 04:16:50 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/11; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 2/7
Draw; 9/2; 9/2; 17/4; 4; 9/2; 5; 22/5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 19/4; 74/17; 19/4; 21/5; 19/4; 5; 23/5; 74/17; 9/2; ; 22/5; ; 5
Burnley; 17/2; 9; 9; 9; 17/2; 19/2; 19/2; 8; 17/2; 9; 17/2; 8; 9; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 17/2; ; 49/5
META; english/premier-league/burnley-v-man-city; 2016-11-20 08:16:48 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 3/10; 2/7; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/11; 3/10; 5/19; 6/19; 4/13; 3/10; 2/7; ; 3/10; ; 2/7
Draw; 9/2; 9/2; 17/4; 4; 9/2; 5; 22/5; 4; 19/4; 9/2; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 19/4; 74/17; 19/4; 21/5; 19/4; 5; 23/5; 74/17; 9/2; ; 22/5; ; 5
Burnley; 17/2; 9; 9; 9; 17/2; 19/2; 19/2; 8; 17/2; 9; 17/2; 8; 9; 9; 9; 9; 37/4; 17/2; 8; 17/2; 37/4; 10; 81/10; 17/2; 8; ; 17/2; ; 49/5
META; english/premier-league/burnley-v-man-city; 2016-11-20 12:16:51 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 3/10; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 3/10; 3/11; 3/10; 5/19; 1/3; 2/7; 3/10; 2/7; ; 3/10; ; 2/7
