META; english/championship/reading-v-cardiff; 2017-12-03 02:21:28 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 7/5; 16/11; 6/4; ; 6/4; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 31/20; 39/29; 10/7; 6/4; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Reading; 9/5; 9/5; 28/15; 9/5; ; 2; 15/8; 15/8; 19/10; 19/10; 9/5; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 51/25; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 17/10; 7/4; 2
Draw; 9/4; 23/10; 11/5; 23/10; ; 5/2; 11/5; 23/10; 40/17; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; ; 9/4; 11/5; 47/20; 40/17; 23/10; 23/10; 23/10; 9/4; 11/5; ; 21/10; 19/10; 23/10
META; english/championship/reading-v-cardiff; 2017-12-07 18:21:47 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; ; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 39/29; 6/4; 6/4; 6/4; 6/4; 17/11; ; 27/20; 7/5; 6/4
Reading; 9/5; 15/8; 28/15; 9/5; ; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 24/13; 51/25; 32/19; 24/13; 15/8; 15/8; 15/8; 24/13; ; 7/4; 7/4; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 47/20; 40/17; 11/5; 23/10; 23/10; 11/5; 11/5; ; 21/10; 15/8; 23/10
META; english/championship/reading-v-cardiff; 2017-12-07 22:21:41 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; ; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 39/29; 6/4; 6/4; 6/4; 6/4; 17/11; ; 27/20; 7/5; 6/4
Reading; 9/5; 15/8; 28/15; 9/5; ; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 51/25; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 7/4; 7/4; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 47/20; 40/17; 11/5; 23/10; 23/10; 11/5; 9/4; ; 11/5; 15/8; 23/10
META; english/championship/reading-v-cardiff; 2017-12-08 02:20:32 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 31/20; 39/29; 6/4; 6/4; 6/4; 6/4; 17/11; ; 27/20; 7/5; 6/4
Reading; 9/5; 15/8; 28/15; 9/5; 24/13; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 9/5; 93/50; 19/10; 19/10; 15/8; 24/13; 24/13; 51/25; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 7/4; 7/4; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 47/20; 40/17; 11/5; 23/10; 23/10; 11/5; 9/4; ; 11/5; 15/8; 23/10
META; english/championship/reading-v-cardiff; 2017-12-08 10:20:32 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 31/20; 39/29; 6/4; 6/4; 6/4; 6/4; 17/11; ; 27/20; ; 8/5
Reading; 9/5; 15/8; 28/15; 9/5; 24/13; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 9/5; 93/50; 19/10; 19/10; 15/8; 24/13; 24/13; 51/25; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 7/4; ; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 47/20; 40/17; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; ; 23/10
META; english/championship/reading-v-cardiff; 2017-12-08 14:20:41 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 13/8; 39/29; 6/4; 6/4; 6/4; 6/4; 17/11; ; 27/20; 7/5; 8/5
Reading; 9/5; 15/8; 28/15; 9/5; 24/13; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 9/5; 93/50; 19/10; 19/10; 19/10; 24/13; 24/13; 39/20; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 17/10; 7/4; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 47/20; 40/17; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; 15/8; 23/10
META; english/championship/reading-v-cardiff; 2017-12-08 18:20:41 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 17/11; 6/4; 161/100; 16/11; 6/4; 6/4; 6/4; 6/4; 17/11; ; 7/5; 7/5; 6/4
Reading; 9/5; 15/8; 28/15; 9/5; 24/13; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 19/10; 93/50; 19/10; 19/10; 19/10; 24/13; 19/10; 99/50; 24/13; 24/13; 15/8; 15/8; 15/8; 19/10; ; 7/4; ; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 58/25; 12/5; 11/5; 23/10; 23/10; 11/5; 11/5; ; 12/5; 23/10; 23/10
META; english/championship/reading-v-cardiff; 2017-12-08 22:20:50 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 17/11; 6/4; 8/5; 31/20; 6/4; 31/20; 6/4; 6/4; 17/11; 6/4; 161/100; 16/11; 6/4; 6/4; 6/4; 6/4; 17/11; ; 7/5; 7/5; 6/4
Reading; 9/5; 15/8; 28/15; 9/5; 24/13; 2; 15/8; 15/8; 15/8; 19/10; 15/8; 19/10; 93/50; 19/10; 19/10; 19/10; 24/13; 19/10; 99/50; 24/13; 24/13; 15/8; 15/8; 15/8; 19/10; ; 7/4; 9/5; 19/10
Draw; 9/4; 11/5; 21/10; 23/10; ; 12/5; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 58/25; 12/5; 11/5; 23/10; 23/10; 11/5; 11/5; ; 12/5; 9/4; 23/10
