Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 40/17; 49/20; 28/11; 40/17; 12/5; 5/2; 12/5; 40/17; ; 23/10; 11/5; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-22 10:21:29 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 8/5; 6/4; 6/4; 7/5; 7/5; 8/5; 6/4; 6/4; 17/11; 6/4; 6/4; 31/20; 6/5; 31/20; 6/4; 6/4; 7/5; 17/11; 161/ 100; 10/7; 6/4; 6/4; 13/8; 6/4; 8/5; ; 6/4; 6/4; 8/5
QPR; 19/10; 17/10; 17/10; 15/8; 7/4; 15/8; 7/4; 9/5; 9/5; 17/10; 9/5; 7/4; 21/10; 7/4; 9/5; 9/5; 7/4; 7/4; 15/8; 9/5; 7/4; 9/5; 9/5; 7/4; 7/4; ; 7/4; 7/4; 15/8
Draw; 12/5; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 40/17; 123/ 50; 28/11; 40/17; 12/5; 5/2; 12/5; 40/17; ; 23/10; 11/5; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-22 14:21:35 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 8/5; 6/4; 6/4; 8/5; 7/5; 8/5; 6/4; 6/4; 17/11; 29/20; 6/4; 6/4; 6/5; 31/20; 6/4; 6/4; 7/5; 17/11; 13/8; 6/4; 6/4; 6/4; 31/20; 6/4; 17/11; ; 6/4; 6/4; 6/4
QPR; 19/10; 17/10; 7/4; 17/10; 7/4; 15/8; 7/4; 9/5; 9/5; 17/10; 9/5; 7/4; 21/10; 7/4; 9/5; 9/5; 7/4; 7/4; 183/ 100; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; ; 9/5; 9/5; 15/8
Draw; 12/5; 5/2; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 40/17; 5/2; 27/11; 40/17; 12/5; 5/2; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-22 18:21:37 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 8/5; 6/4; 6/4; 8/5; 13/8; 8/5; 8/5; 6/4; 17/11; 29/20; 6/4; 6/4; 6/5; 31/20; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 6/4; 6/4; 8/5; 6/4; 17/11; ; 6/4; 6/4; 6/4
