Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 21/10; 11/5
META; english/championship/sunderland-v-hull; 2018-01-17 18:20:34 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 29/20; 6/4; 6/4; 6/4; 163/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 16/11; 17/11; 16/11; 7/5; 17/11; 6/4; 6/4; 31/20; 17/11; ; 6/4; 7/5; 13/8
Sunderland; 19/10; 9/5; 19/10; 15/8; 197/100; 9/5; 15/8; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 39/20; 19/10; 15/8; 37/19; 19/10; 37/19; 16/9; 24/13; 15/8; 19/10; 19/10; 37/19; ; 19/10; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 11/5; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 21/10; 11/5
META; english/championship/sunderland-v-hull; 2018-01-17 22:20:20 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 29/20; 6/4; 6/4; 6/4; 13/8; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 16/11; 17/11; 16/11; 7/5; 17/11; 6/4; 6/4; 31/20; 17/11; ; 6/4; 7/5; 13/8
Sunderland; 19/10; 19/10; 19/10; 15/8; 2; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 39/20; 19/10; 19/10; 37/19; 19/10; 37/19; 16/9; 24/13; 15/8; 19/10; 19/10; 37/19; ; 19/10; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 113/50; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 2; 21/10
META; english/championship/sunderland-v-hull; 2018-01-18 02:20:13 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
