META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-21 02:20:38 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Betis; 14/5; 13/5; 27/10; 11/4; 3; 3; 14/5; 11/4; 29/10; 27/10; 11/4; ; ; 3; 3; 11/4; 29/10; 37/13; 11/4; 3; 5/2; 37/13; 14/5; 11/4; 14/5; ; 5/2; 11/4; 3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-25 18:19:47 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 10/11; 10/11; 10/11; 19/20; 10/11; 19/20; 9/10; 5/6; 9/10; 10/11; 10/11; ; ; 10/11; 10/11; 10/11; 9/10; 9/10; 13/15; 20/21; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; 5/6; 10/11
Draw; 13/5; 14/5; 27/10; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 5/2; 45/17; 45/17; 143/50; 27/10; 45/17; 13/5; 13/5; 27/10; ; 5/2; 5/2; 14/5
Betis; 14/5; 13/5; 11/4; 11/4; 3; 3; 14/5; 11/4; 29/10; 27/10; 11/4; ; ; 3; 3; 11/4; 29/10; 37/13; 14/5; 31/10; 5/2; 37/13; 14/5; 14/5; 14/5; ; 13/5; 27/10; 3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-25 22:19:54 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 10/11; 19/20; 9/10; 19/20; 9/10; 5/6; 9/10; 10/11; 10/11; ; ; 9/10; 10/11; 10/11; 9/10; 9/10; 13/15; 20/21; ; 9/10; 10/11; 9/10; 10/11; ; 8/11; 5/6; 10/11
Draw; 13/5; 29/10; 27/10; 13/5; 11/4; 13/5; 29/10; 11/4; 27/10; 13/5; 11/4; ; ; 14/5; 13/5; 13/5; 5/2; 45/17; 45/17; 143/50; ; 45/17; 13/5; 13/5; 27/10; ; 5/2; 5/2; 14/5
Betis; 3; 14/5; 11/4; 11/4; 3; 3; 14/5; 11/4; 29/10; 27/10; 11/4; ; ; 3; 3; 14/5; 29/10; 37/13; 14/5; 31/10; ; 37/13; 14/5; 14/5; 14/5; ; 13/5; 27/10; 3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-26 02:19:47 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 11/13; 17/20; 17/20; 19/20; 17/20; 5/6; 9/10; 17/20; 5/6; ; ; 17/20; 10/11; 17/20; 9/10; 9/10; 4/5; 22/25; ; 9/10; 9/10; 17/20; 9/10; ; 8/11; 4/5; 5/6
