META; spain/la-liga-primera/alaves-v-eibar; 2017-10-29 22:20:29 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/4; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-14 22:19:38 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/4; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-15 02:19:40 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/4; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-15 10:19:40 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-15 14:19:50 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/4; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-15 18:19:42 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-15 22:21:13 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-16 02:19:36 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 6/4; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 2; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 85/40; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-16 10:19:41 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-16 14:19:45 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-16 18:19:44 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/20; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-16 22:19:46 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/20; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-17 02:19:41 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-17 10:19:44 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 2; 99/50; 39/19; 2; 2; 85/40; 21/10; 2; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 2; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 2; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-17 14:19:48 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-17 18:19:58 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; 29/20; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; 21/10; 19/10; ; 41/20; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; 11/5; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 1/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-17 22:19:57 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; 29/20; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; 29/20; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/2; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 19/10; 2; 2; 2; 21/10; 19/10; ; 41/20; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; 21/10; 21/10; 9/4; 2; 21/10; 11/5; 21/10; 11/5; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; 8/15; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-18 02:19:55 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; 29/20; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; 29/20; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/2; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 19/10; 2; 2; 2; 21/10; 19/10; ; 41/20; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; 21/10; 21/10; 9/4; 2; 21/10; 11/5; 21/10; 11/5; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; 8/15; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-18 10:19:53 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; 29/20; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; 29/20; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/2; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 19/10; 2; 2; 2; 21/10; 19/10; ; 41/20; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; 21/10; 21/10; 9/4; 2; 21/10; 11/5; 21/10; 11/5; 11/5; ; 43/20; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; 8/15; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-18 14:20:16 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; 29/20; 31/20; 6/4; 6/4; 7/5; 7/5; ; 29/20; 6/4; ; 29/20; 6/4; ; 16/11; 16/11; 79/50; ; 7/5; 7/5; 29/20; 7/5; 16/11; ; 13/10; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; ; 21/10; 19/10; ; 41/20; 19/10; ; 2; 37/19; 99/50; ; 2; 2; 85/40; 21/10; 2; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; 21/10; 21/10; 9/4; 2; 21/10; 11/5; ; 11/5; 11/5; ; 43/20; 9/4; ; 2; 28/13; 121/50; ; 11/5; 85/40; 21/10; 21/10; 28/13; ; 8/15; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-18 18:19:48 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 7/5; 28/17; 29/20; 31/20; 13/8; 8/5; 6/4; 17/11; 33/20; 13/8; 17/10; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 21/10; 9/5; 21/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 9/5; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 8/15; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; ; 41/20; 2; ; 2; 39/19; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-18 22:19:19 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 28/17; 29/20; 31/20; 13/8; 8/5; 6/4; 17/11; 33/20; 13/8; 8/5; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 2; 9/5; 21/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 24/13; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 8/15; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 2; ; 41/20; 2; ; 2; 39/19; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-19 02:19:10 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 28/17; 29/20; 31/20; 13/8; 8/5; 6/4; 17/11; 33/20; 13/8; 17/10; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 2; 9/5; 21/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 24/13; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 8/15; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; ; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-19 10:19:15 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 28/17; 29/20; 31/20; 13/8; 8/5; 6/4; 17/11; 33/20; 13/8; 17/10; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 2; 9/5; 21/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 24/13; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 6/4; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; ; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-19 14:19:13 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 28/17; 8/5; 31/20; 13/8; 13/8; 6/4; 17/11; 33/20; 13/8; 17/10; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 2; 9/5; 19/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 24/13; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 6/4; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; ; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-19 18:19:10 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 28/17; 8/5; 31/20; 13/8; 13/8; 6/4; 17/11; 33/20; 13/8; 17/10; ; 33/20; 8/5; ; 16/11; 8/5; 9/5; 17/10; 17/11; 8/5; 8/5; 31/20; 28/17; ; 7/5; ; 
Eibar; 15/8; 2; 9/5; 19/10; 21/10; 2; 15/8; 2; 2; 9/5; 2; 19/10; ; 19/10; 2; ; 2; 24/13; 99/50; 24/13; 2; 15/8; 19/10; 19/10; 24/13; ; 7/4; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; ; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-19 22:19:31 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 17/11; 8/5; 31/20; 13/8; 13/8; 6/4; 17/10; 31/20; 13/8; 17/10; 17/10; 33/20; 8/5; ; 16/11; 17/11; 9/5; 17/10; 17/10; 6/4; 8/5; 31/20; 8/5; ; 7/5; ; 
Eibar; 15/8; 2; 19/10; 19/10; 21/10; 2; 15/8; 2; 19/10; 19/10; 2; 19/10; 9/5; 19/10; 2; ; 2; 19/10; 99/50; 24/13; 15/8; 15/8; 19/10; 19/10; 19/10; ; 9/5; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; 21/10; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-20 02:19:24 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 17/10; 31/20; 8/5; 8/5; 17/10; 33/20; 8/5; ; 16/11; 17/11; 167/100; 28/17; 17/10; 6/4; 8/5; 31/20; 8/5; ; 7/5; ; 
Eibar; 15/8; 2; 19/10; 19/10; 21/10; 2; 19/10; 2; 19/10; 19/10; 2; 2; 9/5; 39/20; 2; ; 2; 19/10; 107/50; 19/10; 15/8; 15/8; 19/10; 19/10; 19/10; ; 19/10; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; 21/10; 41/20; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 7/4; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-20 10:19:26 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 6/4; 8/5; 31/20; 13/8; 6/4; 6/4; 17/10; 6/4; 6/4; 6/4; 17/10; 31/20; 8/5; ; 16/11; 6/4; 167/100; 53/35; 17/10; 6/4; 6/4; 6/4; 6/4; ; 7/5; ; 
Eibar; 15/8; 21/10; 2; 19/10; 21/10; 2; 2; 2; 19/10; 2; 2; 2; 9/5; 41/20; 2; ; 2; 2; 107/50; 39/19; 15/8; 2; 2; 39/20; 2; ; 19/10; ; 
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 11/5; 2; 21/10; 2; 2; ; 2; 2; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 9/5; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-20 14:19:38 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 6/4; 8/5; 31/20; 13/8; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 17/10; 31/20; 8/5; 6/4; 16/11; 17/11; 167/100; 53/35; 17/10; 6/4; 6/4; 6/4; 8/5; ; 7/5; 7/5; 13/8
Eibar; 15/8; 21/10; 2; 19/10; 21/10; 2; 2; 2; 19/10; 2; 2; 2; 9/5; 41/20; 2; 19/10; 2; 37/19; 107/50; 39/19; 15/8; 2; 2; 39/20; 2; ; 19/10; 15/8; 2
Draw; 11/5; 2; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 39/19; 21/10; 39/19; 2; 2; 85/40; 21/10; 39/19; ; 13/8; 15/8; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-20 18:19:52 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 6/4; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 8/5; 6/4; 16/11; 6/4; 167/100; 53/35; 6/4; 6/4; 31/20; 6/4; 17/11; ; 7/5; 7/5; 6/4
Draw; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 21/10; 2; 21/10; 2; ; 2; 2; 2; 2; 39/19; 21/10; 39/19; 21/10; 2; 21/10; 2; 39/19; ; 9/5; 15/8; 2
Eibar; 2; 21/10; 2; 19/10; 21/10; 2; 2; 2; 39/19; 2; 2; 2; ; 41/20; 2; 2; 2; 39/19; 107/50; 39/19; 39/19; 2; 2; 21/10; 21/10; ; 19/10; 15/8; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-20 22:19:49 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 6/4; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; ; 31/20; 8/5; 6/4; 16/11; 6/4; 167/100; ; 6/4; 6/4; 6/4; 6/4; 17/11; ; 7/5; 7/5; 6/4
Draw; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 21/10; 2; 21/10; 2; ; 2; 2; 2; 2; 39/19; 21/10; ; 21/10; 2; 21/10; 2; 39/19; ; 9/5; 15/8; 2
Eibar; 2; 21/10; 2; 19/10; 21/10; 2; 2; 2; 39/19; 2; 21/10; 2; ; 41/20; 2; 2; 2; 39/19; 107/50; ; 39/19; 2; 21/10; 21/10; 21/10; ; 19/10; 2; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-21 02:19:37 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 7/5; 6/4; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 6/4; 31/20; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 42/25; 17/11; 6/4; 6/4; 8/5; 6/4; 17/11; ; 6/4; 6/4; 13/8
