META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-06 02:19:08 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 1/3; 1/3; 4/11; 4/11; 4/11; 1/3; ; 4/11; 4/11; 4/11; 4/11; 6/17; 7/19; 6/17; 1/3; 4/11; 7/20; 4/11; ; 4/11; ; 4/11
Draw; 17/4; 19/5; 19/5; 15/4; 23/5; 4; 4; 4; 21/5; 4; 19/5; 15/4; ; 4; 17/4; 4; 4; 17/4; 21/5; 21/5; 4; 17/4; 17/4; 77/19; ; 4; ; 22/5
Leganes; 7; 15/2; 8; 7; 87/10; 8; 8; 15/2; 15/2; 8; 8; 8; ; 8; 7; 15/2; 31/4; 15/2; 36/5; 15/2; 15/2; 17/2; 15/2; 31/4; ; 41/5; ; 43/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-21 14:18:34 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/5; 4/11; 2/5; 4/11; 43/100; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; ; 4/9; 2/5; 2/5; 7/17; 4/11; 5/12; 2/5; 2/5; 2/5; 21/50; 7/17; ; 2/5; ; 2/5
Draw; 15/4; 19/5; 18/5; 15/4; 39/10; 4; 15/4; 7/2; 19/5; 15/4; 18/5; 7/2; ; 19/5; 15/4; 15/4; 18/5; 4; 4; 19/5; 19/5; 4; 4; 62/17; ; 7/2; ; 4
Leganes; 7; 15/2; 13/2; 7; 79/10; 15/2; 7; 7; 7; 13/2; 7; 7; ; 7; 7; 7; 27/4; 15/2; 31/5; 7; 6; 7; 6; 7; ; 37/5; ; 37/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-21 18:18:34 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 4/11; 2/5; 2/5; 4/11; 21/50; 2/5; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; ; 2/5; 2/5; 2/5; 7/18; 2/5; 7/18; 2/5; 2/5; 2/5; 21/50; 2/5; ; 2/5; ; 2/5
Draw; 4; 7/2; 19/5; 15/4; 4; 4; 15/4; 7/2; 19/5; 19/5; 19/5; 15/4; ; 19/5; 7/2; 15/4; 37/10; 15/4; 75/19; 19/5; 19/5; 4; 4; 37/10; ; 7/2; ; 4
Leganes; 8; 13/2; 7; 7; 8; 15/2; 7; 7; 7; 7; 7; 13/2; ; 15/2; 13/2; 7; 29/4; 27/4; 37/5; 7; 6; 15/2; 6; 29/4; ; 38/5; ; 39/5
