META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 02:19:43 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 4/5; 4/5; 3/4; ; ; 5/6; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 28/11; 5/2; 27/10; 13/5; 11/4; 27/10; 27/10; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 10/3; 7/2; 15/4; ; ; 16/5; ; 16/5; 100/30; 7/2; 7/2; 33/10; 7/2; 58/19; 37/10; 3; 17/5; 16/5; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-04 10:19:24 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 5/2; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 27/10; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/30; 7/2; 7/2; 17/5; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-04 14:19:38 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 5/6; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 28/11; 5/2; 27/10; 13/5; 13/5; 27/10; 27/10; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 10/3; 7/2; 15/4; ; ; 16/5; ; 10/3; 100/30; 7/2; 7/2; 57/17; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-04 18:19:27 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 11/4; 27/10; 45/17; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 10/3; 7/2; 15/4; ; ; 10/3; ; 16/5; 100/30; 7/2; 7/2; 33/10; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-04 22:19:32 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 17/20; 4/5; 4/5; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; ; 72/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 11/4; 27/10; 45/17; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 18/5; 18/5; 16/5; 7/2; 15/4; ; ; 10/3; ; 16/5; 100/30; 7/2; 7/2; 33/10; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-05 02:19:24 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 17/20; 4/5; 4/5; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; ; 72/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 11/4; 27/10; 45/17; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 18/5; 18/5; 16/5; 7/2; 15/4; ; ; 10/3; ; 16/5; 100/30; 7/2; 7/2; 33/10; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-05 10:19:20 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; 4/5; 17/20; 4/5; 4/5; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; 11/4; 57/20; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 27/10; 27/10; 13/5; ; 5/2; ; 
Las Palmas; 15/4; ; ; 16/5; 73/20; 18/5; 10/3; 7/2; 15/4; ; ; 10/3; ; 16/5; 100/30; 7/2; 7/2; 57/17; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-05 14:20:20 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 17/20; 4/5; 4/5; 4/5; 3/4; ; 4/5; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; 11/4; ; 11/4; 57/20; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 11/4; 27/10; 13/5; ; 5/2; ; 
Las Palmas; 15/4; 16/5; ; 16/5; 73/20; 18/5; 10/3; 7/2; 15/4; ; 18/5; 10/3; ; 16/5; 100/30; 10/3; 7/2; 57/17; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-05 18:22:22 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 17/20; 4/5; 4/5; 4/5; 3/4; ; 4/5; 4/5; ; 5/6; 4/5; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 57/20; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 11/4; 11/4; 27/10; 45/17; ; 5/2; ; 
Las Palmas; 7/2; 16/5; ; 16/5; 73/20; 18/5; 16/5; 7/2; 15/4; ; 18/5; 10/3; ; 16/5; 100/30; 10/3; 7/2; 33/10; 7/2; 58/19; 37/10; 100/30; 17/5; 10/3; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-06 02:19:37 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 5/6; 5/6; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 5/6; 4/5; 10/13; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 59/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 45/17; 5/2; 27/10; 13/5; 14/5; 14/5; 11/4; 27/10; ; 5/2; ; 
Las Palmas; 7/2; 16/5; ; 16/5; 69/20; 7/2; 16/5; 10/3; 15/4; ; 7/2; 10/3; ; 16/5; 16/5; 10/3; 7/2; 16/5; 7/2; 58/19; 37/10; 3; 16/5; 10/3; 16/5; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-06 10:20:01 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 5/6; 5/6; 4/5; 7/9; 10/13; 7/9; 10/13; 3/4; 4/5; 5/6; 4/5; 10/13; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 59/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 27/10; 5/2; 27/10; 13/5; 14/5; 11/4; 11/4; 27/10; ; 5/2; ; 
Las Palmas; 7/2; 16/5; ; 16/5; 69/20; 7/2; 16/5; 10/3; 15/4; ; 7/2; 10/3; ; 16/5; 16/5; 10/3; 7/2; 16/5; 7/2; 58/19; 37/10; 3; 16/5; 10/3; 16/5; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-06 14:20:47 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 5/6; ; 4/5; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 5/6; 5/6; 4/5; 7/9; 4/5; 7/9; 10/13; 3/4; 4/5; 5/6; 4/5; 4/5; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 59/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 11/4; 5/2; 27/10; 13/5; 14/5; 11/4; 11/4; 11/4; ; 5/2; ; 
Las Palmas; 7/2; 3; ; 16/5; 69/20; 7/2; 16/5; 10/3; 15/4; ; 7/2; 10/3; ; 16/5; 16/5; 10/3; 7/2; 13/4; 7/2; 58/19; 37/10; 3; 16/5; 10/3; 33/10; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-06 18:19:58 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 5/6; 5/6; 4/5; 7/9; 4/5; 7/9; ; 3/4; 4/5; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 59/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 27/10; 11/4; 13/5; 5/2; 11/4; 5/2; ; 13/5; 14/5; 11/4; 11/4; 11/4; ; 5/2; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 69/20; 7/2; 16/5; 10/3; 15/4; ; 7/2; 10/3; ; 16/5; 16/5; 10/3; 7/2; 13/4; 7/2; ; 37/10; 3; 33/10; 10/3; 33/10; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-06 22:19:02 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 4/5; ; 4/5; 17/20; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 5/6; 4/5; 7/9; 10/13; 7/9; ; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 27/10; 11/4; ; 11/4; 3; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 11/4; 11/4; 13/5; 5/2; 11/4; 5/2; ; 13/5; 14/5; 11/4; 11/4; 14/5; ; 5/2; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 69/20; 7/2; 16/5; 10/3; 15/4; ; 7/2; 10/3; ; 10/3; 16/5; 10/3; 7/2; 33/10; 7/2; ; 37/10; 3; 7/2; 10/3; 33/10; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-07 02:18:48 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/11; ; 
Draw; 27/10; 29/10; ; 11/4; 61/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 11/4; 3; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 29/10; 11/4; 14/5; ; 13/5; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 73/20; 7/2; 10/3; 10/3; 15/4; ; 7/2; 7/2; ; 17/5; 100/30; 10/3; 7/2; 17/5; 7/2; 58/19; 37/10; 100/30; 10/3; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-07 10:18:48 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 5/6; ; 
Draw; 27/10; 29/10; ; 11/4; 61/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 11/4; 3; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 29/10; 11/4; 14/5; ; 13/5; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 73/20; 7/2; 10/3; 10/3; 15/4; ; 7/2; 7/2; ; 17/5; 100/30; 10/3; 7/2; 17/5; 7/2; 58/19; 37/10; 100/30; 10/3; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-07 14:21:25 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 4/5; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; 3/4; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/11; ; 
Draw; 27/10; 29/10; 11/4; 11/4; 61/20; 14/5; 11/4; 11/4; 13/5; 27/10; 11/4; 13/5; ; 11/4; 3; 14/5; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 29/10; 11/4; 14/5; ; 5/2; ; 
Las Palmas; 7/2; 10/3; 13/4; 16/5; 73/20; 7/2; 10/3; 10/3; 15/4; 13/4; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 17/5; 7/2; 58/19; 37/10; 100/30; 10/3; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-07 18:19:35 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/11; ; 
Draw; 27/10; 29/10; ; 11/4; 61/20; 14/5; 11/4; 11/4; 13/5; ; 11/4; 13/5; ; 11/4; 3; 14/5; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 29/10; 11/4; 14/5; ; 5/2; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 73/20; 7/2; 10/3; 10/3; 15/4; ; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 17/5; 7/2; 58/19; 37/10; 100/30; 10/3; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-07 22:19:36 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/11; ; 
Draw; 27/10; 29/10; ; 11/4; 61/20; 14/5; 11/4; 11/4; 14/5; ; 11/4; 13/5; ; 11/4; 3; 14/5; 13/5; 14/5; 13/5; 27/10; 11/4; 14/5; 29/10; 11/4; 14/5; ; 5/2; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 73/20; 7/2; 10/3; 10/3; 18/5; ; 7/2; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 58/19; 7/2; 100/30; 10/3; 10/3; 17/5; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-08 02:19:32 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 81/100; 4/5; 3/4; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 10/13; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/11; ; 
Draw; 27/10; 29/10; ; 11/4; 31/10; 14/5; 11/4; 11/4; 14/5; ; 11/4; 13/5; ; 11/4; 3; 14/5; 13/5; 14/5; 13/5; 27/10; 11/4; 14/5; 29/10; 11/4; 14/5; ; 5/2; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 18/5; 7/2; 16/5; 10/3; 18/5; ; 7/2; 7/2; ; 17/5; 100/30; 7/2; 7/2; 17/5; 7/2; 58/19; 7/2; 100/30; 33/10; 10/3; 17/5; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-08 10:19:02 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 4/5; 3/4; 3/4; 8/11; 3/4; ; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 14/19; ; 8/11; ; 
Draw; 27/10; 14/5; ; 11/4; 3; 29/10; 11/4; 11/4; 14/5; ; 3; 14/5; ; 11/4; 3; 14/5; 13/5; 11/4; 13/5; 27/10; 11/4; 14/5; 3; 11/4; 14/5; ; 11/4; ; 
Las Palmas; 7/2; 10/3; ; 16/5; 15/4; 18/5; 10/3; 7/2; 18/5; ; 18/5; 10/3; ; 10/3; 100/30; 7/2; 7/2; 7/2; 7/2; 41/13; 7/2; 100/30; 33/10; 7/2; 7/2; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-08 14:19:53 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 4/5; 4/5; 3/4; 3/4; 8/11; 3/4; ; 3/4; ; ; 4/5; 3/4; 4/5; 3/4; 14/19; 3/4; 13/17; 3/4; 8/11; 3/4; 3/4; 10/13; ; ; 4/6; 8/11
Draw; 27/10; 14/5; ; 11/4; 3; 29/10; 11/4; 11/4; 14/5; ; 3; 14/5; ; 11/4; 3; 14/5; 13/5; 11/4; 13/5; 27/10; 11/4; 14/5; 3; 11/4; 37/13; ; ; 23/10; 14/5
Las Palmas; 7/2; 10/3; ; 16/5; 15/4; 18/5; 10/3; 7/2; 18/5; ; 18/5; 10/3; ; 10/3; 100/30; 7/2; 7/2; 7/2; 7/2; 31/10; 7/2; 100/30; 33/10; 7/2; 18/5; ; ; 13/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-08 18:20:00 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 4/5; 4/5; 17/20; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; ; 5/6; 5/6; 4/5; 3/4; 10/13; 3/4; 5/6; 4/5; 4/5; 4/5; 10/13; 4/5; ; ; 8/11; 4/5
Draw; 27/10; 14/5; 27/10; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 11/4; 14/5; ; 11/4; 11/4; 14/5; 13/5; 14/5; 13/5; 56/19; 45/17; 14/5; 29/10; 11/4; 37/13; ; 27/10; 12/5; 14/5
Las Palmas; 7/2; 10/3; 16/5; 16/5; 69/20; 18/5; 16/5; 7/2; 7/2; 16/5; 7/2; 3; ; 16/5; 16/5; 7/2; 7/2; 57/17; 7/2; 3; 17/5; 3; 16/5; 10/3; 17/5; ; 3; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-08 22:19:33 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 10/13; ; ; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 14/5; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 10/3; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 7/2; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-09 02:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 10/13; ; ; ; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 37/13; ; 27/10; ; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 10/3; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 7/2; ; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-09 10:19:19 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 10/13; ; ; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 10/3; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-09 14:19:15 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 10/13; ; ; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 11/4; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 10/3; 19/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-09 18:19:08 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 14/19; ; ; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 27/10; 11/4; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 10/3; 19/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 3; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-09 22:19:06 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; ; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 14/19; ; ; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 27/10; 11/4; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 45/17; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 17/5; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 57/17; 7/2; 38/11; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 14/5; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-10 02:19:00 GMT+2; ; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; ; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; ; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-10 10:19:00 GMT+2; ; Nothing; Xlenovo
