META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-05 18:19:10 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; ; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; ; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 23/5; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; ; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-05 22:19:16 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; ; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; ; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 79/17; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; ; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-06 02:19:08 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; ; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; ; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 79/17; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; ; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 9; 35/4; 17/2; 35/4; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-06 10:19:04 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; ; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 1/5; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; ; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 79/17; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; ; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-06 14:19:11 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; ; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 1/5; ; 3/10
