META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 00:23:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 3/5; 2/5; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 3; 3; 29/10; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 11/2; 22/5; 4; 17/4; 9/2; 9/2; 19/5; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 23/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 04:23:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 8/13; 2/5; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 29/10; 3; 29/10; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 11/2; 22/5; 4; 17/4; 9/2; 9/2; 19/5; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 23/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 08:23:13 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 19/5; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 23/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 12:25:00 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 3/5; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 19/5; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 23/5; ; 
