META; english/non-league/national-league/maidstone-v-barrow; 2017-03-26 04:22:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 04:19:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Eastleigh 5-1; 250; 250; ; 250; ; ; 175; 475; 100; 200; 150; 150; 175; 250; 250; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Dagenham & Redbridge 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 5-4; ; ; ; ; ; ; ; 500; ; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 7-0; ; ; ; 500; ; ; 225; 500; ; 350; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 7-1; ; ; ; 500; ; ; 225; 500; ; 325; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 8-0; ; ; ; 500; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 5-0; 450; 250; ; 300; ; ; 175; 500; 100; 300; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 5-3; 500; 250; ; ; ; ; 175; 500; ; 300; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 5-4; ; ; ; ; ; ; ; 500; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 6-0; ; 250; ; 500; ; ; 225; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 6-1; ; 250; ; 500; ; ; 225; 500; ; 450; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 6-2; ; 250; ; 500; ; ; 225; ; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-31 00:20:19 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 5/4; 16/13; ; 16/13; ; ; 6/5; 
Maidstone; 11/5; 2; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 21/10; 2; 21/10; 11/5; 21/10; 11/5; 39/19; 2; 19/10; 39/19; 11/5; 21/10; 37/19; ; 37/19; ; ; 2; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 12/5; 21/10; 47/20; 11/5; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-31 00:22:17 GMT+3; ; e70300-dr003
Bournemouth; 1/150; ; ; 1/100; ; ; ; ; 1/250; 1/500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leicester; 1/66; 1/100; ; 1/66; ; ; ; 1/100; 1/250; 1/200; ; ; ; 1/100; ; ; ; ; ; ; ; 1/100; ; ; ; ; ; ; 
Burnley; 1/33; 1/100; ; 1/66; ; ; ; 1/100; 1/100; 1/66; ; ; ; 1/100; ; ; ; ; ; ; ; 1/100; ; ; ; ; ; ; 
Watford; 1/25; 1/25; ; 1/50; ; ; ; 1/50; 1/66; 1/25; ; ; ; 1/33; ; ; ; ; ; ; ; 1/41; ; ; ; ; ; ; 
Crystal Palace; 1/5; 1/4; ; 1/4; 2/9; ; 1/6; 1/4; 1/5; 1/6; ; ; ; 1/4; ; ; ; ; ; ; ; 2/13; ; ; ; ; ; ; 
Swansea; 2/7; 2/7; ; 1/4; 2/9; ; 1/3; 1/4; 1/4; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; 
Hull; 13/8; 7/4; ; 13/8; 13/8; ; 13/8; 6/4; 7/4; 13/8; ; ; ; 6/4; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 
Middlesbrough; 10/3; 3; ; 11/4; 3; ; 11/4; 11/4; 11/4; 11/4; ; ; ; 3; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Sunderland; 8; 8; ; 6; 6; ; 7; 17/2; 7; 8; ; ; ; 8; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-31 04:21:06 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 5/4; 16/13; ; 16/13; ; ; 6/5; 
Maidstone; 11/5; 2; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 21/10; 19/10; 21/10; 11/5; 21/10; 11/5; 39/19; 2; 19/10; 39/19; 11/5; 21/10; 37/19; ; 37/19; ; ; 2; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-31 04:32:40 GMT+3; 2017-04-01 13:00; e70300-dr003
Draw 0-0; 9/2; 9/2; 19/4; 5; ; 17/4; 22/5; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; ; 17/4; ; ; ; 23/5; ; ; 22/5; 19/4; ; 19/4; ; ; 23/5; 
