Chester; 3/4; 5/6; 3/4; 8/11; 4/5; 3/4; 4/6; 8/11; 4/5; 13/18; 3/4; 4/5; 5/6; ; 3/4; 3/4; 8/11; 9/13; 13/18; 4/6; 4/6; 5/7; 7/9; 7/9; ; ; 8/11; 8/11; 
Draw; 14/5; 5/2; 13/5; 5/2; 11/4; 12/5; 14/5; 13/5; 13/5; 14/5; 13/5; 13/5; 5/2; ; 5/2; 14/5; 11/4; 11/4; 14/5; 5/2; 14/5; 27/10; 11/4; 45/17; ; ; 14/5; 5/2; 
Torquay; 10/3; 29/10; 16/5; 3; 10/3; 14/5; 15/4; 3; 3; 3; 7/2; 10/3; 10/3; ; 16/5; 3; 10/3; 37/10; 3; 17/5; 3; 7/2; 41/10; 31/10; ; ; 7/2; 3; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-08 08:25:12 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 3/4; 5/6; 5/6; 4/5; 4/5; 3/4; 4/6; 8/11; 4/5; 13/18; 5/6; 5/6; 5/6; ; 4/5; 3/4; 4/5; 5/7; 13/18; 4/6; 4/6; 10/13; 9/11; 7/8; ; ; 5/6; 4/5; 
Draw; 14/5; 5/2; 5/2; 12/5; 11/4; 12/5; 14/5; 13/5; 13/5; 14/5; 13/5; 13/5; 5/2; ; 5/2; 14/5; 13/5; 27/10; 14/5; 5/2; 14/5; 45/17; 11/4; 13/5; ; ; 11/4; 13/5; 
Torquay; 10/3; 3; 3; 14/5; 16/5; 14/5; 17/5; 3; 3; 3; 16/5; 10/3; 10/3; ; 3; 3; 10/3; 38/11; 3; 17/5; 3; 33/10; 15/4; 27/10; ; ; 3; 3; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-08 12:27:18 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/6; 8/11; 4/6; 4/6; 8/11; 3/4; 4/6; 4/6; 4/6; 11/17; 4/6; 7/10; 3/4; 4/6; 4/6; 13/20; 4/6; 10/17; 11/17; 4/6; 8/13; 11/18; 4/6; 7/10; ; ; 4/6; 4/6; 
Draw; 11/4; 13/5; 27/10; 12/5; 14/5; 12/5; 29/10; 11/4; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; 37/13; 11/4; 5/2; 11/4; 14/5; 31/10; 27/10; ; ; 14/5; 14/5; 
Torquay; 4; 7/2; 15/4; 15/4; 19/5; 14/5; 4; 10/3; 7/2; 62/17; 4; 4; 7/2; 15/4; 17/5; 4; 4; 43/10; 62/17; 17/5; 7/2; 41/10; 9/2; 38/11; ; ; 21/5; 4; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-08 16:25:09 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 4/6; 4/6; 8/11; 11/17; 3/4; 3/4; 3/4; ; 3/4; 4/5; 8/11; 9/13; 11/17; 4/6; 8/13; 5/7; 8/11; 3/4; ; ; 8/11; 8/11; 
Draw; 11/4; 13/5; 13/5; 12/5; 11/4; 12/5; 14/5; 11/4; 11/4; 11/4; 11/4; 11/4; 11/4; ; 13/5; 13/5; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 58/19; 13/5; ; ; 14/5; 13/5; 
Torquay; 7/2; 7/2; 7/2; 16/5; 7/2; 14/5; 19/5; 10/3; 10/3; 62/17; 10/3; 15/4; 7/2; ; 16/5; 16/5; 7/2; 37/10; 62/17; 17/5; 7/2; 7/2; 4; 33/10; ; ; 7/2; 7/2; 
